embedding_model,feature_type,algorithm,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
esm2_t36_3B_UR50D,fusion,xgboost,0.7594059217930198,0.01731042483144758,0.8463114032143025,0.024196371339116805,0.7561574664236483,0.024435643588437635,0.6880311906063683,0.027229957306930567,0.7275667907221286,0.04569645173027496,0.7887203113953232,0.01250331449080428,0.2153503508067328,0.01935017989915979
esm2_t36_3B_UR50D,per_sequence,xgboost,0.756736881625838,0.019351713301741427,0.8421232555784239,0.027865622308357783,0.7606101117215809,0.02790006055723789,0.6914219323596031,0.031192116368686337,0.7266970117611216,0.04841588665870359,0.7995727415932062,0.014840088124226193,0.21660922459008414,0.020212922980279036
esm2_t33_650M_UR50D,per_sequence,xgboost,0.7582921426599045,0.028070670049005205,0.8421199546031387,0.03732497905666789,0.7631187131074635,0.02363683029406713,0.6941645187325887,0.027737755946149363,0.7285373795883826,0.046451695687521166,0.8030598984359869,0.012784020397333314,0.2150886490738308,0.01987106085913883
esm2_t33_650M_UR50D,fusion,xgboost,0.755620551568774,0.028936890657338447,0.8407798508903372,0.04088951410808574,0.760115289419843,0.023237334933872342,0.6920655315160509,0.025759400600219657,0.7290606953430407,0.04479628849307694,0.7954433742369001,0.004960631950275951,0.2156424495086068,0.01921757166069846
esm2_t36_3B_UR50D,per_sequence,random_forest,0.7537014281189693,0.01869419737428484,0.8375525558009211,0.03225785625072082,0.7725122678072573,0.02209952217735288,0.6712468431877945,0.028663371563276543,0.6722532790620888,0.03787595959062112,0.9102207731909944,0.02140942768947241,0.20384006053788967,0.008380639903711145
esm2_t36_3B_UR50D,fusion,random_forest,0.7547270420014989,0.02226865944400061,0.8368461235462116,0.03617243740421742,0.7724767932322008,0.02367619885846297,0.6707638834648129,0.0316926729643903,0.6718302574475845,0.04046061329043328,0.9112896445435297,0.023844352362521568,0.20376887542675487,0.009578062308922454
esm2_t30_150M_UR50D,per_sequence,xgboost,0.75357084186226,0.030924527608472235,0.8355905930665533,0.03727244241109001,0.7600079108300739,0.026725758855259702,0.6928741961519436,0.032450989271910854,0.7320111467187769,0.05115953211727464,0.7926879798476497,0.02264209120538888,0.21708509528015915,0.023649062596996975
prot_bert_bfd,fusion,xgboost,0.7511369468622238,0.0213421409336601,0.8355362856331532,0.03285021272162743,0.7613668774254371,0.023015604527638487,0.6928722434846,0.0245672914478437,0.7284371915834429,0.0419928090915582,0.7994535207450638,0.027749054419062516,0.21761013277823843,0.017555542312705917
esm2_t33_650M_UR50D,per_sequence,random_forest,0.7508471199564182,0.025892884418149985,0.8347228799740136,0.03473543079094426,0.7725251796560307,0.02674318144886286,0.6728633913926424,0.037497209515895434,0.6753304468637673,0.04454175934730698,0.9052369335675141,0.020136033724305964,0.20353922309610847,0.010239000378174497
esm2_t30_150M_UR50D,fusion,xgboost,0.753067407806691,0.03197146163204213,0.834297191651442,0.04070792798803422,0.7614802079875892,0.026363195272242554,0.6940044000104142,0.033315144081611237,0.7322227098372969,0.05216798218684249,0.7960534682710194,0.025881193163242826,0.21658474078465537,0.02294581820684102
esm2_t12_35M_UR50D,fusion,xgboost,0.7538056426324815,0.025905049469407384,0.8339938667810717,0.03970707650718704,0.7651517052927457,0.026164742432769783,0.6994916556015517,0.030380139811760232,0.736696471132359,0.050995434735867366,0.7981875042015362,0.01822154453625283,0.21420775349696702,0.019085595734154463
prot_bert_bfd,per_sequence,xgboost,0.749043155931133,0.029113900995979818,0.8336321133042371,0.04048319832241208,0.758582283341615,0.029045482376189535,0.6891623057095994,0.030269970599076136,0.7247483254023326,0.04497928804470578,0.7970103982403399,0.0201661286136919,0.21835554978930932,0.0211704515463225
esm2_t6_8M_UR50D,per_sequence,xgboost,0.7475518802974336,0.021591407618629044,0.8336021730247953,0.03161155934375559,0.7551450768998491,0.024497795608600294,0.6848051237991097,0.032342581067216526,0.7246097245974082,0.05489822733258669,0.791898616151369,0.02533717331476322,0.22170318406890485,0.02059509494278266
esm2_t6_8M_UR50D,fusion,xgboost,0.7495217913312314,0.025453238606509096,0.833203574897094,0.03648592569173173,0.7566074613306489,0.023309057230404648,0.6893237262100029,0.030948471359015853,0.731728066256202,0.05494806743004739,0.7866946494109384,0.02406556513030852,0.21960275910958998,0.020929594504058464
esm2_t12_35M_UR50D,per_sequence,xgboost,0.7515938992056104,0.026325430960387267,0.8320586637644638,0.03960724979294369,0.7632005888320059,0.024321174445125167,0.6967459449608164,0.0273900746720899,0.7337699594335123,0.045322247025964865,0.7970665739118766,0.022863256076229094,0.2157858569541725,0.01860217860694857
esm2_t12_35M_UR50D,fusion,random_forest,0.7439990120928153,0.028117963003683043,0.8301930417619132,0.03498177816211157,0.7715658783778714,0.026428295969461713,0.6749618578978885,0.03899514143852398,0.6807302125758018,0.04734324534626001,0.8944062562572868,0.03396670072919093,0.2034443387530514,0.010949722202710357
esm2_t6_8M_UR50D,per_sequence,random_forest,0.7436190255490553,0.027025358232359492,0.8295941794201396,0.034890150072268755,0.7718621998398308,0.03035928781610232,0.6739941159624047,0.04192275574182124,0.6781464518842556,0.047260035271512825,0.8993713194330748,0.037979603141776355,0.2049915241328048,0.010444707879626371
