fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,n_test,n_test_pos,n_test_neg,fusion_name,models,algorithm
0,0.7136021999134391,0.7623733873861827,0.6883018867924529,0.6669354838709678,0.722662440570523,0.6570605187319885,0.22324405154390387,1240,694,546,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,logistic
1,0.7287726255847061,0.8324722204731244,0.7255813953488373,0.6666666666666666,0.7657784011220197,0.6893939393939394,0.2149965823832294,1239,792,447,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,logistic
2,0.7610163291097143,0.8481920585648224,0.7338820301783264,0.6868442292171105,0.7787481804949054,0.6939040207522698,0.2009938444655722,1239,771,468,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,logistic
3,0.7142142254080257,0.8115712362766027,0.7005571030640668,0.6529459241323649,0.76793893129771,0.6440460947503202,0.22688572731336099,1239,781,458,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,logistic
4,0.7348587889242746,0.8284986394912979,0.7361299052774019,0.6852300242130751,0.7661971830985915,0.7083333333333334,0.21422585095031008,1239,768,471,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,logistic
0,0.713406910092789,0.7568749494514018,0.7265536723163842,0.6096774193548387,0.5975836431226765,0.9265129682997119,0.22249898909562482,1240,694,546,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,random_forest
1,0.7335957449212482,0.8492359373993443,0.7699214365881033,0.6690879741727199,0.692929292929293,0.8661616161616161,0.20105956231738525,1239,792,447,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,random_forest
2,0.7835450685645239,0.8608146064951111,0.79337899543379,0.7078288942695722,0.7084607543323139,0.9014267185473411,0.19662894129088665,1239,771,468,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,random_forest
3,0.7635491392179996,0.8478745806022722,0.7820796460176991,0.682001614205004,0.688412852969815,0.9052496798975672,0.19854820984665053,1239,781,458,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,random_forest
4,0.7352637893665959,0.8293677177818649,0.7677564825253664,0.6674737691686844,0.6769383697813122,0.88671875,0.2036952325638401,1239,768,471,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,random_forest
0,0.7204162312231477,0.7803831195766151,0.7160178685386088,0.6411290322580645,0.6426116838487973,0.80835734870317,0.2451231721392973,1240,694,546,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,xgboost
1,0.7444777755180441,0.8554342921739961,0.76,0.6900726392251816,0.7524752475247525,0.7676767676767676,0.22015186698468786,1239,792,447,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,xgboost
2,0.7954925892669082,0.8748076108235628,0.7825537294563844,0.7223567393058918,0.7632552404438965,0.8028534370946823,0.19242989904710742,1239,771,468,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,xgboost
3,0.767957886261595,0.8561684266908405,0.7833433916716959,0.7102502017756255,0.7408675799086758,0.8309859154929577,0.20567290852140213,1239,781,458,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,xgboost
4,0.7546471381811749,0.8483997901025926,0.7638376383763837,0.6900726392251816,0.7237762237762237,0.80859375,0.22010133153634304,1239,768,471,esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,xgboost
0,0.6976781623755687,0.7537899607401745,0.672645739910314,0.646774193548387,0.6987577639751553,0.6484149855907781,0.23257465929150192,1240,694,546,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,logistic
1,0.7310182360517932,0.8467974821848632,0.7173620457604307,0.6610169491525424,0.7680115273775217,0.672979797979798,0.21856187105230557,1239,792,447,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,logistic
2,0.7483898145376744,0.8348008985930646,0.7344632768361582,0.6965294592413237,0.8062015503875969,0.6744487678339819,0.2164648999176511,1239,771,468,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,logistic
3,0.741278955990808,0.8303471261952642,0.7220267417311752,0.6811945117029863,0.8015625,0.6568501920614597,0.21852278706166894,1239,781,458,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,logistic
4,0.7357627830856335,0.8264063463981005,0.7489878542510121,0.6997578692493946,0.7773109243697479,0.72265625,0.21368273683981884,1239,768,471,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,logistic
0,0.717707244724536,0.7647368860996981,0.7303561334087055,0.6153225806451613,0.6009302325581395,0.930835734870317,0.22142406490355218,1240,694,546,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
1,0.7474168417960364,0.8613446395295772,0.7719688542825361,0.6690879741727199,0.6898608349900597,0.8762626262626263,0.1992722449607226,1239,792,447,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
2,0.7838623942709546,0.8626597476200921,0.7896253602305475,0.705407586763519,0.7105809128630706,0.8884565499351491,0.1977048008878742,1239,771,468,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
3,0.7793124367483184,0.8610961644871986,0.7873754152823921,0.6900726392251816,0.6936585365853658,0.910371318822023,0.19644472316384182,1239,781,458,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
4,0.7415502808740267,0.8377202779952881,0.776850306065665,0.6763518966908797,0.6783284742468416,0.9088541666666666,0.2022979573656938,1239,768,471,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,random_forest
0,0.7299722371768481,0.7964663109041306,0.7139175257731959,0.6419354838709678,0.6456876456876457,0.7982708933717579,0.24665996844140223,1240,694,546,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
1,0.7619003231419337,0.868609544698918,0.763681592039801,0.6933010492332526,0.7524509803921569,0.7752525252525253,0.21202938206768251,1239,792,447,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
2,0.7872587493210061,0.8614613197538378,0.7772087067861716,0.7191283292978208,0.7673830594184576,0.7872892347600519,0.1939562998734954,1239,771,468,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
3,0.7780921335875515,0.8616911448757039,0.7878419452887538,0.718321226795803,0.75,0.8297055057618438,0.20052717078919596,1239,781,458,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
4,0.7510919807147912,0.8500330039137622,0.7526348419094855,0.6779661016949152,0.7183431952662722,0.7903645833333334,0.22601260347415317,1239,768,471,esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,xgboost
0,0.7071866653999219,0.7609613942658593,0.6701649175412294,0.6451612903225806,0.6984375,0.6440922190201729,0.23023429010387833,1240,694,546,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,logistic
1,0.7466075746277088,0.8560799492786278,0.7305389221556886,0.6731234866828087,0.7721518987341772,0.6931818181818182,0.21265981406959314,1239,792,447,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,logistic
2,0.7595862848781136,0.8447882725154132,0.742001361470388,0.6941081517352704,0.7808022922636103,0.7068741893644618,0.20632809004174113,1239,771,468,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,logistic
3,0.7265766093184753,0.8255058318450447,0.7011331444759207,0.6594027441485069,0.7844690966719493,0.6338028169014085,0.23029386848153977,1239,781,458,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,logistic
4,0.7419165782024062,0.8268618210145252,0.7357723577235772,0.6852300242130751,0.7669491525423728,0.70703125,0.21346311296084983,1239,768,471,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,logistic
0,0.7166859317435686,0.7699796012190941,0.7314867156585642,0.6169354838709677,0.6018604651162791,0.9322766570605188,0.22115216532677068,1240,694,546,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,random_forest
1,0.7506397871330758,0.8581510564139294,0.7743016759776536,0.6739305891848265,0.6943887775551102,0.875,0.20018902029540378,1239,792,447,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,random_forest
2,0.7841436917312404,0.8620525592481117,0.7872582480091013,0.6981436642453591,0.7011144883485309,0.8975356679636836,0.19591865823676458,1239,771,468,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,random_forest
3,0.7659072737337083,0.8501599103362234,0.7920353982300885,0.6965294592413237,0.697176241480039,0.9167733674775929,0.1974246876513317,1239,781,458,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,random_forest
4,0.7474677105449399,0.8341668641737182,0.776850306065665,0.6763518966908797,0.6783284742468416,0.9088541666666666,0.2016662477877207,1239,768,471,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,random_forest
0,0.7338410868670233,0.798179965052648,0.720360824742268,0.65,0.6515151515151515,0.8054755043227666,0.24115432116818958,1240,694,546,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,xgboost
1,0.7641798296160713,0.8690461707014094,0.7638376383763837,0.6900726392251816,0.7446043165467626,0.7840909090909091,0.21198253036531692,1239,792,447,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,xgboost
2,0.7906564900728326,0.865540506746545,0.7824427480916031,0.7239709443099274,0.7677902621722846,0.7976653696498055,0.19091783947429436,1239,771,468,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,xgboost
3,0.7670017724449116,0.8539984680715693,0.7812309567336989,0.7102502017756255,0.7453488372093023,0.8207426376440461,0.20481413873113719,1239,781,458,esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,xgboost
