fusion_name,models,algorithm,n_pairs,n_features,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,logistic,6196,9408,0.730492833788032,0.01939066173859462,0.816621508438406,0.03300520730106338,0.7168904641322171,0.021321861643537336,0.671724465620037,0.01424918121324197,0.7602650273167499,0.021679818072693466,0.6785475813923703,0.02689191873353312,0.2160692113312753,0.010003631172695546
esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,random_forest,6196,9408,0.7458721304326313,0.027608712303362384,0.8288335583459988,0.04177299295197985,0.7679380465762687,0.025317286327027084,0.6672139342341639,0.03599402916436667,0.6728649826270822,0.04357534952204813,0.8972139465812472,0.022445208324926247,0.2044861870228775,0.010414224500398627
esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,xgboost,6196,9408,0.7565983240901739,0.027846284243788502,0.8430386478735216,0.03636539278112322,0.7611505256086145,0.02736841910599048,0.6907762503579888,0.03099354153819377,0.7245971951004692,0.04811094924148228,0.8036934437935155,0.022850331458981438,0.2166958356457675,0.019634126007999173
esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,logistic,6196,14528,0.7308255904082954,0.019627402976009293,0.8184283628222934,0.036934722914147164,0.7190971316978181,0.02871801981473665,0.6770545965789269,0.022836137510359455,0.7703688532220043,0.043124596304049606,0.6750699986932036,0.02877350021037137,0.21996139083258925,0.007327511895604289
esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,random_forest,6196,14528,0.7539698396827744,0.027604234553989394,0.8375115431463709,0.04199070526244918,0.7712352138539692,0.023988905210412654,0.6712485354994924,0.03420384631660262,0.6746717982486954,0.04281313283337843,0.9029560793113565,0.021153162844678584,0.2034287582563369,0.01029474148397362
esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,xgboost,6196,14528,0.7616630847884263,0.02258963276052021,0.8476522648292706,0.029379659325022685,0.7590569223594816,0.028540587914599902,0.6901304381785518,0.032079493954413285,0.7267729761529065,0.04871838827331171,0.7961765484959025,0.020488748674455957,0.21583708492918588,0.021102441519734883
esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,logistic,6196,15552,0.7363747424853252,0.020137935311994468,0.8228394537838939,0.0368743286185152,0.7159221406733608,0.030001021034768444,0.6714051394204483,0.019636089432127277,0.7605619880424219,0.03541113409902172,0.6769964586935723,0.03537341169713807,0.21859583513152042,0.011004276111113681
esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,random_forest,6196,15552,0.7529688789773065,0.024957017009358616,0.8349019982782154,0.03783494947664648,0.7723864687882145,0.023998093222644384,0.6723782186466714,0.03293644417683659,0.6745736893493601,0.041560914580085845,0.9060879718336924,0.021490001407909878,0.20327015585959832,0.01024751428303965
esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,xgboost,6196,15552,0.7639567399049094,0.020181507923270014,0.8476344647781996,0.028633761550342845,0.7625517202677349,0.025158214358582905,0.6930347054075867,0.027923233008872554,0.7265671606431717,0.04477493213922909,0.8038344674748389,0.01388043109959333,0.21238705115147938,0.018347050608044507
esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,logistic,6196,19744,0.7392273434742961,0.016922095116179287,0.8252876096246802,0.03476293536404297,0.718337724190579,0.03465363255551983,0.675280012497071,0.021407013620371795,0.7647202441022604,0.036407188580737715,0.6777632945538917,0.03904171779157356,0.21849837549119716,0.008670692485887626
esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,random_forest,6196,19744,0.7509173511572772,0.022821981036474686,0.8348428875803519,0.03763888209475776,0.7700660445302363,0.025576681722255783,0.6696351115623942,0.035604072941290046,0.6735757364474032,0.043161197292225284,0.901560754636092,0.020318028026234267,0.20367269867844479,0.009666850581644003
esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,xgboost,6196,19744,0.7658859023185329,0.021660133577163614,0.8500344872681099,0.02729399516204757,0.7676695433232358,0.029009633140859536,0.7004601786039729,0.03354609567248977,0.7335175320517024,0.05006939701695715,0.806996677091641,0.01704468031528449,0.21172698232182122,0.01879394976992562
