src,dst,src_ac,dst_ac,compartment,edge_type,edge_label,edge_id
499,1999,O00548,O15530,cell_junction,co_localized,-1,499|1999|cell_junction
499,1526,O00548,O43294,cell_junction,co_localized,-1,499|1526|cell_junction
499,1827,O00548,O60331,cell_junction,co_localized,-1,499|1827|cell_junction
499,787,O00548,O94875,cell_junction,co_localized,-1,499|787|cell_junction
499,51,O00548,O95786,cell_junction,co_localized,-1,51|499|cell_junction
499,1790,O00548,P05556,cell_junction,co_localized,-1,499|1790|cell_junction
499,1664,O00548,P07332,cell_junction,co_localized,-1,499|1664|cell_junction
499,797,O00548,P07947,cell_junction,co_localized,-1,499|797|cell_junction
499,1824,O00548,P08034,cell_junction,co_localized,-1,499|1824|cell_junction
499,1191,O00548,P08195,cell_junction,co_localized,-1,499|1191|cell_junction
499,801,O00548,P08648,cell_junction,co_localized,-1,499|801|cell_junction
499,63,O00548,P12830,cell_junction,co_localized,-1,63|499|cell_junction
499,807,O00548,P12931,cell_junction,co_localized,-1,499|807|cell_junction
499,959,O00548,P16284,cell_junction,co_localized,-1,499|959|cell_junction
499,897,O00548,P17302,cell_junction,co_localized,-1,499|897|cell_junction
499,1318,O00548,P18433,cell_junction,co_localized,-1,499|1318|cell_junction
499,2097,O00548,P25054,cell_junction,co_localized,-1,499|2097|cell_junction
499,1101,O00548,P27361,cell_junction,co_localized,-1,499|1101|cell_junction
499,1102,O00548,P28482,cell_junction,co_localized,-1,499|1102|cell_junction
499,1792,O00548,P29033,cell_junction,co_localized,-1,499|1792|cell_junction
499,815,O00548,P29317,cell_junction,co_localized,-1,499|815|cell_junction
499,1300,O00548,P31645,cell_junction,co_localized,-1,499|1300|cell_junction
499,674,O00548,P35222,cell_junction,co_localized,-1,499|674|cell_junction
499,818,O00548,P35968,cell_junction,co_localized,-1,499|818|cell_junction
499,869,O00548,P36897,cell_junction,co_localized,-1,499|869|cell_junction
499,632,O00548,P46937,cell_junction,co_localized,-1,499|632|cell_junction
499,1894,O00548,P48059,cell_junction,co_localized,-1,499|1894|cell_junction
499,1601,O00548,P49023,cell_junction,co_localized,-1,499|1601|cell_junction
499,1615,O00548,P50552,cell_junction,co_localized,-1,499|1615|cell_junction
499,1406,O00548,P56750,cell_junction,co_localized,-1,499|1406|cell_junction
499,1534,O00548,P61073,cell_junction,co_localized,-1,499|1534|cell_junction
499,1648,O00548,P61224,cell_junction,co_localized,-1,499|1648|cell_junction
499,829,O00548,Q02763,cell_junction,co_localized,-1,499|829|cell_junction
499,1088,O00548,Q05513,cell_junction,co_localized,-1,499|1088|cell_junction
499,909,O00548,Q07912,cell_junction,co_localized,-1,499|909|cell_junction
499,1320,O00548,Q12913,cell_junction,co_localized,-1,499|1320|cell_junction
499,735,O00548,Q12959,cell_junction,co_localized,-1,499|735|cell_junction
499,1907,O00548,Q13009,cell_junction,co_localized,-1,499|1907|cell_junction
499,722,O00548,Q14155,cell_junction,co_localized,-1,499|722|cell_junction
499,1058,O00548,Q14160,cell_junction,co_localized,-1,499|1058|cell_junction
499,754,O00548,Q14247,cell_junction,co_localized,-1,499|754|cell_junction
499,1536,O00548,Q14511,cell_junction,co_localized,-1,499|1536|cell_junction
499,911,O00548,Q14524,cell_junction,co_localized,-1,499|911|cell_junction
