model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
MegaWeighted_hgt0.5_edge0.3_hetero0.2,0.87163175617867,0.019179283424511792,0.9195274109798515,0.01604914900547498,0.8327329890605661,0.02385919661278946,0.7955183680908121,0.021771320605570896,0.8345607789428708,0.03075927254149248,0.8319222529745769,0.035389941883578,0.14898357480192578,0.016194233809093798
MegaWeighted_hgt0.6_edge0.4,0.8701616879759548,0.019674037766001,0.9172797806970003,0.015954189394288883,0.8293541219459193,0.024188653695991744,0.7916449269702414,0.023117945205674045,0.8330124562571062,0.0360841285128257,0.8272085222273535,0.037812097599859755,0.1514639437783577,0.01716255272785023
MegaWeighted_hgt0.4_edge0.2_hetero0.2_xgb0.1_nn0.1,0.8690302831499255,0.02013658245795855,0.9168972083762021,0.019367331094139822,0.8342995230230388,0.023115838201624085,0.7966483115936368,0.020034475953017467,0.8324217957158613,0.027048018667216726,0.8369723285037465,0.03439274177642704,0.14427819407323766,0.013419965534985496
MegaWeighted_hgt0.7_edge0.3,0.8696371119209474,0.02052961304697472,0.9168638315260678,0.016468642185949983,0.8279635966999311,0.024686889553580865,0.7911604051133849,0.023569208920696413,0.8364190525491374,0.034648282984394145,0.8211360950335294,0.03934568725912353,0.15250248629395896,0.017411708576526092
MegaWeighted_hgt0.5_edge0.3_graph0.2,0.8688785449332356,0.022024536254494825,0.9162250378560538,0.018263242192053764,0.8300617825950939,0.025142529301507087,0.791806217292822,0.024644275995598763,0.8309455597227258,0.03616739599865984,0.8307815381743099,0.04012962748319693,0.14887334888653644,0.01741422283150062
MegaStacking_LogReg,0.8682492684861021,0.020379258823532448,0.9161826670928928,0.020298648454449057,0.8346820700525418,0.023724148048324418,0.7947115259444401,0.02182136936789939,0.8235887445696164,0.029238422365861994,0.8471708210803792,0.03775068965753059,0.14598372428978895,0.013494975010348872
MegaWeighted_hgt0.5_edge0.2_xgb0.2_nn0.1,0.863866422376201,0.02043316817239451,0.9126662658671207,0.019669760680571153,0.8323395159007054,0.023997830809063255,0.7940659741206488,0.023010798342126455,0.830758746207926,0.03363748013388397,0.8351971930784641,0.036935958556671686,0.1464424678876232,0.013815639014484076
MegaWeighted_all_equal,0.8624509664706246,0.019601829310947977,0.9117965874658307,0.02036534633275142,0.8353620802608182,0.018977198079901423,0.79551693613476,0.016600790790032776,0.8246468624012533,0.02512963295077431,0.8472899889310781,0.032580477008776,0.14705767500316966,0.011872014131699195
HGT,0.8613435190928526,0.023295990298493614,0.9102952233658546,0.018469735294834356,0.8230751075725721,0.026109643073852155,0.7861572808456352,0.025290389155266994,0.8350129975925912,0.034516615721324355,0.812656453524039,0.03724817978202151,0.16220054526624977,0.01863924323527882
MegaWeighted_hgt_only,0.8613435190928526,0.023295990298493614,0.9102952233658546,0.01846973529483437,0.8230751075725721,0.026109643073852155,0.7861572808456352,0.025290389155266994,0.8350129975925912,0.034516615721324355,0.812656453524039,0.03724817978202151,0.162200545303522,0.018639243222267395
EdgeAwareHeteroGNN,0.8553725441138258,0.01512007636099953,0.9062428631712283,0.01338851016029953,0.8206033109472937,0.017214119154043268,0.7780858652919889,0.018589438691403934,0.8153720414365212,0.03547935723864392,0.8277223778217195,0.035011572261548066,0.16827119869722773,0.01867173123773146
HeteroGraphSAGE,0.8458230408960989,0.010257693550134993,0.9004858774827605,0.012917758989829468,0.8104676026684118,0.019467908367905854,0.7693699393371344,0.010637836330504254,0.8154623205326791,0.0033041557770460347,0.8061598911137133,0.03619550858460388,0.17057174302577596,0.01680796015173754
GraphSAGE,0.8217995163004239,0.02059830640551098,0.8783286908425778,0.015853511307388282,0.7992124646056293,0.02641149489754233,0.7540383764221927,0.024139962886815497,0.8003400320900298,0.03441485151371747,0.8005170834373965,0.050482938638850214,0.1780723390343099,0.019925537936857973
HeteroGAT,0.8190753652221281,0.025180208783705395,0.8709584520977218,0.02906961067162358,0.8048922782548992,0.017378347396529197,0.7482281496524251,0.019147632504218574,0.768648995129311,0.03698288479363836,0.8470075610013603,0.036806466308640894,0.17084693362692843,0.014216417614378196
GAT,0.7130318766425172,0.029889935236281494,0.791507762880336,0.026532967857947135,0.7609928187857687,0.018041060922303356,0.6187932515816605,0.026804645712410924,0.6192241367040711,0.027324776399499488,0.9888311688311688,0.024974265722724907,0.24567652066605966,0.017783735376070774
