gene,importance,pair_id,enz_gene,sub_gene,prob_hgt_saved,y_true
USP10,0.0009263157844543457,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
TP53,0.0004929304122924805,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
ID1,1.3470649719238281e-05,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
RNF168,1.055002212524414e-05,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
ZBTB10,8.761882781982422e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
BRD4,7.212162017822266e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
TBX21,6.258487701416016e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
AR,5.781650543212891e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
ZEB1,5.662441253662109e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
KLF4,5.185604095458984e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
MYC,4.827976226806641e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
MEX3B,4.708766937255859e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
CEBPB,4.231929779052734e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
RNF40,4.112720489501953e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
PARP1,3.993511199951172e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
RUNX1,3.814697265625e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
TCF4,3.6954879760742188e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
RC3H1,3.6954879760742188e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
OTUD4,3.4570693969726562e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
RNF128,3.2186508178710938e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
STUB1,0.001442253589630127,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
TP53,0.0006898641586303711,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
DAXX,1.2755393981933594e-05,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
TERF2,1.239776611328125e-05,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
TAL1,8.761882781982422e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
FOXP3,8.046627044677734e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
KMT2A,7.808208465576172e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
PELI3,7.68899917602539e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
CIC,7.092952728271484e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
RNASET2,6.973743438720703e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
EZH2,6.616115570068359e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
ATRX,6.616115570068359e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
MYOCD,6.496906280517578e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
POU5F1,6.139278411865234e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
KDM4B,6.020069122314453e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
TCF7L2,5.543231964111328e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
SLC11A2,5.543231964111328e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
AR,5.304813385009766e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
ZBTB38,5.185604095458984e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
IRF1,4.947185516357422e-06,E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0
TP53,0.0021259188652038574,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
CYLD,0.0012069940567016602,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
PRKDC,5.900859832763672e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
PARP1,5.424022674560547e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
TRIM33,4.708766937255859e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
ILF3,4.708766937255859e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
OTUD4,4.231929779052734e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
TNRC6A,3.874301910400391e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
DDB2,3.516674041748047e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
USP1,3.3974647521972656e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
RPS2,3.159046173095703e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
RPS10,3.039836883544922e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
FZR1,2.9206275939941406e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
NONO,2.8014183044433594e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
MCM7,2.8014183044433594e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
NPM1,2.562999725341797e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
CAPRIN1,2.562999725341797e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
USP10,2.4437904357910156e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
EIF4B,2.3245811462402344e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
FBXO42,2.205371856689453e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
ITCH,0.0018263459205627441,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
POLR2A,2.282857894897461e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
NFE2,2.282857894897461e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
POU5F1,2.1278858184814453e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
ARID1A,2.110004425048828e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
CEBPA,2.0623207092285156e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
JUNB,1.9788742065429688e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
JUN,1.800060272216797e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
MYC,1.7642974853515625e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
GLI1,1.6689300537109375e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
DTX1,1.633167266845703e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
