pair_id,enzyme,substrate,probability,y_true,top_explanatory_genes
DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0,USP10; TP53; ID1; RNF168; ZBTB10
DUB|P40818|Q96J02,USP8,ITCH,0.9961338,1.0,USP8; ITCH; ID1; PJA1; YY1
DUB|P40818|P29466,USP8,CASP1,0.99612135,1.0,USP8; CASP1; ID1; PJA1; NFE2L2
E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0,ITCH; DVL2; POLR2A; NFE2; DTX1
E3|Q9UNE7|P04637,STUB1,TP53,0.99606293,1.0,STUB1; TP53; DAXX; TERF2; TAL1
E3|P40337|O14641,VHL,DVL2,0.9960174,1.0,VHL; DVL2; DPPA2; UIMC1; TRIM33
E3|Q9NZJ0|P04637,DTL,TP53,0.99601245,1.0,TP53; DTL; ATR; DCAF15; KAT2A
E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0,ITCH; POLR2A; NFE2; POU5F1; ARID1A
DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0,TP53; CYLD; PRKDC; PARP1; TRIM33
E3|Q96J02|Q13546,ITCH,RIPK1,0.99593425,1.0,ITCH; RIPK1; NFE2; POLR2A; POU5F1
