gene,frequency,mean_importance,total_importance
CDKN1B,3,0.007257143656412761,0.02177143096923828
ITCH,21,0.0009855741546267555,0.020697057247161865
STUB1,10,0.0015676081180572509,0.01567608118057251
TP53,28,0.0002641443695340838,0.007396042346954346
USP8,6,0.0012136300404866536,0.007281780242919922
TRIM21,5,0.001030278205871582,0.00515139102935791
IRF3,2,0.002515643835067749,0.005031287670135498
TRAF6,7,0.0006696752139500209,0.0046877264976501465
AKT1,5,0.0008260846138000488,0.004130423069000244
RNF34,4,0.0007977485656738281,0.0031909942626953125
CYLD,3,0.0010223984718322754,0.003067195415496826
TRAF4,4,0.0004670768976211548,0.0018683075904846191
SMURF2,1,0.0013973116874694824,0.0013973116874694824
ZNRF1,2,0.000660240650177002,0.001320481300354004
USP12,1,0.001011669635772705,0.001011669635772705
USP10,5,0.00018792152404785157,0.0009396076202392578
TRIM32,3,0.0002983411153157552,0.0008950233459472656
PRKACA,1,0.0007247328758239746,0.0007247328758239746
VHL,3,0.0002219080924987793,0.0006657242774963379
TRAF3,1,0.0006234645843505859,0.0006234645843505859
PARK2,4,0.00015117228031158447,0.0006046891212463379
PRKCZ,3,0.00019673506418863931,0.000590205192565918
YAP1,21,2.534900392804827e-05,0.0005323290824890137
RAF1,3,0.00017092625300089517,0.0005127787590026855
TRIM69,1,0.00044602155685424805,0.00044602155685424805
DTL,1,0.00043255090713500977,0.00043255090713500977
RIPK1,3,0.00014092524846394858,0.0004227757453918457
SQSTM1,10,4.082322120666504e-05,0.0004082322120666504
ID1,7,5.5730342864990234e-05,0.00039011240005493164
GLI1,22,1.4963475140658291e-05,0.0003291964530944824
DVL2,4,8.159875869750977e-05,0.00032639503479003906
NFE2,18,1.763304074605306e-05,0.0003173947334289551
POLR2A,19,1.66924376236765e-05,0.0003171563148498535
POU5F1,22,1.4066696166992188e-05,0.0003094673156738281
MYC,22,1.389601013877175e-05,0.0003057122230529785
PRKCI,1,0.0002886652946472168,0.0002886652946472168
STAM,1,0.00028830766677856445,0.00028830766677856445
ARID1A,18,1.578529675801595e-05,0.0002841353416442871
CEBPA,20,1.4188885688781739e-05,0.00028377771377563477
JUNB,18,1.5325016445583766e-05,0.0002758502960205078
DCAF15,9,3.06036737230089e-05,0.0002754330635070801
JUN,19,1.3812592155054995e-05,0.0002624392509460449
DTX1,19,1.3602407355057566e-05,0.00025844573974609375
FYN,1,0.00023490190505981445,0.00023490190505981445
MSX2,3,7.710854212443034e-05,0.00023132562637329102
SOX2,20,1.1438131332397461e-05,0.00022876262664794922
RIPK2,1,0.00022870302200317383,0.00022870302200317383
N4BP1,18,1.2444125281439887e-05,0.00022399425506591797
YY1,23,9.632628896962041e-06,0.00022155046463012695
KLF10,18,1.1970599492390951e-05,0.0002154707908630371
NOD1,1,0.0002052783966064453,0.0002052783966064453
SMAD7,20,1.0147690773010254e-05,0.00020295381546020508
TP73,21,9.428887140183223e-06,0.00019800662994384766
TRIM28,13,1.4937840975247897e-05,0.00019419193267822266
UBE2O,23,8.287637130073879e-06,0.00019061565399169922
FBXO42,22,8.507208390669389e-06,0.00018715858459472656
MDM2,23,7.803025452987008e-06,0.00017946958541870117
CASP1,1,0.00017392635345458984,0.00017392635345458984
TP63,22,7.835301485928623e-06,0.0001723766326904297
PHLPP1,1,0.00017213821411132812,0.00017213821411132812
PJA1,6,2.7388334274291992e-05,0.00016433000564575195
SMAD6,17,9.63140936458812e-06,0.00016373395919799805
GLIS3,18,9.06984011332194e-06,0.00016325712203979492
ESR1,12,1.3187527656555176e-05,0.0001582503318786621
DVL3,19,8.068586650647616e-06,0.0001533031463623047
CBLC,20,7.286667823791504e-06,0.00014573335647583008
SUFU,18,7.4870056576199e-06,0.0001347661018371582
MYCN,2,6.651878356933594e-05,0.00013303756713867188
CBL,5,2.6547908782958983e-05,0.00013273954391479492
SMAD3,19,6.901590447676809e-06,0.00013113021850585938
PPARGC1A,3,4.3233235677083336e-05,0.00012969970703125
IKBKB,19,6.703953993947882e-06,0.00012737512588500977
ESR2,8,1.5251338481903076e-05,0.00012201070785522461
AR,10,1.2123584747314453e-05,0.00012123584747314453
ZRANB1,23,5.216702170993971e-06,0.00011998414993286133
PIAS3,3,3.933906555175781e-05,0.00011801719665527344
RNASET2,14,8.425542286464146e-06,0.00011795759201049805
TRRAP,9,1.2887848748101129e-05,0.00011599063873291016
SMAD4,17,6.563523236443015e-06,0.00011157989501953125
NFE2L2,8,1.3679265975952148e-05,0.00010943412780761719
STAT6,7,1.4977795737130301e-05,0.00010484457015991211
TRIM25,9,1.140435536702474e-05,0.00010263919830322266
MAP3K7,2,5.111098289489746e-05,0.00010222196578979492
TRIM56,19,5.3110875581440174e-06,0.00010091066360473633
FBXW5,3,3.337860107421875e-05,0.00010013580322265625
BRAF,2,4.932284355163574e-05,9.864568710327148e-05
SLC11A2,14,7.033348083496094e-06,9.846687316894531e-05
USP21,8,1.1704862117767334e-05,9.363889694213867e-05
USP27X,17,5.1891102510340076e-06,8.821487426757812e-05
FZR1,8,1.0184943675994873e-05,8.147954940795898e-05
TP53BP2,15,5.217393239339193e-06,7.826089859008789e-05
SMAD2,15,5.0266583760579424e-06,7.539987564086914e-05
ITSN1,3,2.3444493611653645e-05,7.033348083496094e-05
PIAS4,3,2.3186206817626953e-05,6.955862045288086e-05
SMN1,14,4.913125719342913e-06,6.878376007080078e-05
USP28,6,1.1195739110310873e-05,6.717443466186523e-05
ATXN1,5,1.3184547424316406e-05,6.592273712158203e-05
USP22,7,8.991786411830357e-06,6.29425048828125e-05
CRLS1,8,7.659196853637695e-06,6.127357482910156e-05
WWP2,14,4.253217152186803e-06,5.9545040130615234e-05
EGFR,3,1.9530455271402996e-05,5.8591365814208984e-05
ANLN,14,4.116977964128767e-06,5.7637691497802734e-05
PRKDC,7,8.089201790945871e-06,5.6624412536621094e-05
SMARCE1,12,4.6441952387491865e-06,5.5730342864990234e-05
SHANK3,6,9.000301361083984e-06,5.4001808166503906e-05
MMP2,9,5.781650543212891e-06,5.2034854888916016e-05
CBLB,8,6.429851055145264e-06,5.143880844116211e-05
MCPH1,6,8.414189020792643e-06,5.048513412475586e-05
ILF3,6,8.374452590942383e-06,5.02467155456543e-05
RELA,8,6.273388862609863e-06,5.0187110900878906e-05
ACACA,4,1.2055039405822754e-05,4.8220157623291016e-05
BTRC,6,7.838010787963867e-06,4.70280647277832e-05
USP1,6,7.818142573038736e-06,4.690885543823242e-05
INF2,3,1.539786656697591e-05,4.6193599700927734e-05
SIRT3,8,5.751848220825195e-06,4.601478576660156e-05
ULK1,7,6.352152143205915e-06,4.4465065002441406e-05
PHF8,1,4.404783248901367e-05,4.404783248901367e-05
CCNF,10,4.398822784423828e-06,4.398822784423828e-05
KIF23,9,4.814730750189887e-06,4.3332576751708984e-05
BSG,10,4.154443740844727e-06,4.1544437408447266e-05
DAXX,5,8.296966552734374e-06,4.1484832763671875e-05
ANAPC2,3,1.3669331868489584e-05,4.100799560546875e-05
NACC1,1,3.93986701965332e-05,3.93986701965332e-05
RNF5,8,4.887580871582031e-06,3.910064697265625e-05
PARP1,9,4.298157162136502e-06,3.8683414459228516e-05
NOX4,10,3.790855407714844e-06,3.790855407714844e-05
RNF8,2,1.8864870071411133e-05,3.7729740142822266e-05
RSAD2,8,4.626810550689697e-06,3.701448440551758e-05
TERF2,4,8.940696716308594e-06,3.5762786865234375e-05
BNIP1,6,5.9405962626139326e-06,3.5643577575683594e-05
HDAC6,8,4.447996616363525e-06,3.55839729309082e-05
BRD4,8,4.388391971588135e-06,3.510713577270508e-05
BCR,3,1.1682510375976562e-05,3.504753112792969e-05
RSL1D1,4,8.64267349243164e-06,3.457069396972656e-05
EP300,5,6.771087646484375e-06,3.3855438232421875e-05
MAFB,1,3.3736228942871094e-05,3.3736228942871094e-05
CHUK,5,6.735324859619141e-06,3.36766242980957e-05
RNF128,7,4.717281886509486e-06,3.3020973205566406e-05
PMAIP1,6,5.493561426798503e-06,3.2961368560791016e-05
WRN,1,3.230571746826172e-05,3.230571746826172e-05
RARA,3,1.0669231414794922e-05,3.2007694244384766e-05
DAND5,6,5.27501106262207e-06,3.165006637573242e-05
TAZ,7,4.504408155168806e-06,3.153085708618164e-05
DTX3,4,7.852911949157715e-06,3.141164779663086e-05
CDC25C,3,1.0093053181966146e-05,3.0279159545898438e-05
PI4K2A,8,3.7401914596557617e-06,2.9921531677246094e-05
CSNK2B,3,9.934107462565104e-06,2.9802322387695312e-05
TAL1,4,7.37607479095459e-06,2.950429916381836e-05
TRIM33,6,4.78823979695638e-06,2.872943878173828e-05
TOMM20,6,4.659096399943034e-06,2.7954578399658203e-05
STAT3,3,9.258588155110678e-06,2.777576446533203e-05
PELI3,5,5.543231964111328e-06,2.771615982055664e-05
IRF1,4,6.750226020812988e-06,2.7000904083251953e-05
CPSF6,6,4.450480143229167e-06,2.6702880859375e-05
PHB,6,4.380941390991211e-06,2.6285648345947266e-05
KDM1A,4,6.541609764099121e-06,2.6166439056396484e-05
GLUL,2,1.3053417205810547e-05,2.6106834411621094e-05
UHRF1,2,1.3023614883422852e-05,2.6047229766845703e-05
KLHL15,3,8.58306884765625e-06,2.574920654296875e-05
GRIA1,6,4.26173210144043e-06,2.5570392608642578e-05
JAK3,4,6.377696990966797e-06,2.5510787963867188e-05
FOXP3,4,6.318092346191406e-06,2.5272369384765625e-05
WLS,7,3.6018235342843193e-06,2.5212764739990234e-05
NONO,5,4.8995018005371095e-06,2.4497509002685547e-05
PGAM5,7,3.482614244733538e-06,2.4378299713134766e-05
NPM1,6,4.043181737263997e-06,2.4259090423583984e-05
ABL1,5,4.839897155761719e-06,2.4199485778808594e-05
RNF185,6,4.013379414876302e-06,2.4080276489257812e-05
LRRK2,5,4.744529724121093e-06,2.372264862060547e-05
GLUD1,5,4.696846008300781e-06,2.3484230041503906e-05
NR3C1,6,3.914038340250651e-06,2.3484230041503906e-05
TRIM63,5,4.625320434570312e-06,2.3126602172851562e-05
PTPN11,4,5.632638931274414e-06,2.2530555725097656e-05
KMT2A,4,5.632638931274414e-06,2.2530555725097656e-05
PPP1CA,6,3.7451585133870444e-06,2.2470951080322266e-05
PABPC1,7,3.1249863760811943e-06,2.187490463256836e-05
BAP1,4,5.424022674560547e-06,2.1696090698242188e-05
ATR,3,7.152557373046875e-06,2.1457672119140625e-05
TAB1,1,2.1398067474365234e-05,2.1398067474365234e-05
TRIP12,1,2.1398067474365234e-05,2.1398067474365234e-05
RNF144B,5,4.243850708007813e-06,2.1219253540039062e-05
STAR,5,4.220008850097656e-06,2.110004425048828e-05
ATRX,6,3.506739934285482e-06,2.104043960571289e-05
FBXW11,2,1.049041748046875e-05,2.09808349609375e-05
BAG3,2,1.0460615158081055e-05,2.092123031616211e-05
ARL6IP5,5,4.1604042053222655e-06,2.0802021026611328e-05
AMBRA1,4,5.155801773071289e-06,2.0623207092285156e-05
HEXIM1,4,5.155801773071289e-06,2.0623207092285156e-05
MST1R,3,6.854534149169922e-06,2.0563602447509766e-05
TRAF2,4,5.140900611877441e-06,2.0563602447509766e-05
TEK,5,3.993511199951172e-06,1.996755599975586e-05
SOCS5,1,1.9848346710205078e-05,1.9848346710205078e-05
RNF149,3,6.536642710367839e-06,1.9609928131103516e-05
UBE2E1,5,3.910064697265625e-06,1.9550323486328125e-05
FOSL1,1,1.9490718841552734e-05,1.9490718841552734e-05
CIC,5,3.838539123535157e-06,1.919269561767578e-05
MYOCD,4,4.738569259643555e-06,1.895427703857422e-05
HAND1,1,1.8835067749023438e-05,1.8835067749023438e-05
SUZ12,2,9.387731552124023e-06,1.8775463104248047e-05
PML,5,3.7550926208496094e-06,1.8775463104248047e-05
BCL6,4,4.649162292480469e-06,1.8596649169921875e-05
GJB2,5,3.62396240234375e-06,1.811981201171875e-05
DCAF4,1,1.800060272216797e-05,1.800060272216797e-05
ZBTB16,2,8.970499038696289e-06,1.7940998077392578e-05
RNF168,2,8.940696716308594e-06,1.7881393432617188e-05
CEP68,2,8.881092071533203e-06,1.7762184143066406e-05
DYRK1A,6,2.960364023844401e-06,1.7762184143066406e-05
CDCA3,2,8.821487426757812e-06,1.7642974853515625e-05
DPPA2,2,8.821487426757812e-06,1.7642974853515625e-05
GUCY1A2,3,5.880991617838542e-06,1.7642974853515625e-05
SOCS3,3,5.841255187988281e-06,1.7523765563964844e-05
RNF130,3,5.841255187988281e-06,1.7523765563964844e-05
CDC20,3,5.821386973063151e-06,1.7464160919189453e-05
USP34,2,8.702278137207031e-06,1.7404556274414062e-05
SOCS6,2,8.64267349243164e-06,1.728534698486328e-05
EZH2,4,4.26173210144043e-06,1.704692840576172e-05
TERT,3,5.582968393961589e-06,1.6748905181884766e-05
CDC25A,3,5.563100179036458e-06,1.6689300537109375e-05
RNF4,4,4.1425228118896484e-06,1.6570091247558594e-05
TRAIP,4,4.112720489501953e-06,1.6450881958007812e-05
KDM4B,4,4.112720489501953e-06,1.6450881958007812e-05
CDKN1A,3,5.443890889485677e-06,1.633167266845703e-05
TCF7L2,4,4.082918167114258e-06,1.633167266845703e-05
STAT2,1,1.627206802368164e-05,1.627206802368164e-05
OTUD4,4,4.06801700592041e-06,1.627206802368164e-05
USP39,2,8.106231689453125e-06,1.621246337890625e-05
CUEDC1,5,3.24249267578125e-06,1.621246337890625e-05
FOXK2,3,5.404154459635417e-06,1.621246337890625e-05
BEND3,2,8.07642936706543e-06,1.615285873413086e-05
USP30,5,3.2067298889160155e-06,1.6033649444580078e-05
JAK1,3,5.3246815999348956e-06,1.5974044799804688e-05
IRAK1,2,7.927417755126953e-06,1.5854835510253906e-05
DUSP1,1,1.5735626220703125e-05,1.5735626220703125e-05
FOXO1,2,7.867813110351562e-06,1.5735626220703125e-05
JKAMP,3,5.225340525309245e-06,1.5676021575927734e-05
CISD1,4,3.874301910400391e-06,1.5497207641601562e-05
USP7,3,5.125999450683594e-06,1.537799835205078e-05
NCOA3,2,7.62939453125e-06,1.52587890625e-05
ATG16L1,3,5.066394805908203e-06,1.519918441772461e-05
CFTR,5,3.0279159545898436e-06,1.5139579772949219e-05
UIMC1,2,7.510185241699219e-06,1.5020370483398438e-05
CTBP2,3,4.967053731282552e-06,1.4901161193847656e-05
MLXIPL,2,7.450580596923828e-06,1.4901161193847656e-05
KCTD17,4,3.7103891372680664e-06,1.4841556549072266e-05
TLE3,2,7.3909759521484375e-06,1.4781951904296875e-05
TRIM37,3,4.887580871582031e-06,1.4662742614746094e-05
APC,4,3.6507844924926758e-06,1.4603137969970703e-05
ZNRF2,1,1.4543533325195312e-05,1.4543533325195312e-05
CAPRIN1,5,2.884864807128906e-06,1.4424324035644531e-05
TRIM44,1,1.4424324035644531e-05,1.4424324035644531e-05
AIFM1,3,4.78823979695638e-06,1.436471939086914e-05
CASR,4,3.56137752532959e-06,1.424551010131836e-05
RNF40,4,3.546476364135742e-06,1.4185905456542969e-05
USP49,1,1.4185905456542969e-05,1.4185905456542969e-05
USP19,3,4.728635152180989e-06,1.4185905456542969e-05
TRPC4AP,3,4.708766937255859e-06,1.4126300811767578e-05
RIPK4,2,6.973743438720703e-06,1.3947486877441406e-05
RNF31,5,2.789497375488281e-06,1.3947486877441406e-05
NTRK1,4,3.427267074584961e-06,1.3709068298339844e-05
MCM7,4,3.3974647521972656e-06,1.3589859008789062e-05
CD40LG,3,4.5299530029296875e-06,1.3589859008789062e-05
REST,2,6.705522537231445e-06,1.341104507446289e-05
HEY2,2,6.67572021484375e-06,1.33514404296875e-05
GJB1,4,3.2782554626464844e-06,1.3113021850585938e-05
NCOR1,1,1.3113021850585938e-05,1.3113021850585938e-05
RNF145,3,4.311402638753255e-06,1.2934207916259766e-05
RNF139,3,4.271666208902995e-06,1.2814998626708984e-05
SOCS2,1,1.2755393981933594e-05,1.2755393981933594e-05
RPS10,5,2.5391578674316407e-06,1.2695789337158203e-05
FADD,2,6.318092346191406e-06,1.2636184692382812e-05
PAWR,2,6.288290023803711e-06,1.2576580047607422e-05
USP4,3,4.192193349202474e-06,1.2576580047607422e-05
HMGCR,3,4.192193349202474e-06,1.2576580047607422e-05
NFATC2,1,1.245737075805664e-05,1.245737075805664e-05
SGOL1,1,1.245737075805664e-05,1.245737075805664e-05
MAP3K9,2,6.22868537902832e-06,1.245737075805664e-05
ATP5F1B,4,3.11434268951416e-06,1.245737075805664e-05
NOSIP,3,4.112720489501953e-06,1.233816146850586e-05
ETV6,3,4.0332476298014326e-06,1.2099742889404297e-05
GMEB1,1,1.2040138244628906e-05,1.2040138244628906e-05
CREBBP,1,1.1980533599853516e-05,1.1980533599853516e-05
RPS2,4,2.9653310775756836e-06,1.1861324310302734e-05
PROM1,2,5.900859832763672e-06,1.1801719665527344e-05
USP15,5,2.360343933105469e-06,1.1801719665527344e-05
TNIK,2,5.900859832763672e-06,1.1801719665527344e-05
ACVR1,2,5.841255187988281e-06,1.1682510375976562e-05
MTMR4,4,2.9206275939941406e-06,1.1682510375976562e-05
GPR37,2,5.781650543212891e-06,1.1563301086425781e-05
FBXO32,1,1.150369644165039e-05,1.150369644165039e-05
SCNN1A,4,2.8759241104125977e-06,1.150369644165039e-05
TNRC6A,3,3.83456548055013e-06,1.150369644165039e-05
FRS2,1,1.150369644165039e-05,1.150369644165039e-05
HIPK2,3,3.83456548055013e-06,1.150369644165039e-05
OGDH,3,3.83456548055013e-06,1.150369644165039e-05
USP11,2,5.7220458984375e-06,1.1444091796875e-05
BRCA1,3,3.7749608357747397e-06,1.1324882507324219e-05
SPOP,2,5.662441253662109e-06,1.1324882507324219e-05
ATG13,1,1.1265277862548828e-05,1.1265277862548828e-05
SP1,2,5.5730342864990234e-06,1.1146068572998047e-05
PIK3CA,2,5.543231964111328e-06,1.1086463928222656e-05
RNF13,3,3.6954879760742188e-06,1.1086463928222656e-05
KEAP1,2,5.4836273193359375e-06,1.0967254638671875e-05
HNRNPD,3,3.6160151163736978e-06,1.0848045349121094e-05
SCNN1B,5,2.157688140869141e-06,1.0788440704345703e-05
DDB2,3,3.596146901448568e-06,1.0788440704345703e-05
ITGA5,4,2.637505531311035e-06,1.055002212524414e-05
ZBTB38,2,5.245208740234375e-06,1.049041748046875e-05
POU2F1,1,1.043081283569336e-05,1.043081283569336e-05
SOX9,1,1.043081283569336e-05,1.043081283569336e-05
SNPH,1,1.043081283569336e-05,1.043081283569336e-05
MARVELD2,4,2.60770320892334e-06,1.043081283569336e-05
UHRF2,1,1.043081283569336e-05,1.043081283569336e-05
SLC6A3,2,5.066394805908203e-06,1.0132789611816406e-05
TAAR1,2,5.066394805908203e-06,1.0132789611816406e-05
BLM,2,5.036592483520508e-06,1.0073184967041016e-05
HLA-A,2,5.0067901611328125e-06,1.0013580322265625e-05
DNA2,3,3.2782554626464844e-06,9.834766387939453e-06
SCN5A,3,3.2782554626464844e-06,9.834766387939453e-06
PCM1,1,9.834766387939453e-06,9.834766387939453e-06
RRM1,1,9.834766387939453e-06,9.834766387939453e-06
ZFP91,2,4.857778549194336e-06,9.715557098388672e-06
TFAP4,2,4.857778549194336e-06,9.715557098388672e-06
HAS2,3,3.238519032796224e-06,9.715557098388672e-06
GJD2,3,3.238519032796224e-06,9.715557098388672e-06
