pair_id,target_enzyme,target_substrate,node_id,gene,uniprot,degree,base_prob,masked_prob,importance_drop
DUB|Q14694|P04637,USP10,TP53,436,USP10,Q14694,288,0.9962882995605469,0.9953619837760925,0.0009263157844543457
DUB|Q14694|P04637,USP10,TP53,528,TP53,P04637,998,0.9962882995605469,0.9957953691482544,0.0004929304122924805
DUB|Q14694|P04637,USP10,TP53,1646,ID1,P41134,36,0.9962882995605469,0.9962748289108276,1.3470649719238281e-05
DUB|Q14694|P04637,USP10,TP53,199,RNF168,Q8IYW5,68,0.9962882995605469,0.9962777495384216,1.055002212524414e-05
DUB|Q14694|P04637,USP10,TP53,748,ZBTB10,Q96DT7,45,0.9962882995605469,0.9962795376777649,8.761882781982422e-06
DUB|Q14694|P04637,USP10,TP53,584,BRD4,O60885,349,0.9962882995605469,0.996281087398529,7.212162017822266e-06
DUB|Q14694|P04637,USP10,TP53,2019,TBX21,Q9UL17,7,0.9962882995605469,0.9962820410728455,6.258487701416016e-06
DUB|Q14694|P04637,USP10,TP53,554,AR,P10275,310,0.9962882995605469,0.9962825179100037,5.781650543212891e-06
DUB|Q14694|P04637,USP10,TP53,555,ZEB1,P37275,90,0.9962882995605469,0.9962826371192932,5.662441253662109e-06
DUB|Q14694|P04637,USP10,TP53,1241,KLF4,O43474,54,0.9962882995605469,0.9962831139564514,5.185604095458984e-06
DUB|Q14694|P04637,USP10,TP53,709,MYC,P01106,546,0.9962882995605469,0.9962834715843201,4.827976226806641e-06
DUB|Q14694|P04637,USP10,TP53,164,MEX3B,Q6ZN04,35,0.9962882995605469,0.9962835907936096,4.708766937255859e-06
DUB|Q14694|P04637,USP10,TP53,1641,CEBPB,P17676,296,0.9962882995605469,0.9962840676307678,4.231929779052734e-06
DUB|Q14694|P04637,USP10,TP53,30,RNF40,O75150,78,0.9962882995605469,0.9962841868400574,4.112720489501953e-06
DUB|Q14694|P04637,USP10,TP53,57,PARP1,P09874,371,0.9962882995605469,0.9962843060493469,3.993511199951172e-06
DUB|Q14694|P04637,USP10,TP53,1068,RUNX1,Q01196,113,0.9962882995605469,0.9962844848632812,3.814697265625e-06
DUB|Q14694|P04637,USP10,TP53,136,RC3H1,Q5TC82,100,0.9962882995605469,0.9962846040725708,3.6954879760742188e-06
DUB|Q14694|P04637,USP10,TP53,2000,TCF4,P15884,63,0.9962882995605469,0.9962846040725708,3.6954879760742188e-06
DUB|Q14694|P04637,USP10,TP53,432,OTUD4,Q01804,62,0.9962882995605469,0.9962848424911499,3.4570693969726562e-06
