enzyme,substrate,probability,literature_support,pair_id
MDM2,TP53,0.99485403,MDM2-mediated TP53 ubiquitination,E3|Q00987|P04637
VHL,HIF1A,0.99367046,VHL-mediated HIF1A degradation,E3|P40337|Q16665
CBL,EGFR,0.9929317,CBL-mediated EGFR ubiquitination,E3|P22681|P00533
USP7,TP53,0.99479985,USP7 regulates TP53/MDM2 axis,DUB|Q93009|P04637
BTRC,CTNNB1,0.99414426,BTRC targets CTNNB1,E3|Q9Y297|P35222
STUB1,TP53,0.99606293,STUB1 regulates TP53 stability,E3|Q9UNE7|P04637
ITCH,NOTCH1,0.9959919,ITCH regulates NOTCH1 signaling,E3|Q96J02|P46531
ITCH,DVL2,0.9961189,ITCH regulates DVL2 turnover,E3|Q96J02|O14641
CYLD,TP53,0.9959875,CYLD regulates TP53 signaling,DUB|Q9NQC7|P04637
USP10,TP53,0.9962883,USP10 deubiquitinates TP53,DUB|Q14694|P04637
