pair_id,enzyme_class,enz_gene,sub_gene,enz_node,sub_node,node_id,gene,uniprot,degree,base_prob_fold0,masked_prob,importance_drop,prob_hgt_mean_day16,prob_hgt_std_day16
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,671,AKT1,P31749,731,0.9953226447105408,0.9932509064674377,0.0020717382431030273,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,528,TP53,P04637,998,0.9953226447105408,0.9953183531761169,4.291534423828125e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1298,MAPT,P10636,803,0.9953226447105408,0.9953193068504333,3.337860107421875e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,586,ESR1,P03372,919,0.9953226447105408,0.9953199028968811,2.7418136596679688e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,77,VHL,P40337,669,0.9953226447105408,0.9953201413154602,2.5033950805664062e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,754,CTTN,Q14247,818,0.9953226447105408,0.9953202605247498,2.384185791015625e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1881,LRRK2,Q5S007,788,0.9953226447105408,0.9953204989433289,2.1457672119140625e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1869,NOS3,P29474,705,0.9953226447105408,0.995320737361908,1.9073486328125e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1861,HSP90AA1,P07900,882,0.9953226447105408,0.9953208565711975,1.7881393432617188e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,158,RICTOR,Q6R327,673,0.9953226447105408,0.9953208565711975,1.7881393432617188e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,11,AURKA,O14965,782,0.9953226447105408,0.9953209757804871,1.6689300537109375e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,309,AMBRA1,Q9C0C7,690,0.9953226447105408,0.9953209757804871,1.6689300537109375e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1637,DDX3X,O00571,879,0.9953226447105408,0.9953210949897766,1.5497207641601562e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,632,YAP1,P46937,687,0.9953226447105408,0.9953210949897766,1.5497207641601562e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1237,ANXA2,P07355,658,0.9953226447105408,0.9953210949897766,1.5497207641601562e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,2097,APC,P25054,701,0.9953226447105408,0.9953213334083557,1.3113021850585938e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,821,MTOR,P42345,819,0.9953226447105408,0.9953215718269348,1.0728836059570312e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,189,MIB1,Q86YT6,803,0.9953226447105408,0.9953215718269348,1.0728836059570312e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,482,CYLD,Q9NQC7,772,0.9953226447105408,0.9953216910362244,9.5367431640625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,289,RNF5,Q99942,668,0.9953226447105408,0.9953216910362244,9.5367431640625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1900,ATF4,P18848,667,0.9953226447105408,0.9953218102455139,8.344650268554688e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1979,NUMA1,Q14980,732,0.9953226447105408,0.9953218102455139,8.344650268554688e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1607,VIM,P08670,791,0.9953226447105408,0.9953219294548035,7.152557373046875e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,508,SLC11A2,P49281,753,0.9953226447105408,0.9953219294548035,7.152557373046875e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,776,PHB,P35232,731,0.9953226447105408,0.9953219294548035,7.152557373046875e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1355,OPTN,Q96CV9,657,0.9953226447105408,0.9953219294548035,7.152557373046875e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1050,ANXA1,P04083,813,0.9953226447105408,0.995322048664093,5.960464477539062e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1913,DLG5,Q8TDM6,665,0.9953226447105408,0.995322048664093,5.960464477539062e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1089,DTNBP1,Q96EV8,669,0.9953226447105408,0.995322048664093,5.960464477539062e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,293,TRAF4,Q9BUZ4,699,0.9953226447105408,0.9953221678733826,4.76837158203125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1907,TIAM1,Q13009,669,0.9953226447105408,0.9953221678733826,4.76837158203125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1615,VASP,P50552,690,0.9953226447105408,0.9953221678733826,4.76837158203125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,787,SORBS2,O94875,656,0.9953226447105408,0.9953221678733826,4.76837158203125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1536,NEDD9,Q14511,715,0.9953226447105408,0.9953221678733826,4.76837158203125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,424,USP6,P35125,695,0.9953226447105408,0.9953222870826721,3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1551,SNX9,Q9Y5X1,756,0.9953226447105408,0.9953222870826721,3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1687,TRIP10,Q15642,738,0.9953226447105408,0.9953222870826721,3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1828,MACF1,Q9UPN3,732,0.9953226447105408,0.9953222870826721,3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,17,PJA2,O43164,805,0.9953226447105408,0.9953222870826721,3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1209,PTPN14,Q15678,659,0.9953226447105408,0.9953222870826721,3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1519,RALBP1,Q15311,779,0.9953226447105408,0.9953222870826721,3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1297,APP,P05067,940,0.9953226447105408,0.9953222870826721,3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1727,TLN1,Q9Y490,701,0.9953226447105408,0.9953224062919617,2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1668,MSN,P26038,696,0.9953226447105408,0.9953224062919617,2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1546,PI4K2A,Q9BTU6,695,0.9953226447105408,0.9953224062919617,2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,281,RAB40C,Q96S21,700,0.9953226447105408,0.9953224062919617,2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1672,CSNK1D,P48730,741,0.9953226447105408,0.9953224062919617,2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1760,UTRN,P46939,668,0.9953226447105408,0.9953224062919617,2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1664,FES,P07332,745,0.9953226447105408,0.9953224062919617,2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1426,PRKCE,Q02156,712,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,860,HIST1H2AB,Q86WV6,860,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1725,UBQLN1,Q9UMX0,658,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,674,CTNNB1,P35222,875,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,895,NTRK1,P04629,767,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,803,FGR,P09769,764,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,797,YES1,P07947,747,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1524,INPPL1,O15357,666,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1242,SGK1,O00141,666,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,114,SQSTM1,Q13501,667,0.9953226447105408,0.9953225255012512,1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1307,GNAI3,P08754,672,0.9953226447105408,0.9953226447105408,0.0,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1269,OGT,O15294,725,0.9953226447105408,0.9953226447105408,0.0,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,969,RAF1,P04049,807,0.9953226447105408,0.9953226447105408,0.0,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,23,PARK2,O60260,815,0.9953226447105408,0.9953226447105408,0.0,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,438,JOSD1,Q15040,659,0.9953226447105408,0.9953227639198303,-1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1343,PKD1,P98161,673,0.9953226447105408,0.9953227639198303,-1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1583,SPHK2,Q9NRA0,684,0.9953226447105408,0.9953227639198303,-1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,822,ZAP70,P43403,655,0.9953226447105408,0.9953227639198303,-1.1920928955078125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1865,PRKACA,P17612,683,0.9953226447105408,0.9953228831291199,-2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1694,MARK2,Q7KZI7,681,0.9953226447105408,0.9953228831291199,-2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,650,NLRP3,Q96P20,751,0.9953226447105408,0.9953228831291199,-2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1152,RHOA,P61586,747,0.9953226447105408,0.9953228831291199,-2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,82,RNF144A,P50876,657,0.9953226447105408,0.9953228831291199,-2.384185791015625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1235,CDC42,P60953,757,0.9953226447105408,0.9953230023384094,-3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,629,VDAC1,P21796,722,0.9953226447105408,0.9953230023384094,-3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1366,TCHP,Q9BT92,776,0.9953226447105408,0.9953230023384094,-3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,652,PARK7,Q99497,721,0.9953226447105408,0.9953230023384094,-3.5762786865234375e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,813,FGFR3,P22607,664,0.9953226447105408,0.995323121547699,-4.76837158203125e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,818,KDR,P35968,705,0.9953226447105408,0.9953232407569885,-5.960464477539062e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1794,BACE1,P56817,680,0.9953226447105408,0.9953232407569885,-5.960464477539062e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,808,CFTR,P13569,742,0.9953226447105408,0.9953232407569885,-5.960464477539062e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1148,PCSK9,Q8NBP7,688,0.9953226447105408,0.9953234791755676,-8.344650268554688e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,68,KITLG,P21583,685,0.9953226447105408,0.9953234791755676,-8.344650268554688e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,807,SRC,P12931,840,0.9953226447105408,0.9953235983848572,-9.5367431640625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1568,SCNN1A,P37088,696,0.9953226447105408,0.9953235983848572,-9.5367431640625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,63,CDH1,P12830,814,0.9953226447105408,0.9953235983848572,-9.5367431640625e-07,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1520,ARL6IP5,O75915,760,0.9953226447105408,0.9953238368034363,-1.1920928955078125e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1190,CD74,P04233,696,0.9953226447105408,0.9953238368034363,-1.1920928955078125e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,679,EGFR,P00533,867,0.9953226447105408,0.9953238368034363,-1.1920928955078125e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1418,CD40LG,P29965,689,0.9953226447105408,0.9953239560127258,-1.3113021850585938e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1599,WLS,Q5T9L3,660,0.9953226447105408,0.9953239560127258,-1.3113021850585938e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1380,BSG,P35613,672,0.9953226447105408,0.9953240752220154,-1.430511474609375e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,805,FGFR1,P11362,683,0.9953226447105408,0.9953243732452393,-1.7285346984863281e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,812,FGFR4,P22455,692,0.9953226447105408,0.9953244924545288,-1.8477439880371094e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1908,PKD2,Q13563,668,0.9953226447105408,0.9953246116638184,-1.9669532775878906e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,829,TEK,Q02763,703,0.9953226447105408,0.9953247308731079,-2.086162567138672e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1417,CD44,P16070,717,0.9953226447105408,0.9953250885009766,-2.4437904357910156e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,1863,HSPA8,P11142,854,0.9953226447105408,0.9953259229660034,-3.2782554626464844e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,753,HSPA5,P11021,802,0.9953226447105408,0.995326042175293,-3.3974647521972656e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,970,HSPA1A,P0DMV8,679,0.9953226447105408,0.9953261613845825,-3.516674041748047e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P31749,DUB,USP15,AKT1,492,671,328,SMURF1,Q9HCE7,667,0.9953226447105408,0.9953269958496094,-4.351139068603516e-06,0.9949152,0.0017240107
DUB|Q9Y4E8|P04637,DUB,USP15,TP53,492,528,528,TP53,P04637,998,0.9953182339668274,0.9943134784698486,0.0010047554969787598,0.99485,0.0018478711
DUB|Q9Y4E8|P04637,DUB,USP15,TP53,492,528,2097,APC,P25054,701,0.9953182339668274,0.995314359664917,3.874301910400391e-06,0.99485,0.0018478711
DUB|Q9Y4E8|P04637,DUB,USP15,TP53,492,528,1637,DDX3X,O00571,879,0.9953182339668274,0.9953157901763916,2.4437904357910156e-06,0.99485,0.0018478711
