enzyme_class,enz_gene,sub_gene,enz_ac,sub_ac,enz_node,sub_node,pair_id,prob_hgt_mean,prob_hgt_std,found
DUB,USP15,AKT1,Q9Y4E8,P31749,492.0,671.0,DUB|Q9Y4E8|P31749,0.9949152,0.0017240107,True
DUB,USP15,TP53,Q9Y4E8,P04637,492.0,528.0,DUB|Q9Y4E8|P04637,0.99485,0.0018478711,True
DUB,USP15,MAPK8,Q9Y4E8,P45983,492.0,1837.0,DUB|Q9Y4E8|P45983,0.9949361,0.0017746688,True
DUB,USP15,MAPK3,Q9Y4E8,P27361,492.0,1101.0,DUB|Q9Y4E8|P27361,0.99492836,0.0017665252,True
DUB,USP15,TNFAIP3,Q9Y4E8,P21580,492.0,67.0,DUB|Q9Y4E8|P21580,0.99481356,0.0018888309,True
DUB,USP10,CTNNB1,Q14694,P35222,436.0,674.0,DUB|Q14694|P35222,0.9948136,0.0017541168,True
DUB,USP10,MAPK3,Q14694,P27361,436.0,1101.0,DUB|Q14694|P27361,0.9948578,0.0017557165,True
E3,CDC20,TP53,Q12834,P04637,99.0,528.0,E3|Q12834|P04637,0.9948837,0.0018482589,True
,USP20,CTNNB1,,,,,,,,False
,USP20,TRAF6,,,,,,,,False
,TRIM32,SQSTM1,,,,,,,,False
,TRAF4,AKT1,,,,,,,,False
