pair_label,top_explanatory_genes,probability
ITCH -> RIPK1,"ITCH, RIPK1, NFE2, POLR2A, POU5F1",0.99593425
CYLD -> TP53,"TP53, CYLD, PRKDC, PARP1, TRIM33",0.9959875
ITCH -> NOTCH1,"ITCH, NFE2, POLR2A, POU5F1, ARID1A",0.9959919
DTL -> TP53,"TP53, DTL, ATR, DCAF15, KAT2A",0.99601245
VHL -> DVL2,"VHL, DVL2, DPPA2, UIMC1, TRIM33",0.9960174
STUB1 -> TP53,"STUB1, TP53, DAXX, TERF2, TAL1",0.99606293
ITCH -> DVL2,"ITCH, DVL2, POLR2A, NFE2, DTX1",0.9961189
USP8 -> CASP1,"USP8, CASP1, ID1, PJA1, NFE2L2",0.99612135
USP8 -> ITCH,"USP8, ITCH, ID1, PJA1, YY1",0.9961338
USP10 -> TP53,"USP10, TP53, ID1, RNF168, ZBTB10",0.9962883
