pair_id,enzyme_class,enz_node,sub_node,enz_ac,sub_ac,enz_gene,sub_gene,is_known_pair,prob_hgt_fold0,prob_hgt_fold1,prob_hgt_fold2,prob_hgt_fold3,prob_hgt_fold4,prob_hgt_mean,prob_hgt_std,crc_enz_expr,crc_sub_expr,lihc_enz_expr,lihc_sub_expr,crc_activity,lihc_activity,crc_score,lihc_score,gi_score,contains_gi_seed,driver_hit,driver_pathways,final_priority_score,candidate
DUB|Q9Y4E8|P07900,DUB,492,1861,Q9Y4E8,P07900,USP15,HSP90AA1,False,0.99484766,0.9948796,0.9960724,0.996061,0.99182147,0.9947365,0.0017370433,0.212307329548939,0.6312241315013377,0.2342134789067781,0.7009251187825654,0.3660785567414422,0.4051741730703122,0.3641517022580336,0.4030415388103566,0.3835966205341951,False,True,stress_autophagy,0.3809158923233895,USP15→HSP90AA1
DUB|Q9Y4E8|P01100,DUB,492,1390,Q9Y4E8,P01100,USP15,FOS,False,0.99566025,0.99498147,0.9960884,0.9960472,0.9917442,0.99490434,0.0018215233,0.212307329548939,0.5695628909393946,0.2342134789067781,0.5712069276742916,0.3477389486173737,0.3657654462989201,0.3459669891664621,0.3639016299448326,0.3549343095556473,False,True,mapk,0.3524836278508182,USP15→FOS
DUB|Q9Y4E8|P21580,DUB,492,67,Q9Y4E8,P21580,USP15,TNFAIP3,False,0.9952709,0.9950105,0.9963212,0.99590176,0.9915631,0.99481356,0.0018888309,0.212307329548939,0.3991094086074028,0.2342134789067781,0.3998897265837338,0.2910907981013725,0.3060385009149284,0.2895810731424676,0.3044512505922431,0.2970161618673553,True,True,nfkb_inflammation,0.2949186538983304,USP15→TNFAIP3
DUB|Q14694|P07900,DUB,436,1861,Q14694,P07900,USP10,HSP90AA1,False,0.99470735,0.9950841,0.996114,0.9958352,0.9915175,0.9946516,0.0018406782,0.1127920176901713,0.6312241315013377,0.1224415392824192,0.7009251187825654,0.266827741074203,0.292954519448753,0.2654006395838417,0.2913876814969333,0.2783941605403875,False,True,stress_autophagy,0.2763964403099172,USP10→HSP90AA1
E3|Q9UNE7|P01100,E3,393,1390,Q9UNE7,P01100,STUB1,FOS,False,0.9954633,0.99501884,0.99547064,0.9960253,0.9912151,0.9946386,0.0019468125,0.126335103190291,0.5695628909393946,0.1239542247439152,0.5712069276742916,0.2682457578419254,0.2660892930732472,0.2668075850358317,0.2646626819373643,0.265735133486598,False,True,mapk,0.2637968581210722,STUB1→FOS
DUB|Q14694|P01100,DUB,436,1390,Q14694,P01100,USP10,FOS,False,0.9954144,0.9950088,0.9957327,0.99565154,0.99136317,0.99463415,0.001850028,0.1127920176901713,0.5695628909393946,0.1224415392824192,0.5712069276742916,0.2534603473336634,0.2644606879542246,0.252100317128923,0.2630416315717654,0.2575709743503442,False,True,mapk,0.2557158057369705,USP10→FOS
DUB|Q9Y4E8|P18848,DUB,492,1900,Q9Y4E8,P18848,USP15,ATF4,False,0.99523383,0.99483347,0.99618345,0.9960251,0.99144894,0.99474496,0.0019247452,0.212307329548939,0.2849977728854777,0.2342134789067781,0.2856603624869297,0.2459819426069946,0.2586609891031794,0.2446892976593171,0.2573017152590026,0.2509955064591599,False,True,stress_autophagy,0.2491968745447617,USP15→ATF4
E3|Q9H0M0|P07900,E3,316,1861,Q9H0M0,P07900,WWP1,HSP90AA1,False,0.99489504,0.9949425,0.9961157,0.9959514,0.99102986,0.99458694,0.0020659755,0.0707208273049457,0.6312241315013377,0.1105303607783912,0.7009251187825654,0.2112834418373111,0.2783406299081642,0.2101397518896393,0.2768339553780335,0.2434868536338364,False,True,stress_autophagy,0.2416695612931778,WWP1→HSP90AA1
DUB|Q9Y4E8|P17861,DUB,492,1444,Q9Y4E8,P17861,USP15,XBP1,False,0.9953047,0.99484175,0.9959996,0.9957865,0.9912565,0.9946378,0.001942526,0.212307329548939,0.2528891586112485,0.2342134789067781,0.2733663501458208,0.2317115058356668,0.2530337603635157,0.2304690223990748,0.2516769427336945,0.2410729825663846,False,True,stress_autophagy,0.2393154245848101,USP15→XBP1
E3|Q9H0M0|P21580,E3,316,67,Q9H0M0,P21580,WWP1,TNFAIP3,False,0.9951841,0.9949162,0.9961748,0.9958866,0.9912162,0.99467564,0.0019998918,0.0707208273049457,0.3991094086074028,0.1105303607783912,0.3998897265837338,0.1680040105530316,0.2102378551804415,0.1671094967194034,0.209118473153833,0.1881139849366182,True,True,nfkb_inflammation,0.1867389406835673,WWP1→TNFAIP3
