group,short_label,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean,brier_mean
Cross-model fusion,"ESM650+ESM3B+ProtBERT-BFD
xgboost",0.7658859023185329,0.0216601335771636,0.8500344872681099,0.0272939951620475,0.7676695433232358,0.7004601786039729,0.7335175320517024,0.806996677091641,0.2117269823218212
Cross-model fusion,"ESM3B+ProtBERT-BFD
xgboost",0.7616630847884263,0.0225896327605202,0.8476522648292706,0.0293796593250226,0.7590569223594816,0.6901304381785518,0.7267729761529065,0.7961765484959025,0.2158370849291858
Cross-model fusion,"ESM650+ESM3B
xgboost",0.7639567399049094,0.02018150792327,0.8476344647781996,0.0286337615503428,0.7625517202677349,0.6930347054075867,0.7265671606431717,0.8038344674748389,0.2123870511514793
Pair-level ML,"ESM2-3B
fusion
xgboost",0.7594059217930198,0.0173104248314475,0.8463114032143025,0.0241963713391168,0.7561574664236483,0.6880311906063683,0.7275667907221286,0.7887203113953232,0.2153503508067328
Cross-model fusion,"ESM650+ProtBERT-BFD
xgboost",0.7565983240901739,0.0278462842437885,0.8430386478735216,0.0363653927811232,0.7611505256086145,0.6907762503579888,0.7245971951004692,0.8036934437935155,0.2166958356457675
Pair-level ML,"ESM2-3B
per_sequence
xgboost",0.756736881625838,0.0193517133017414,0.8421232555784239,0.0278656223083577,0.7606101117215809,0.6914219323596031,0.7266970117611216,0.7995727415932062,0.2166092245900841
Pair-level ML,"ESM2-650M
per_sequence
xgboost",0.7582921426599045,0.0280706700490052,0.8421199546031387,0.0373249790566678,0.7631187131074635,0.6941645187325887,0.7285373795883826,0.8030598984359869,0.2150886490738308
Pair-level ML,"ESM2-650M
fusion
xgboost",0.755620551568774,0.0289368906573384,0.8407798508903372,0.0408895141080857,0.760115289419843,0.6920655315160509,0.7290606953430407,0.7954433742369001,0.2156424495086068
Pair-level ML,"ESM2-3B
per_sequence
random_forest",0.7537014281189693,0.0186941973742848,0.8375525558009211,0.0322578562507208,0.7725122678072573,0.6712468431877945,0.6722532790620888,0.9102207731909944,0.2038400605378896
Cross-model fusion,"ESM3B+ProtBERT-BFD
random_forest",0.7539698396827744,0.0276042345539893,0.8375115431463709,0.0419907052624491,0.7712352138539692,0.6712485354994924,0.6746717982486954,0.9029560793113564,0.2034287582563369
Pair-level ML,"ESM2-3B
fusion
random_forest",0.7547270420014989,0.0222686594440006,0.8368461235462116,0.0361724374042174,0.7724767932322008,0.6707638834648129,0.6718302574475845,0.9112896445435296,0.2037688754267548
Pair-level ML,"ESM2-150M
per_sequence
xgboost",0.75357084186226,0.0309245276084722,0.8355905930665533,0.03727244241109,0.7600079108300739,0.6928741961519436,0.7320111467187769,0.7926879798476497,0.2170850952801591
Pair-level ML,"ProtBERT-BFD
fusion
xgboost",0.7511369468622238,0.0213421409336601,0.8355362856331532,0.0328502127216274,0.7613668774254371,0.6928722434846,0.7284371915834429,0.7994535207450638,0.2176101327782384
Cross-model fusion,"ESM650+ESM3B
random_forest",0.7529688789773065,0.0249570170093586,0.8349019982782154,0.0378349494766464,0.7723864687882145,0.6723782186466714,0.6745736893493601,0.9060879718336924,0.2032701558595983
Cross-model fusion,"ESM650+ESM3B+ProtBERT-BFD
random_forest",0.7509173511572772,0.0228219810364746,0.8348428875803519,0.0376388820947577,0.7700660445302363,0.6696351115623942,0.6735757364474032,0.901560754636092,0.2036726986784447
Pair-level ML,"ESM2-650M
per_sequence
random_forest",0.7508471199564182,0.0258928844181499,0.8347228799740136,0.0347354307909442,0.7725251796560307,0.6728633913926424,0.6753304468637673,0.905236933567514,0.2035392230961084
Pair-level ML,"ESM2-150M
fusion
xgboost",0.753067407806691,0.0319714616320421,0.834297191651442,0.0407079279880342,0.7614802079875892,0.6940044000104142,0.7322227098372969,0.7960534682710194,0.2165847407846553
Pair-level ML,"ESM2-35M
fusion
xgboost",0.7538056426324815,0.0259050494694073,0.8339938667810717,0.039707076507187,0.7651517052927457,0.6994916556015517,0.736696471132359,0.7981875042015362,0.214207753496967
Pair-level ML,"ProtBERT-BFD
per_sequence
xgboost",0.749043155931133,0.0291139009959798,0.8336321133042371,0.040483198322412,0.758582283341615,0.6891623057095994,0.7247483254023326,0.7970103982403399,0.2183555497893093
Cross-model fusion,"ESM650+ProtBERT-BFD
random_forest",0.7458721304326313,0.0276087123033623,0.8288335583459988,0.0417729929519798,0.7679380465762687,0.6672139342341639,0.6728649826270822,0.8972139465812472,0.2044861870228775
