code,full_label,roc_auc_mean,pr_auc_mean,brier_mean,group
P1,ESM2-3B | fusion | xgboost,0.7594059217930198,0.8463114032143025,0.2153503508067328,Pair-level ML
P2,ESM2-3B | per_sequence | xgboost,0.756736881625838,0.8421232555784239,0.2166092245900841,Pair-level ML
P3,ESM2-650M | per_sequence | xgboost,0.7582921426599045,0.8421199546031387,0.2150886490738308,Pair-level ML
P4,ESM2-650M | fusion | xgboost,0.755620551568774,0.8407798508903372,0.2156424495086068,Pair-level ML
P5,ESM2-3B | per_sequence | random_forest,0.7537014281189693,0.8375525558009211,0.2038400605378896,Pair-level ML
P6,ESM2-3B | fusion | random_forest,0.7547270420014989,0.8368461235462116,0.2037688754267548,Pair-level ML
P7,ESM2-150M | per_sequence | xgboost,0.75357084186226,0.8355905930665533,0.2170850952801591,Pair-level ML
P8,ProtBERT-BFD | fusion | xgboost,0.7511369468622238,0.8355362856331532,0.2176101327782384,Pair-level ML
F1,ESM650 + ESM3B + ProtBERT-BFD | xgboost,0.7658859023185329,0.8500344872681099,0.2117269823218212,Cross-model fusion
F2,ESM3B + ProtBERT-BFD | xgboost,0.7616630847884263,0.8476522648292706,0.2158370849291858,Cross-model fusion
F3,ESM650 + ESM3B | xgboost,0.7639567399049094,0.8476344647781996,0.2123870511514793,Cross-model fusion
F4,ESM650 + ProtBERT-BFD | xgboost,0.7565983240901739,0.8430386478735216,0.2166958356457675,Cross-model fusion
F5,ESM3B + ProtBERT-BFD | random_forest,0.7539698396827744,0.8375115431463709,0.2034287582563369,Cross-model fusion
F6,ESM650 + ESM3B | random_forest,0.7529688789773065,0.8349019982782154,0.2032701558595983,Cross-model fusion
