model_clean,epoch,train_loss_mean,pr_auc_mean,roc_auc_mean,brier_mean
BCE,0,0.5996637549155798,0.8053272512547848,0.7178705731370915,0.20978814506355178
BCE,1,0.4257563066788208,0.8270350872622301,0.7416175992746996,0.22031685195397516
BCE,2,0.3077183303160545,0.8261287647046686,0.7461287145818782,0.24045370956309556
BCE,3,0.2247123394256983,0.8298213865394896,0.7459653945802244,0.253987564558353
BCE,4,0.1734346706133622,0.8266273481349167,0.7490390857501691,0.26261413444882487
BCE,5,0.12493551812874962,0.8264985845020322,0.7480577968738762,0.26533715713403627
BCE,6,0.11337482927319327,0.8203160913389074,0.7442451207029416,0.27379247021000785
BCE,7,0.08180227717623492,0.8284313466652886,0.7541984431878248,0.2775562959316821
BCE,8,0.06663340855724151,0.8339764729427618,0.7577593386056544,0.27575620427000885
BCE,9,0.056059928940465784,0.8225540810357271,0.7455126486993132,0.28303017308040196
BCE,10,0.048762087724529724,0.8225693334520378,0.7475587541421944,0.2805504412679675
BCE,11,0.04271503760157006,0.8238275044202398,0.7512036768736536,0.2809157319015271
BCE,12,0.03214919293979896,0.8295334534171195,0.7563109809111567,0.2798953071343033
BCE,13,0.03443210246757814,0.8230558705860045,0.7470185589948268,0.2852208451298061
BCE,14,0.027213566989536375,0.8440984983765203,0.758716352770557,0.2821592924431571
BCE,15,0.01644655630083525,0.8449459706850154,0.7630593261069865,0.2779285848143136
BCE,16,0.0130131447107658,0.8477797816347512,0.7633933957128572,0.2762337132840131
BCE,17,0.019722147953684568,0.8502778967661767,0.7638794467636947,0.27544993683254665
BCE,18,0.013289116786167968,0.8535789878253602,0.7722207083663034,0.2665385636146562
BCE,19,0.012543199344589867,0.8479018129600444,0.7649459730283336,0.27633185792611514
BCE,20,0.0116995209323055,0.8483868289721594,0.7640017606101052,0.27779889412960196
BCE,21,0.0360400155783654,0.8624274206090865,0.790378405874027,0.2507101747516304
BCE,22,0.0256089342232698,0.8493919587435675,0.7775110027423922,0.2655804542762671
BCE,23,0.0240287558975605,0.8550980265888997,0.78324597487615,0.25743333885381
BCE,24,0.0234772153198719,0.8593702994756339,0.7895310841295118,0.2579514021816861
BCE,25,0.0226605960335104,0.8443789366305169,0.7705112681351733,0.2760582191980801
BCE,26,0.0252286102503347,0.8319040671968004,0.7662013999469215,0.2640525381700067
BCE,27,0.0096171132873934,0.8414464255106601,0.7790314822186837,0.2594415186654664
BCE,28,0.004368341089083,0.8398727737958874,0.7777916003184714,0.2585283641956906
BCE,29,0.0044333173703844,0.8357764835031535,0.7737111863057324,0.2630897871687314
BCE,30,0.0023647038107857,0.8379649266888863,0.7746649416135882,0.2649761763393356
BCE,31,0.0018580052121064,0.8405883813403616,0.7766222133757962,0.2651385643363427
BCE,32,0.0013765803738258,0.8403848059308976,0.7767258824309979,0.265134171355038
BCE,33,0.0010053821729693,0.8400642745286397,0.7757831851556971,0.2666489937857664
Weighted BCE,0,0.47750356655854437,0.8108910198728406,0.7193071208298084,0.21555700721145582
Weighted BCE,1,0.3354756607459142,0.8222601507784614,0.7395729562373481,0.22565869692800397
Weighted BCE,2,0.23760859545988908,0.8176865679120642,0.7359943606073756,0.26352648713266136
Weighted BCE,3,0.19075918270227235,0.8288717911836196,0.7554278766735448,0.2539605611115994
Weighted BCE,4,0.1393151202645057,0.8214215019048818,0.7410774223603712,0.2696098657668246
Weighted BCE,5,0.1092387513472483,0.8244375162016135,0.7480105790442761,0.27145013967302944
Weighted BCE,6,0.08893316558156254,0.8194413964031358,0.7462737845610962,0.2760765684865227
Weighted BCE,7,0.066898031021731,0.8324803006183,0.759160182552571,0.267381145986345
Weighted BCE,8,0.0477533368656459,0.8229845716792074,0.750294081040353,0.2779058568434257
Weighted BCE,9,0.041856217976563956,0.8218403590672662,0.7472132663652655,0.28402526874659806
Weighted BCE,10,0.03447340031942492,0.8221480644131501,0.7474020984787968,0.2875369723507718
Weighted BCE,11,0.03239519672516058,0.8169655794723759,0.7423564235517602,0.28983198922797704
Weighted BCE,12,0.02686742917897224,0.8238319373972937,0.745648025632839,0.28889196898222347
Weighted BCE,13,0.016538195080983458,0.8264937982453363,0.7519359805761445,0.2863983585399331
Weighted BCE,14,0.010789585027159099,0.8372875363070648,0.7561206175218348,0.2851512204603961
Weighted BCE,15,0.005916957402179933,0.8391110811844884,0.7597330787834936,0.2833609919258446
Weighted BCE,16,0.00383187603065145,0.8443516439795544,0.7560121010739584,0.2911863358919772
Weighted BCE,17,0.00521620781719085,0.8405410300184495,0.7527520449965495,0.29061673660048637
Weighted BCE,18,0.00555763335470165,0.8428636949196309,0.7535461547908733,0.29023648467007035
Weighted BCE,19,0.0065972013234829,0.8412418762055296,0.753001338299166,0.2912192340947066
