gene,importance,pair_id,enz_gene,sub_gene,prob_hgt_saved,y_true
USP10,0.0009263157844543,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
TP53,0.0004929304122924,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
ID1,1.347064971923828e-05,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
RNF168,1.055002212524414e-05,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
ZBTB10,8.761882781982422e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
BRD4,7.212162017822266e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
TBX21,6.258487701416016e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
AR,5.781650543212891e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
ZEB1,5.662441253662109e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
KLF4,5.185604095458984e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
MYC,4.827976226806641e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
MEX3B,4.708766937255859e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
CEBPB,4.231929779052734e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
RNF40,4.112720489501953e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
PARP1,3.993511199951172e-06,DUB|Q14694|P04637,USP10,TP53,0.9962883,1.0
