family,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean,brier_mean,rank
Final ensemble,hgt0.5_edge0.3_hetero0.2,0.87163175617867,0.0191792834245117,0.9195274109798516,0.0160491490054749,0.8327329890605661,0.7955183680908121,0.8345607789428708,0.8319222529745769,0.1489835748019257,1
Final ensemble,hgt0.6_edge0.4,0.8701616879759548,0.019674037766001,0.9172797806970004,0.0159541893942888,0.8293541219459193,0.7916449269702414,0.8330124562571062,0.8272085222273535,0.1514639437783577,2
Final ensemble,hgt0.4_edge0.2_hetero0.2_xgb0.1_nn0.1,0.8690302831499255,0.0201365824579585,0.916897208376202,0.0193673310941398,0.8342995230230388,0.7966483115936368,0.8324217957158613,0.8369723285037465,0.1442781940732376,3
Final ensemble,hgt0.7_edge0.3,0.8696371119209474,0.0205296130469747,0.9168638315260678,0.0164686421859499,0.8279635966999311,0.7911604051133849,0.8364190525491374,0.8211360950335294,0.1525024862939589,4
Final ensemble,hgt0.5_edge0.3_graph0.2,0.8688785449332356,0.0220245362544948,0.9162250378560538,0.0182632421920537,0.8300617825950939,0.791806217292822,0.8309455597227258,0.8307815381743099,0.1488733488865364,5
Final ensemble,hgt0.5_edge0.2_xgb0.2_nn0.1,0.863866422376201,0.0204331681723945,0.9126662658671209,0.0196697606805711,0.8323395159007054,0.7940659741206488,0.830758746207926,0.8351971930784641,0.1464424678876232,6
Final ensemble,all_equal,0.8624509664706246,0.0196018293109479,0.9117965874658308,0.0203653463327514,0.8353620802608182,0.79551693613476,0.8246468624012533,0.8472899889310781,0.1470576750031696,7
Final ensemble,hgt_only,0.8613435190928526,0.0232959902984936,0.9102952233658546,0.0184697352948343,0.8230751075725721,0.7861572808456352,0.8350129975925912,0.812656453524039,0.162200545303522,8
Graph learning,weighted_graph0.6_xgb0.2_nn0.2,0.8316796246379619,0.0218903458850875,0.8896723418601136,0.0223066291789088,0.8102520281581211,0.7646897862480149,0.8019421507613748,0.8205481472833525,0.1646603312191994,9
Graph learning,Stacking_GraphSAGE_XGB_NN,0.8314214212409021,0.0218437993151491,0.8893078226369289,0.0227737810112341,0.8112786757904912,0.7633986826004321,0.7951110438369458,0.8302985915628647,0.1651971748351279,10
