uniprot_ac,gene,enzyme_class,node_id,is_e3,is_dub,is_substrate
A6NLU0,RFPL4A,E3,0,1,0,0
A6NNE9,MARCHF11,E3,1,1,0,0
A8MQ27,NEURL1B,E3,2,1,0,0
B3SRS0,,E3,3,1,0,0
O00308,WWP2,E3,4,1,0,1
O00623,PEX12,E3,5,1,0,0
O00635,TRIM38,E3,6,1,0,1
O14508,SOCS2,E3,7,1,0,0
O14512,SOCS7,E3,8,1,0,0
O14543,SOCS3,E3,9,1,0,1
O14544,SOCS6,E3,10,1,0,0
O14965,AURKA,E3,11,1,0,1
O15151,MDM4,E3,12,1,0,1
O15164,TRIM24,E3,13,1,0,1
O15304,SIVA1,E3,14,1,0,0
O15344,MID1,E3,15,1,0,0
O15524,SOCS1,E3,16,1,0,1
O43164,PJA2,E3,17,1,0,1
O43255,SIAH2,E3,18,1,0,0
O43567,RNF13,E3,19,1,0,1
O43663,PRC1,E3,20,1,0,1
O43734,TRAF3IP2,E3,21,1,0,1
O43791,SPOP,E3,22,1,0,0
O60260,PARK2,E3,23,1,0,1
O60291,MGRN1,E3,24,1,0,0
O60337,MARCHF6,E3,25,1,0,1
O60683,PEX10,E3,26,1,0,0
O60784,TOM1,E3,27,1,0,1
O60858,TRIM13,E3,28,1,0,1
O60907,TBL1X,E3,29,1,0,0
O75150,RNF40,E3,30,1,0,0
O75159,SOCS5,E3,31,1,0,0
O75382,TRIM3,E3,32,1,0,0
O75592,MYCBP2,E3,33,1,0,0
O75717,WDHD1,E3,34,1,0,0
O75928,PIAS2,E3,35,1,0,1
O76050,NEURL1,E3,36,1,0,0
O76064,RNF8,E3,37,1,0,1
O92608,ORF50,E3,38,1,0,0
O94844,RHOBTB1,E3,39,1,0,0
O94889,KLHL18,E3,40,1,0,0
O94952,FBXO21,E3,41,1,0,0
O94955,RHOBTB3,E3,42,1,0,0
O94972,TRIM37,E3,43,1,0,1
O95071,UBR5,E3,44,1,0,1
O95155,UBE4B,E3,45,1,0,0
O95198,KLHL2,E3,46,1,0,0
O95376,ARIH2,E3,47,1,0,1
O95628,CNOT4,E3,48,1,0,1
O95630,STAMBP,E3,49,1,0,1
O95714,HERC2,E3,50,1,0,0
O95786,DDX58,E3,51,1,0,1
O95835,LATS1,E3,52,1,0,1
P00748,F12,E3,53,1,0,0
P03126,E6,E3,54,1,0,0
P06463,E6,E3,55,1,0,0
P08393,ICP0,E3,56,1,0,1
P09874,PARP1,E3,57,1,0,1
P09936,UCHL1,E3,58,1,0,1
P0C2W1,FBXO45,E3,59,1,0,0
P0CI25,TRIM49,E3,60,1,0,0
P10523,SAG,E3,61,1,0,1
P11441,UBL4A,E3,62,1,0,1
P12830,CDH1,E3,63,1,0,1
P14373,TRIM27,E3,64,1,0,1
P15918,RAG1,E3,65,1,0,1
P19474,TRIM21,E3,66,1,0,1
P21580,TNFAIP3,E3,67,1,0,1
P21583,KITLG,E3,68,1,0,0
P22681,CBL,E3,69,1,0,1
P29372,MPG,E3,70,1,0,0
P29590,PML,E3,71,1,0,1
P35226,BMI1,E3,72,1,0,1
P35869,AHR,E3,73,1,0,1
P36406,TRIM23,E3,74,1,0,1
P37231,PPARG,E3,75,1,0,1
P38398,BRCA1,E3,76,1,0,1
P40337,VHL,E3,77,1,0,0
P41002,CCNF,E3,78,1,0,0
P46934,NEDD4,E3,79,1,0,1
P48742,LHX1,E3,80,1,0,0
P49427,CDC34,E3,81,1,0,1
P50876,RNF144A,E3,82,1,0,0
P51617,IRAK1,E3,83,1,0,1
P53804,TTC3,E3,84,1,0,0
P54725,RAD23A,E3,85,1,0,1
P62253,UBE2G1,E3,86,1,0,1
P62877,RBX1,E3,87,1,0,1
P63244,RACK1,E3,88,1,0,1
P69720,vif,E3,89,1,0,0
P78317,RNF4,E3,90,1,0,1
P90489,K5,E3,91,1,0,0
P90495,K3,E3,92,1,0,0
P98170,XIAP,E3,93,1,0,1
Q00987,MDM2,E3,94,1,0,1
Q05086,UBE3A,E3,95,1,0,1
Q06587,RING1,E3,96,1,0,0
Q07869,PPARA,E3,97,1,0,1
Q09472,EP300,E3,98,1,0,1
Q12834,CDC20,E3,99,1,0,1
Q12899,TRIM26,E3,100,1,0,0
Q12933,TRAF2,E3,101,1,0,1
Q13049,TRIM32,E3,102,1,0,1
Q13064,MKRN3,E3,103,1,0,0
Q13077,TRAF1,E3,104,1,0,1
Q13114,TRAF3,E3,105,1,0,1
Q13191,CBLB,E3,106,1,0,1
Q13216,ERCC8,E3,107,1,0,0
Q13233,MAP3K1,E3,108,1,0,1
Q13263,TRIM28,E3,109,1,0,1
Q13309,SKP2,E3,110,1,0,1
Q13356,PPIL2,E3,111,1,0,0
Q13489,BIRC3,E3,112,1,0,1
Q13490,BIRC2,E3,113,1,0,1
Q13501,SQSTM1,E3,114,1,0,1
Q13829,TNFAIP1,E3,115,1,0,0
Q14139,UBE4A,E3,116,1,0,1
Q14145,KEAP1,E3,117,1,0,1
Q14258,TRIM25,E3,118,1,0,1
Q14527,HLTF,E3,119,1,0,1
Q14669,TRIP12,E3,120,1,0,1
Q149N8,SHPRH,E3,121,1,0,0
Q15257,PTPA,E3,122,1,0,1
Q15386,UBE3C,E3,123,1,0,1
Q15751,HERC1,E3,124,1,0,0
Q16531,DDB1,E3,125,1,0,0
Q2Q1W2,TRIM71,E3,126,1,0,0
Q53G59,KLHL12,E3,127,1,0,0
Q53GT1,KLHL22,E3,128,1,0,0
Q5GLZ8,HERC4,E3,129,1,0,0
Q5T0T0,MARCHF8,E3,130,1,0,0
Q5T447,HECTD3,E3,131,1,0,0
Q5T4S7,UBR4,E3,132,1,0,0
Q5T6F0,DCAF12,E3,133,1,0,0
Q5TA31,RNF187,E3,134,1,0,0
Q5TAQ9,DCAF8,E3,135,1,0,0
Q5TC82,RC3H1,E3,136,1,0,0
Q5U5Q3,MEX3C,E3,137,1,0,0
Q5U5R9,HECTD2,E3,138,1,0,0
Q5VTB9,RNF220,E3,139,1,0,1
Q5VTR2,RNF20,E3,140,1,0,1
Q5VU92,DCAF12L1,E3,141,1,0,0
Q5XPI4,RNF123,E3,142,1,0,1
Q5XUX0,FBXO31,E3,143,1,0,0
Q5XX13,FBXW10,E3,144,1,0,0
Q63HN8,RNF213,E3,145,1,0,0
Q66K64,DCAF15,E3,146,1,0,0
Q66K89,E4F1,E3,147,1,0,0
Q68DV7,RNF43,E3,148,1,0,1
Q693B1,KCTD11,E3,149,1,0,0
Q6JEL2,KLHL10,E3,150,1,0,0
Q6P050,FBXL22,E3,151,1,0,0
Q6P3S6,FBXO42,E3,152,1,0,0
Q6PCD5,RFWD3,E3,153,1,0,0
Q6PCT2,FBXL19,E3,154,1,0,0
Q6PJ21,SPSB3,E3,155,1,0,0
Q6PJ69,TRIM65,E3,156,1,0,0
Q6Q0C0,TRAF7,E3,157,1,0,1
Q6R327,RICTOR,E3,158,1,0,1
Q6TDP4,KLHL17,E3,159,1,0,0
Q6UWE0,LRSAM1,E3,160,1,0,0
