fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,model,w_graph,w_xgb,w_nn
0,0.8038709780490143,0.8537167746048053,0.7569546120058566,0.7322580645161291,0.7929447852760736,0.7240896358543417,0.1903400488995502,graph_only,1.0,0.0,0.0
1,0.8383883511210392,0.8850589098540227,0.8080808080808081,0.7699757869249395,0.8333333333333334,0.7843137254901961,0.16352793484744613,graph_only,1.0,0.0,0.0
2,0.8238497832761423,0.8857121496133975,0.8125399872040947,0.7635189669087974,0.822538860103627,0.8027812895069533,0.1767227157339084,graph_only,1.0,0.0,0.0
3,0.8448545200624864,0.8946383490604095,0.8257817485641353,0.7796610169491526,0.8077403245942572,0.8446475195822454,0.15521086196514877,graph_only,1.0,0.0,0.0
4,0.7980339489934374,0.8725172710802538,0.7927051671732522,0.7247780468119451,0.7451428571428571,0.8467532467532467,0.20456013315707447,graph_only,1.0,0.0,0.0
0,0.8073617279611465,0.8563339521162701,0.7660187185025198,0.7379032258064516,0.7881481481481482,0.7450980392156863,0.18130414572421605,graph0.8_xgb0.2,0.8,0.2,0.0
1,0.838112572736549,0.8856701761975784,0.8093333333333333,0.7691686844229217,0.8258503401360544,0.7934640522875817,0.15886329566332758,graph0.8_xgb0.2,0.8,0.2,0.0
2,0.8299028128950695,0.8972145274188519,0.8124602670057216,0.7619047619047619,0.8171355498721228,0.8078381795195955,0.16644691752178015,graph0.8_xgb0.2,0.8,0.2,0.0
3,0.8563306266870538,0.9050552510970619,0.830379746835443,0.7836965294592413,0.8058968058968059,0.856396866840731,0.14888280334341186,graph0.8_xgb0.2,0.8,0.2,0.0
4,0.8074931465123363,0.883110120057798,0.793708408953418,0.7247780468119451,0.7429218573046432,0.8519480519480519,0.19102464769109986,graph0.8_xgb0.2,0.8,0.2,0.0
0,0.8067333397237221,0.8558339766178371,0.7690120824449183,0.7379032258064516,0.7806637806637806,0.757703081232493,0.1799780386696709,graph0.7_xgb0.3,0.7,0.3,0.0
1,0.8350762527233115,0.8846971973261145,0.8119205298013245,0.7707828894269573,0.8228187919463087,0.8013071895424837,0.15951205565066423,graph0.7_xgb0.3,0.7,0.3,0.0
2,0.8296375519234243,0.8971309702339147,0.8165605095541402,0.7675544794188862,0.8228498074454429,0.8103666245259166,0.1641860903652499,graph0.7_xgb0.3,0.7,0.3,0.0
3,0.8580611507018695,0.9065859722282696,0.8332284455632474,0.7861178369652946,0.804374240583232,0.8642297650130548,0.14804741451106726,graph0.7_xgb0.3,0.7,0.3,0.0
4,0.808326641375682,0.8835755282956943,0.7980769230769231,0.7288135593220338,0.7427293064876958,0.8623376623376623,0.18740872795742855,graph0.7_xgb0.3,0.7,0.3,0.0
0,0.8045925594572432,0.8542082447253405,0.7797081306462822,0.7443548387096774,0.7737931034482759,0.7857142857142857,0.18077982797054046,graph0.6_xgb0.4,0.6,0.4,0.0
1,0.8300377816386753,0.882602642947443,0.8131147540983606,0.7699757869249395,0.8157894736842105,0.8104575163398693,0.1621482020242648,graph0.6_xgb0.4,0.6,0.4,0.0
2,0.8283817951959545,0.8966612937055995,0.818008877615726,0.768361581920904,0.8206106870229007,0.8154235145385588,0.16384331117507558,graph0.6_xgb0.4,0.6,0.4,0.0
3,0.8574815493571945,0.9066378079742281,0.8310387984981227,0.7820823244552058,0.7980769230769231,0.8668407310704961,0.1487644526644052,graph0.6_xgb0.4,0.6,0.4,0.0
4,0.8078808185417993,0.8834322100285843,0.8031212484993998,0.735270379338176,0.7466517857142857,0.8688311688311688,0.1858940235566346,graph0.6_xgb0.4,0.6,0.4,0.0
0,0.807084811110756,0.8512939687804791,0.7594202898550725,0.7322580645161291,0.7867867867867868,0.7338935574229691,0.17975543972459732,graph0.7_nn0.3,0.7,0.0,0.3
1,0.847138799260914,0.9024428256362558,0.8125836680053548,0.7740112994350282,0.8326474622770919,0.7934640522875817,0.15720497620443322,graph0.7_nn0.3,0.7,0.0,0.3
2,0.8282773839624346,0.8895888935185878,0.8163787587971849,0.768361581920904,0.8264248704663213,0.8065739570164349,0.16426008312708112,graph0.7_nn0.3,0.7,0.0,0.3
3,0.8611827179439058,0.9122691558024082,0.8268733850129198,0.7836965294592413,0.8184143222506394,0.835509138381201,0.1477156086178654,graph0.7_nn0.3,0.7,0.0,0.3
4,0.8137263589289175,0.8843409998480319,0.8101879927228623,0.7473769168684423,0.7599544937428896,0.8675324675324675,0.18185857295203028,graph0.7_nn0.3,0.7,0.0,0.3
0,0.8041212682791747,0.8478174365324305,0.7638190954773869,0.7346774193548387,0.7835051546391752,0.7450980392156863,0.18008347546072007,graph0.6_nn0.4,0.6,0.0,0.4
1,0.8434295799895204,0.9011312964153965,0.8136272545090181,0.774818401937046,0.8319672131147541,0.796078431372549,0.159412884949266,graph0.6_nn0.4,0.6,0.0,0.4
2,0.8259916245259167,0.8878262248816535,0.8138195777351248,0.7651331719128329,0.8238341968911918,0.8040455120101138,0.16488235540323998,graph0.6_nn0.4,0.6,0.0,0.4
3,0.8578265501575963,0.9107002135783209,0.8296488946684005,0.7885391444713479,0.8264248704663213,0.8328981723237598,0.14970942472959514,graph0.6_nn0.4,0.6,0.0,0.4
4,0.8154874975770497,0.885347558324813,0.8125,0.7530266343825666,0.7691415313225058,0.861038961038961,0.17967582237068902,graph0.6_nn0.4,0.6,0.0,0.4
0,0.8081711772161336,0.8540237512194981,0.7763532763532763,0.7467741935483871,0.7898550724637681,0.7633053221288515,0.177943295336428,graph0.6_xgb0.2_nn0.2,0.6,0.2,0.2
1,0.8407655607953448,0.8983228391563223,0.8158940397350993,0.7756255044390638,0.8268456375838926,0.8052287581699347,0.15819025224479577,graph0.6_xgb0.2_nn0.2,0.6,0.2,0.2
2,0.8297758262597075,0.894168961079937,0.8191082802547771,0.7707828894269573,0.8254172015404364,0.8128950695322377,0.16184306450275412,graph0.6_xgb0.2_nn0.2,0.6,0.2,0.2
3,0.8637660839373147,0.9145486422111242,0.8329081632653061,0.7885391444713479,0.814214463840399,0.8524804177545692,0.14614785378758843,graph0.6_xgb0.2_nn0.2,0.6,0.2,0.2
4,0.8159194749813087,0.8872975156336862,0.8069963811821471,0.741727199354318,0.7533783783783784,0.8688311688311688,0.17917719022443082,graph0.6_xgb0.2_nn0.2,0.6,0.2,0.2
0,0.8042730400144849,0.8506224435872776,0.7663157894736842,0.7314516129032258,0.7679324894514767,0.7647058823529411,0.17913651526794028,graph0.5_xgb0.25_nn0.25,0.5,0.25,0.25
1,0.8357794876037616,0.8965491630783907,0.8160843770599868,0.774818401937046,0.8231382978723404,0.8091503267973856,0.16122782457999577,graph0.5_xgb0.25_nn0.25,0.5,0.25,0.25
2,0.8275239299259526,0.8927594222854154,0.8163787587971849,0.768361581920904,0.8264248704663213,0.8065739570164349,0.1627185858728476,graph0.5_xgb0.25_nn0.25,0.5,0.25,0.25
3,0.8609177573291971,0.91338199145156,0.829923273657289,0.7853107344632768,0.8132832080200502,0.8472584856396866,0.14766494262495883,graph0.5_xgb0.25_nn0.25,0.5,0.25,0.25
4,0.8161825381441585,0.8872136527891126,0.8079470198675497,0.7425343018563357,0.7530864197530864,0.8714285714285714,0.17769582977240284,graph0.5_xgb0.25_nn0.25,0.5,0.25,0.25
0,0.7986095578915976,0.8466311468370764,0.7687028140013726,0.728225806451613,0.7537012113055181,0.7843137254901961,0.18204669852836963,graph0.4_xgb0.3_nn0.3,0.4,0.3,0.3
1,0.8277819144535452,0.8929787316107882,0.800524934383202,0.7546408393866021,0.8036890645586298,0.7973856209150327,0.1660141941095408,graph0.4_xgb0.3_nn0.3,0.4,0.3,0.3
