pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,src,dst,edge_type,edge_label
E3|A6NLU0|P14635,E3|A6NLU0,E3,A6NLU0,P14635,RFPL4A,CCNB1,0,497,enzyme_substrate,1
E3|A6NNE9|P01730,E3|A6NNE9,E3,A6NNE9,P01730,MARCHF11,CD4,1,498,enzyme_substrate,1
E3|A8MQ27|O00548,E3|A8MQ27,E3,A8MQ27,O00548,NEURL1B,DLL1,2,499,enzyme_substrate,1
E3|A8MQ27|Q9NR61,E3|A8MQ27,E3,A8MQ27,Q9NR61,NEURL1B,DLL4,2,500,enzyme_substrate,1
E3|A8MQ27|Q9NYJ7,E3|A8MQ27,E3,A8MQ27,Q9NYJ7,NEURL1B,DLL3,2,501,enzyme_substrate,1
E3|A8MQ27|Q9UNE0,E3|A8MQ27,E3,A8MQ27,Q9UNE0,NEURL1B,EDAR,2,502,enzyme_substrate,1
E3|B3SRS0|Q14653,E3|B3SRS0,E3,B3SRS0,Q14653,,IRF3,3,503,enzyme_substrate,1
E3|O00308|O00308,E3|O00308,E3,O00308,O00308,WWP2,WWP2,4,4,enzyme_substrate,1
E3|O00308|O15105,E3|O00308,E3,O00308,O15105,WWP2,SMAD7,4,504,enzyme_substrate,1
E3|O00308|O15350,E3|O00308,E3,O00308,O15350,WWP2,TP73,4,505,enzyme_substrate,1
E3|O00308|P11161,E3|O00308,E3,O00308,P11161,WWP2,EGR2,4,506,enzyme_substrate,1
E3|O00308|P24928,E3|O00308,E3,O00308,P24928,WWP2,POLR2A,4,507,enzyme_substrate,1
E3|O00308|P49281,E3|O00308,E3,O00308,P49281,WWP2,SLC11A2,4,508,enzyme_substrate,1
E3|O00308|P60484,E3|O00308,E3,O00308,P60484,WWP2,PTEN,4,509,enzyme_substrate,1
E3|O00308|P84022,E3|O00308,E3,O00308,P84022,WWP2,SMAD3,4,510,enzyme_substrate,1
E3|O00308|Q01860,E3|O00308,E3,O00308,Q01860,WWP2,POU5F1,4,511,enzyme_substrate,1
E3|O00308|Q13950,E3|O00308,E3,O00308,Q13950,WWP2,RUNX2,4,512,enzyme_substrate,1
E3|O00308|Q8IUC6,E3|O00308,E3,O00308,Q8IUC6,WWP2,TICAM1,4,513,enzyme_substrate,1
E3|O00308|Q9H074,E3|O00308,E3,O00308,Q9H074,WWP2,PAIP1,4,514,enzyme_substrate,1
E3|O00308|Q9P2A4,E3|O00308,E3,O00308,Q9P2A4,WWP2,ABI3,4,515,enzyme_substrate,1
E3|O00308|Q9UM47,E3|O00308,E3,O00308,Q9UM47,WWP2,NOTCH3,4,516,enzyme_substrate,1
E3|O00308|Q9Y5R6,E3|O00308,E3,O00308,Q9Y5R6,WWP2,DMT1,4,517,enzyme_substrate,1
E3|O00623|P50542,E3|O00623,E3,O00623,P50542,PEX12,PEX5,5,518,enzyme_substrate,1
E3|O00635|O00635,E3|O00635,E3,O00635,O00635,TRIM38,TRIM38,6,6,enzyme_substrate,1
E3|O00635|Q9Y4K3,E3|O00635,E3,O00635,Q9Y4K3,TRIM38,TRAF6,6,407,enzyme_substrate,1
E3|O14508|O14543,E3|O14508,E3,O14508,O14543,SOCS2,SOCS3,7,9,enzyme_substrate,1
E3|O14508|O15524,E3|O14508,E3,O14508,O15524,SOCS2,SOCS1,7,16,enzyme_substrate,1
E3|O14508|P10912,E3|O14508,E3,O14508,P10912,SOCS2,GHR,7,519,enzyme_substrate,1
E3|O14512|O75553,E3|O14512,E3,O14512,O75553,SOCS7,DAB1,8,520,enzyme_substrate,1
E3|O14543|O60674,E3|O14543,E3,O14543,O60674,SOCS3,JAK2,9,521,enzyme_substrate,1
E3|O14543|P35568,E3|O14543,E3,O14543,P35568,SOCS3,IRS1,9,522,enzyme_substrate,1
E3|O14543|P40189,E3|O14543,E3,O14543,P40189,SOCS3,IL6ST,9,523,enzyme_substrate,1
E3|O14543|Q9Y286,E3|O14543,E3,O14543,Q9Y286,SOCS3,SIGLEC7,9,524,enzyme_substrate,1
E3|O14543|Q9Y4H2,E3|O14543,E3,O14543,Q9Y4H2,SOCS3,IRS2,9,525,enzyme_substrate,1
E3|O14544|P10721,E3|O14544,E3,O14544,P10721,SOCS6,KIT,10,526,enzyme_substrate,1
E3|O14965|P04179,E3|O14965,E3,O14965,P04179,AURKA,SOD2,11,527,enzyme_substrate,1
E3|O15151|P04637,E3|O15151,E3,O15151,P04637,MDM4,TP53,12,528,enzyme_substrate,1
E3|O15151|P38936,E3|O15151,E3,O15151,P38936,MDM4,CDKN1A,12,529,enzyme_substrate,1
E3|O15151|Q00987,E3|O15151,E3,O15151,Q00987,MDM4,MDM2,12,94,enzyme_substrate,1
E3|O15164|P04637,E3|O15164,E3,O15164,P04637,TRIM24,TP53,13,528,enzyme_substrate,1
E3|O15164|Q13114,E3|O15164,E3,O15164,Q13114,TRIM24,TRAF3,13,105,enzyme_substrate,1
E3|O15304|P98170,E3|O15304,E3,O15304,P98170,SIVA1,XIAP,14,93,enzyme_substrate,1
E3|O15304|Q8N726,E3|O15304,E3,O15304,Q8N726,SIVA1,CDKN2A,14,530,enzyme_substrate,1
E3|O15344|P51668,E3|O15344,E3,O15344,P51668,MID1,UBE2D1,15,531,enzyme_substrate,1
E3|O15344|P54829,E3|O15344,E3,O15344,P54829,MID1,STK36,15,532,enzyme_substrate,1
E3|O15344|P62714,E3|O15344,E3,O15344,P62714,MID1,PPP2CB,15,533,enzyme_substrate,1
E3|O15344|P67775,E3|O15344,E3,O15344,P67775,MID1,PPP2CA,15,534,enzyme_substrate,1
E3|O15344|P78318,E3|O15344,E3,O15344,P78318,MID1,IGBP1,15,535,enzyme_substrate,1
E3|O15344|Q14653,E3|O15344,E3,O15344,Q14653,MID1,IRF3,15,503,enzyme_substrate,1
E3|O15344|Q9NRP7,E3|O15344,E3,O15344,Q9NRP7,MID1,PPP2R4,15,536,enzyme_substrate,1
E3|O15524|O60674,E3|O15524,E3,O15524,O60674,SOCS1,JAK2,16,521,enzyme_substrate,1
E3|O15524|P07948,E3|O15524,E3,O15524,P07948,SOCS1,LYN,16,537,enzyme_substrate,1
E3|O15524|P15498,E3|O15524,E3,O15524,P15498,SOCS1,VAV1,16,538,enzyme_substrate,1
E3|O15524|P23458,E3|O15524,E3,O15524,P23458,SOCS1,JAK1,16,539,enzyme_substrate,1
E3|O15524|P35568,E3|O15524,E3,O15524,P35568,SOCS1,IRS1,16,522,enzyme_substrate,1
E3|O15524|Q04206,E3|O15524,E3,O15524,Q04206,SOCS1,RELA,16,540,enzyme_substrate,1
E3|O15524|Q9Y4H2,E3|O15524,E3,O15524,Q9Y4H2,SOCS1,IRS2,16,525,enzyme_substrate,1
E3|O43164|O43164,E3|O43164,E3,O43164,O43164,PJA2,PJA2,17,17,enzyme_substrate,1
E3|O43164|P10644,E3|O43164,E3,O43164,P10644,PJA2,PRKAR1A,17,541,enzyme_substrate,1
E3|O43164|P13861,E3|O43164,E3,O43164,P13861,PJA2,PRKAR2A,17,542,enzyme_substrate,1
E3|O43164|P31321,E3|O43164,E3,O43164,P31321,PJA2,PRKAR1B,17,543,enzyme_substrate,1
E3|O43164|P31323,E3|O43164,E3,O43164,P31323,PJA2,PRKAR2B,17,544,enzyme_substrate,1
E3|O43164|Q8IVT5,E3|O43164,E3,O43164,Q8IVT5,PJA2,KSR1,17,545,enzyme_substrate,1
E3|O43164|Q9Y4C4,E3|O43164,E3,O43164,Q9Y4C4,PJA2,MFHAS1,17,546,enzyme_substrate,1
E3|O43255|O14974,E3|O43255,E3,O43255,O14974,SIAH2,PPP1R12A,18,547,enzyme_substrate,1
E3|O43255|O15379,E3|O43255,E3,O43255,O15379,SIAH2,HDAC3,18,548,enzyme_substrate,1
E3|O43255|O43597,E3|O43255,E3,O43255,O43597,SIAH2,SPRY2,18,549,enzyme_substrate,1
E3|O43255|O75376,E3|O43255,E3,O43255,O75376,SIAH2,NCOR1,18,550,enzyme_substrate,1
E3|O43255|O75925,E3|O43255,E3,O43255,O75925,SIAH2,PIAS1,18,551,enzyme_substrate,1
E3|O43255|O96017,E3|O43255,E3,O43255,O96017,SIAH2,CHEK2,18,552,enzyme_substrate,1
E3|O43255|P04637,E3|O43255,E3,O43255,P04637,SIAH2,TP53,18,528,enzyme_substrate,1
E3|O43255|P08247,E3|O43255,E3,O43255,P08247,SIAH2,SYP,18,553,enzyme_substrate,1
E3|O43255|P10275,E3|O43255,E3,O43255,P10275,SIAH2,AR,18,554,enzyme_substrate,1
E3|O43255|P29590,E3|O43255,E3,O43255,P29590,SIAH2,PML,18,71,enzyme_substrate,1
E3|O43255|P37231,E3|O43255,E3,O43255,P37231,SIAH2,PPARG,18,75,enzyme_substrate,1
E3|O43255|P37275,E3|O43255,E3,O43255,P37275,SIAH2,ZEB1,18,555,enzyme_substrate,1
E3|O43255|P37840,E3|O43255,E3,O43255,P37840,SIAH2,SNCA,18,556,enzyme_substrate,1
E3|O43255|P43146,E3|O43255,E3,O43255,P43146,SIAH2,DCC,18,557,enzyme_substrate,1
E3|O43255|P46527,E3|O43255,E3,O43255,P46527,SIAH2,CDKN1B,18,558,enzyme_substrate,1
E3|O43255|P55036,E3|O43255,E3,O43255,P55036,SIAH2,PSMD4,18,559,enzyme_substrate,1
E3|O43255|Q12933,E3|O43255,E3,O43255,Q12933,SIAH2,TRAF2,18,101,enzyme_substrate,1
E3|O43255|Q13625,E3|O43255,E3,O43255,Q13625,SIAH2,TP53BP2,18,560,enzyme_substrate,1
E3|O43255|Q16633,E3|O43255,E3,O43255,Q16633,SIAH2,POU2AF1,18,561,enzyme_substrate,1
E3|O43255|Q16656,E3|O43255,E3,O43255,Q16656,SIAH2,NRF1,18,562,enzyme_substrate,1
E3|O43255|Q16665,E3|O43255,E3,O43255,Q16665,SIAH2,HIF1A,18,563,enzyme_substrate,1
E3|O43255|Q92630,E3|O43255,E3,O43255,Q92630,SIAH2,DYRK2,18,245,enzyme_substrate,1
E3|O43255|Q92667,E3|O43255,E3,O43255,Q92667,SIAH2,AKAP1,18,564,enzyme_substrate,1
E3|O43255|Q92844,E3|O43255,E3,O43255,Q92844,SIAH2,TANK,18,246,enzyme_substrate,1
E3|O43255|Q96B97,E3|O43255,E3,O43255,Q96B97,SIAH2,SH3KBP1,18,565,enzyme_substrate,1
E3|O43255|Q96KS0,E3|O43255,E3,O43255,Q96KS0,SIAH2,EGLN2,18,566,enzyme_substrate,1
E3|O43255|Q99933,E3|O43255,E3,O43255,Q99933,SIAH2,BAG1,18,567,enzyme_substrate,1
E3|O43255|Q9BQF6,E3|O43255,E3,O43255,Q9BQF6,SIAH2,SENP7,18,568,enzyme_substrate,1
E3|O43255|Q9BSI4,E3|O43255,E3,O43255,Q9BSI4,SIAH2,TINF2,18,569,enzyme_substrate,1
E3|O43255|Q9GZT9,E3|O43255,E3,O43255,Q9GZT9,SIAH2,EGLN1,18,570,enzyme_substrate,1
E3|O43255|Q9H6Z9,E3|O43255,E3,O43255,Q9H6Z9,SIAH2,EGLN3,18,571,enzyme_substrate,1
E3|O43255|Q9NRM7,E3|O43255,E3,O43255,Q9NRM7,SIAH2,LATS2,18,572,enzyme_substrate,1
E3|O43255|Q9NS87,E3|O43255,E3,O43255,Q9NS87,SIAH2,KIF15,18,573,enzyme_substrate,1
E3|O43255|Q9P212,E3|O43255,E3,O43255,Q9P212,SIAH2,PLCE1,18,574,enzyme_substrate,1
E3|O43255|Q9Y6H5,E3|O43255,E3,O43255,Q9Y6H5,SIAH2,SNCAIP,18,575,enzyme_substrate,1
E3|O43567|O43567,E3|O43567,E3,O43567,O43567,RNF13,RNF13,19,19,enzyme_substrate,1
E3|O43567|O95295,E3|O43567,E3,O43567,O95295,RNF13,SNAPIN,19,576,enzyme_substrate,1
E3|O43663|P04908,E3|O43663,E3,O43663,P04908,PRC1,H2AC4,20,577,enzyme_substrate,1
E3|O43663|P0C0S5,E3|O43663,E3,O43663,P0C0S5,PRC1,H2AZ1,20,578,enzyme_substrate,1
E3|O43663|P16104,E3|O43663,E3,O43663,P16104,PRC1,H2AX,20,579,enzyme_substrate,1
E3|O43663|Q6FI13,E3|O43663,E3,O43663,Q6FI13,PRC1,H2AC18,20,580,enzyme_substrate,1
E3|O43663|Q96KK5,E3|O43663,E3,O43663,Q96KK5,PRC1,H2AC12,20,581,enzyme_substrate,1
E3|O43663|Q96QV6,E3|O43663,E3,O43663,Q96QV6,PRC1,H2AC1,20,582,enzyme_substrate,1
E3|O43663|Q99496,E3|O43663,E3,O43663,Q99496,PRC1,RNF2,20,284,enzyme_substrate,1
E3|O43734|Q9Y4K3,E3|O43734,E3,O43734,Q9Y4K3,TRAF3IP2,TRAF6,21,407,enzyme_substrate,1
E3|O43791|O00330,E3|O43791,E3,O43791,O00330,SPOP,PDHX,22,583,enzyme_substrate,1
E3|O43791|O15164,E3|O43791,E3,O43791,O15164,SPOP,TRIM24,22,13,enzyme_substrate,1
E3|O43791|O60885,E3|O43791,E3,O43791,O60885,SPOP,BRD4,22,584,enzyme_substrate,1
E3|O43791|O75367,E3|O43791,E3,O43791,O75367,SPOP,MACROH2A1,22,585,enzyme_substrate,1
E3|O43791|O95835,E3|O43791,E3,O43791,O95835,SPOP,LATS1,22,52,enzyme_substrate,1
E3|O43791|P03372,E3|O43791,E3,O43791,P03372,SPOP,ESR1,22,586,enzyme_substrate,1
E3|O43791|P05412,E3|O43791,E3,O43791,P05412,SPOP,JUN,22,587,enzyme_substrate,1
E3|O43791|P06401,E3|O43791,E3,O43791,P06401,SPOP,PGR,22,588,enzyme_substrate,1
E3|O43791|P08151,E3|O43791,E3,O43791,P08151,SPOP,GLI1,22,589,enzyme_substrate,1
E3|O43791|P10070,E3|O43791,E3,O43791,P10070,SPOP,GLI2,22,590,enzyme_substrate,1
E3|O43791|P10071,E3|O43791,E3,O43791,P10071,SPOP,GLI3,22,591,enzyme_substrate,1
E3|O43791|P10275,E3|O43791,E3,O43791,P10275,SPOP,AR,22,554,enzyme_substrate,1
E3|O43791|P11308,E3|O43791,E3,O43791,P11308,SPOP,ERG,22,592,enzyme_substrate,1
E3|O43791|P24864,E3|O43791,E3,O43791,P24864,SPOP,CCNE1,22,593,enzyme_substrate,1
E3|O43791|P25440,E3|O43791,E3,O43791,P25440,SPOP,BRD2,22,594,enzyme_substrate,1
E3|O43791|P35226,E3|O43791,E3,O43791,P35226,SPOP,BMI1,22,72,enzyme_substrate,1
E3|O43791|P35659,E3|O43791,E3,O43791,P35659,SPOP,DEK,22,595,enzyme_substrate,1
E3|O43791|P49327,E3|O43791,E3,O43791,P49327,SPOP,FASN,22,596,enzyme_substrate,1
E3|O43791|P60484,E3|O43791,E3,O43791,P60484,SPOP,PTEN,22,509,enzyme_substrate,1
E3|O43791|Q12809,E3|O43791,E3,O43791,Q12809,SPOP,KCNH2,22,597,enzyme_substrate,1
E3|O43791|Q12834,E3|O43791,E3,O43791,Q12834,SPOP,CDC20,22,99,enzyme_substrate,1
E3|O43791|Q12888,E3|O43791,E3,O43791,Q12888,SPOP,TP53BP1,22,598,enzyme_substrate,1
