fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,model,w_hgt,w_edgeaware,w_hetero,w_graphsage,w_xgb,w_nn
0,0.8293633042570641,0.8817885397440369,0.7802755620014503,0.7556451612903226,0.8090225563909774,0.7535014005602241,0.17837542945236823,hgt_only,1.0,0.0,0.0,0.0,0.0,0.0
1,0.8771407297096054,0.9191537794974096,0.8431502316346791,0.8087167070217918,0.853887399463807,0.8326797385620915,0.15071449540107262,hgt_only,1.0,0.0,0.0,0.0,0.0,0.0
2,0.8691473270724218,0.923888407747334,0.8288874430709173,0.7877320419693301,0.853887399463807,0.8053097345132744,0.15812155765375127,hgt_only,1.0,0.0,0.0,0.0,0.0,0.0
3,0.8855646145099056,0.9249483912421976,0.8440860215053764,0.8127522195318806,0.8698060941828255,0.8198433420365535,0.13976752634242626,hgt_only,1.0,0.0,0.0,0.0,0.0,0.0
4,0.845501619915266,0.9016969985982939,0.818976279650437,0.7659402744148507,0.7884615384615384,0.8519480519480519,0.18402371766799153,hgt_only,1.0,0.0,0.0,0.0,0.0,0.0
0,0.8413426206984695,0.8906713427065818,0.7867435158501441,0.7612903225806451,0.8100890207715133,0.7647058823529411,0.16797659295085682,hgt0.7_edge0.3,0.7,0.3,0.0,0.0,0.0,0.0
1,0.882424643556438,0.9214128263189295,0.8448844884488449,0.8103309120258273,0.8533333333333334,0.8366013071895425,0.1393989867368751,hgt0.7_edge0.3,0.7,0.3,0.0,0.0,0.0,0.0
2,0.8732052555535488,0.9276182585665664,0.8301886792452831,0.7893462469733656,0.8552278820375335,0.8065739570164349,0.14832812156919034,hgt0.7_edge0.3,0.7,0.3,0.0,0.0,0.0,0.0
3,0.8934637528359066,0.9323875834096469,0.8490945674044266,0.8184019370460048,0.8731034482758621,0.8263707571801566,0.13362472136465273,hgt0.7_edge0.3,0.7,0.3,0.0,0.0,0.0,0.0
4,0.8577492869603742,0.9122291466286138,0.8289067325509574,0.7764326069410815,0.790341578327444,0.8714285714285714,0.1731840088482199,hgt0.7_edge0.3,0.7,0.3,0.0,0.0,0.0,0.0
0,0.8429402179122599,0.8915720516055008,0.7877492877492878,0.7596774193548387,0.8014492753623188,0.7745098039215687,0.16622704301818528,hgt0.6_edge0.4,0.6,0.4,0.0,0.0,0.0,0.0
1,0.8824053390695239,0.92111716330933,0.8437705998681608,0.8087167070217918,0.851063829787234,0.8366013071895425,0.13759759681256106,hgt0.6_edge0.4,0.6,0.4,0.0,0.0,0.0,0.0
2,0.8724884865450605,0.9272153510507961,0.8365758754863813,0.7966101694915254,0.8588548601864181,0.8154235145385588,0.1475616821773883,hgt0.6_edge0.4,0.6,0.4,0.0,0.0,0.0,0.0
3,0.8933975126822293,0.9325368619118692,0.848,0.8159806295399515,0.8664850136239782,0.8302872062663186,0.13362446487839705,hgt0.6_edge0.4,0.6,0.4,0.0,0.0,0.0,0.0
4,0.8595768836707004,0.9139574756075051,0.8306748466257668,0.7772397094430993,0.7872093023255814,0.8792207792207792,0.17230893200525677,hgt0.6_edge0.4,0.6,0.4,0.0,0.0,0.0,0.0
0,0.8461753522701856,0.8930583908383314,0.7914590747330961,0.7637096774193548,0.804630969609262,0.7787114845938375,0.16394566872265956,hgt0.5_edge0.3_hetero0.2,0.5,0.3,0.2,0.0,0.0,0.0
1,0.8845950194423762,0.9266365886859639,0.8468586387434555,0.8111380145278451,0.8479685452162516,0.8457516339869281,0.13651337555187334,hgt0.5_edge0.3_hetero0.2,0.5,0.3,0.2,0.0,0.0,0.0
