src,dst,src_ac,dst_ac,geneA,geneB,edge_type,edge_label,edge_id
1532,1232,P45985,Q14315,MAP2K4,FLNC,ppi,-1,1232|1532
1852,1016,P15927,P40763,RPA2,STAT3,ppi,-1,1016|1852
1382,932,P84077,Q9NZ52,ARF1,GGA3,ppi,-1,932|1382
796,1261,P07333,P62993,CSF1R,GRB2,ppi,-1,796|1261
2077,288,P20749,Q99728,BCL3,BARD1,ppi,-1,288|2077
76,2013,P38398,P43246,BRCA1,MSH2,ppi,-1,76|2013
76,288,P38398,Q99728,BRCA1,BARD1,ppi,-1,76|288
664,529,Q99816,P38936,TSG101,CDKN1A,ppi,-1,529|664
1687,1235,Q15642,P60953,TRIP10,CDC42,ppi,-1,1235|1687
861,2001,Q99708,P28749,RBBP8,RBL1,ppi,-1,861|2001
1519,497,Q15311,P14635,RALBP1,CCNB1,ppi,-1,497|1519
692,1010,P12004,P24522,PCNA,GADD45A,ppi,-1,692|1010
1507,586,P51532,P03372,SMARCA4,ESR1,ppi,-1,586|1507
732,1948,P63165,P25445,SUMO1,FAS,ppi,-1,732|1948
1589,1790,P21333,P05556,FLNA,ITGB1,ppi,-1,1589|1790
1157,1001,P31947,P04150,SFN,NR3C1,ppi,-1,1001|1157
1526,1001,O43294,P04150,TGFB1I1,NR3C1,ppi,-1,1001|1526
1243,659,Q13002,Q9NRD5,GRIK2,PICK1,ppi,-1,659|1243
711,609,P42858,Q9BYW2,HTT,SETD2,ppi,-1,609|711
1687,711,Q15642,P42858,TRIP10,HTT,ppi,-1,711|1687
1113,1650,P15923,Q02535,TCF3,ID3,ppi,-1,1113|1650
798,522,P08069,P35568,IGF1R,IRS1,ppi,-1,522|798
16,798,O15524,P08069,SOCS1,IGF1R,ppi,-1,16|798
1837,522,P45983,P35568,MAPK8,IRS1,ppi,-1,522|1837
1859,522,P06213,P35568,INSR,IRS1,ppi,-1,522|1859
521,16,O60674,O15524,JAK2,SOCS1,ppi,-1,16|521
755,626,Q16637,P10415,SMN1,BCL2,ppi,-1,626|755
560,626,Q13625,P10415,TP53BP2,BCL2,ppi,-1,560|626
626,681,P10415,Q14457,BCL2,BECN1,ppi,-1,626|681
538,422,P15498,P12956,VAV1,XRCC6,ppi,-1,422|538
693,422,P13010,P12956,XRCC5,XRCC6,ppi,-1,422|693
202,1430,Q8N2W9,Q9UJU2,PIAS4,LEF1,ppi,-1,202|1430
