fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,ensemble,w_xgb,w_nn
0,0.7457115411005901,0.8038692109406704,0.7237715803452855,0.6645161290322581,0.6711822660098522,0.7853025936599424,0.20679847203152413,ens_xgb0.5_nn0.5,0.5,0.5
1,0.7772100196596841,0.8750496926182691,0.7782051282051282,0.7207425343018563,0.7903645833333334,0.7664141414141414,0.20495556448694438,ens_xgb0.5_nn0.5,0.5,0.5
2,0.8060793508264326,0.8791827846106051,0.7955872809863724,0.7457627118644068,0.7961038961038961,0.795071335927367,0.1793614896095318,ens_xgb0.5_nn0.5,0.5,0.5
3,0.7961660395081884,0.8720233711098465,0.7855297157622739,0.7320419693301049,0.7926988265971316,0.7784891165172856,0.18805311717377868,ens_xgb0.5_nn0.5,0.5,0.5
4,0.7865744426751592,0.8674292569387922,0.7833333333333333,0.7271993543179984,0.7714646464646465,0.7955729166666666,0.2064308505211183,ens_xgb0.5_nn0.5,0.5,0.5
0,0.7448644055272298,0.8042724415173593,0.7240473061760841,0.6612903225806451,0.6654589371980676,0.7939481268011528,0.21062045016456415,ens_xgb0.6_nn0.4,0.6,0.4
1,0.7749841818633765,0.8737953737424068,0.7799619530754597,0.7199354317998385,0.7834394904458599,0.7765151515151515,0.20466025067611582,ens_xgb0.6_nn0.4,0.6,0.4
2,0.8055583269591051,0.8785187425487562,0.7948387096774193,0.7433414043583535,0.7907573812580231,0.7989623865110247,0.17965318468772531,ens_xgb0.6_nn0.4,0.6,0.4
3,0.7967363530128769,0.8730677105154754,0.793168880455408,0.7360774818401937,0.78375,0.8028169014084507,0.18626426436718932,ens_xgb0.6_nn0.4,0.6,0.4
4,0.7838569311748054,0.8662061978383753,0.7817836812144212,0.7215496368038741,0.7601476014760148,0.8046875,0.2047131463106412,ens_xgb0.6_nn0.4,0.6,0.4
0,0.7439856013343045,0.8041491487341286,0.7263226649248857,0.6620967741935484,0.6642771804062126,0.8011527377521613,0.21565754455137132,ens_xgb0.7_nn0.3,0.7,0.3
1,0.771515490475222,0.871735280413484,0.7737870195337114,0.7102502017756255,0.7723270440251573,0.7752525252525253,0.20556660218268136,ens_xgb0.7_nn0.3,0.7,0.3
2,0.8038566851796424,0.877417655974712,0.7966857871255577,0.7425343018563357,0.7832080200501254,0.8106355382619974,0.18103852726489972,ens_xgb0.7_nn0.3,0.7,0.3
3,0.7961995873614055,0.8732862880400821,0.7957393483709273,0.7368845843422115,0.7791411042944786,0.8130601792573624,0.18610129570828055,ens_xgb0.7_nn0.3,0.7,0.3
4,0.7803017737084219,0.8647106269303791,0.7777777777777778,0.7126715092816788,0.7470023980815348,0.8111979166666666,0.2050067693664115,ens_xgb0.7_nn0.3,0.7,0.3
0,0.7428824777527948,0.8038912804928717,0.7220779220779221,0.6548387096774193,0.6572104018912529,0.8011527377521613,0.22190975519194578,ens_xgb0.8_nn0.2,0.8,0.2
1,0.766866088174813,0.8690138609068767,0.7739511584220413,0.70863599677159,0.7677018633540372,0.7803030303030303,0.20767461900664105,ens_xgb0.8_nn0.2,0.8,0.2
2,0.8006113716230447,0.8750524463923022,0.7913760304375397,0.7344632768361582,0.7741935483870968,0.8093385214007782,0.1835175173410551,ens_xgb0.8_nn0.2,0.8,0.2
3,0.7944187554864719,0.8728635299620322,0.7942643391521197,0.7336561743341404,0.7739975698663426,0.8156209987195903,0.18756421119705244,ens_xgb0.8_nn0.2,0.8,0.2
4,0.7757679803609343,0.8628315681796521,0.7704714640198511,0.7013720742534302,0.735781990521327,0.80859375,0.2073117196884292,ens_xgb0.8_nn0.2,0.8,0.2
0,0.7458962747147185,0.8030141966680181,0.7275185936443543,0.675,0.6853503184713375,0.7752161383285303,0.2041916101522514,ens_xgb0.4_nn0.6,0.4,0.6
1,0.7788144306600683,0.8759001915366381,0.7793548387096774,0.7239709443099274,0.7968337730870713,0.7626262626262627,0.20645254361516704,ens_xgb0.4_nn0.6,0.4,0.6
2,0.8052756437970445,0.8792812911440143,0.7924528301886793,0.7425343018563357,0.7950391644908616,0.7898832684824902,0.18016344203031914,ens_xgb0.4_nn0.6,0.4,0.6
3,0.7949359515569,0.870656844521092,0.7802340702210663,0.7271993543179984,0.7926023778071334,0.7682458386683739,0.19146785412804876,ens_xgb0.4_nn0.6,0.4,0.6
4,0.7879069355980184,0.8679245862724614,0.7786357786357786,0.7223567393058918,0.7697201017811705,0.7877604166666666,0.21015988199784275,ens_xgb0.4_nn0.6,0.4,0.6
0,0.7456877896359165,0.8018303068073677,0.7258953168044077,0.6790322580645162,0.6952506596306068,0.7593659942363112,0.20279986452674584,ens_xgb0.3_nn0.7,0.3,0.7
1,0.779698551510632,0.8761270849051113,0.7804249839021249,0.7247780468119451,0.7963206307490145,0.7651515151515151,0.20915118806078378,ens_xgb0.3_nn0.7,0.3,0.7
2,0.8037901714944516,0.8787232715346117,0.793713163064833,0.7457627118644068,0.8015873015873016,0.7859922178988327,0.18205904195008746,ens_xgb0.3_nn0.7,0.3,0.7
3,0.793269741513791,0.8690970077928036,0.7732634338138925,0.7207425343018563,0.7919463087248322,0.7554417413572343,0.1965084752299994,ens_xgb0.3_nn0.7,0.3,0.7
4,0.7888938650035386,0.8681858058710472,0.7803617571059431,0.7255851493139629,0.7743589743589744,0.7864583333333334,0.21590024074081457,ens_xgb0.3_nn0.7,0.3,0.7
