pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag,enz_compartments,sub_compartments,shared_compartments,has_enz_loc,has_sub_loc,coloc_flag,scrna_has_both_genes_crc,scrna_has_both_genes_lihc,scrna_coexpr_crc,scrna_coexpr_lihc,scrna_coexpr_flag,scrna_max_min_expr,scrna_best_cancer,scrna_best_celltype
DUB|A6NNY8|P08069,DUB|A6NNY8,DUB,A6NNY8,P08069,USP27X,IGF1R,USP,0,neg2x_initial_degree_matched,,USP27X,IGF1R,IGF1R|USP27X,False,cytoplasm;nucleus,membrane;plasma_membrane,,True,True,False,True,True,False,False,False,0.04382,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|Myofibroblasts
DUB|A6NNY8|O14737,DUB|A6NNY8,DUB,A6NNY8,O14737,USP27X,PDCD5,USP,0,neg2x_initial_degree_matched,,USP27X,PDCD5,PDCD5|USP27X,False,cytoplasm;nucleus,,,True,False,False,True,True,False,False,False,0.04382,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|Myofibroblasts
DUB|A6NNY8|P36894,DUB|A6NNY8,DUB,A6NNY8,P36894,USP27X,BMPR1A,USP,0,neg2x_initial_degree_matched,,USP27X,BMPR1A,BMPR1A|USP27X,False,cytoplasm;nucleus,membrane;plasma_membrane,,True,True,False,True,True,False,False,False,0.04382,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|Myofibroblasts
DUB|O00487|Q96P20,DUB|O00487,DUB,O00487,Q96P20,PSMD14,NLRP3,JAMM,0,neg2x_initial_degree_matched,,PSMD14,NLRP3,NLRP3|PSMD14,False,,cytoplasm;cytoskeleton;endoplasmic_reticulum;extracellular;golgi;membrane;mitochondrion;nucleus;vesicle,,False,True,False,True,True,False,False,False,0.43739,LIHC,LIHC|LIHC_GSE140228_Smartseq2_expression_Celltype_majorlineage|ILC
DUB|O00487|O15287,DUB|O00487,DUB,O00487,O15287,PSMD14,FANCG,JAMM,0,neg2x_initial_degree_matched,,PSMD14,FANCG,FANCG|PSMD14,False,,cytoplasm;nucleus,,False,True,False,True,True,False,False,False,0.57251,CRC,CRC|CRC_GSE108989_expression_Celltype_majorlineage|Tprolif
DUB|O00487|P43246,DUB|O00487,DUB,O00487,P43246,PSMD14,MSH2,JAMM,0,neg2x_initial_degree_matched,,PSMD14,MSH2,MSH2|PSMD14,False,,nucleus,,False,True,False,True,True,False,False,False,0.72927,LIHC,LIHC|LIHC_GSE98638_expression_Celltype_majorlineage|Tprolif
DUB|O00487|Q14694,DUB|O00487,DUB,O00487,Q14694,PSMD14,USP10,JAMM,0,neg2x_initial_degree_matched,,PSMD14,USP10,PSMD14|USP10,False,,cytoplasm;endosome;nucleus,,False,True,False,True,True,False,False,False,0.73084,LIHC,LIHC|LIHC_GSE98638_expression_Celltype_majorlineage|Tprolif
DUB|O00487|O43395,DUB|O00487,DUB,O00487,O43395,PSMD14,PRPF3,JAMM,0,neg2x_initial_degree_matched,,PSMD14,PRPF3,PRPF3|PSMD14,False,,nucleus,,False,True,False,True,True,False,False,False,0.4366,LIHC,LIHC|LIHC_GSE98638_expression_Celltype_majorlineage|Tprolif
DUB|O00487|P05412,DUB|O00487,DUB,O00487,P05412,PSMD14,JUN,JAMM,0,neg2x_initial_degree_matched,,PSMD14,JUN,JUN|PSMD14,False,,nucleus,,False,True,False,True,True,False,False,False,1.0985,CRC,CRC|CRC_GSE108989_expression_Celltype_majorlineage|Tprolif
DUB|O00487|O14497,DUB|O00487,DUB,O00487,O14497,PSMD14,ARID1A,JAMM,0,neg2x_initial_degree_matched,,PSMD14,ARID1A,ARID1A|PSMD14,False,,nucleus,,False,True,False,True,True,False,False,False,0.65849,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|Tprolif
