pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid
DUB|A6NNY8|O00512,DUB|A6NNY8,DUB,A6NNY8,O00512,USP27X,BCL9,USP,0,neg2x_initial_degree_matched,NA
DUB|A6NNY8|P08069,DUB|A6NNY8,DUB,A6NNY8,P08069,USP27X,IGF1R,USP,0,neg2x_initial_degree_matched,NA
DUB|A6NNY8|P04908,DUB|A6NNY8,DUB,A6NNY8,P04908,USP27X,HIST1H2AE,USP,0,neg2x_initial_degree_matched,NA
DUB|A6NNY8|P51168,DUB|A6NNY8,DUB,A6NNY8,P51168,USP27X,SCNN1B,USP,0,neg2x_initial_degree_matched,NA
DUB|A6NNY8|O14737,DUB|A6NNY8,DUB,A6NNY8,O14737,USP27X,PDCD5,USP,0,neg2x_initial_degree_matched,NA
DUB|A6NNY8|Q96P20,DUB|A6NNY8,DUB,A6NNY8,Q96P20,USP27X,NLRP3,USP,0,neg2x_initial_degree_matched,NA
DUB|A6NNY8|P36894,DUB|A6NNY8,DUB,A6NNY8,P36894,USP27X,BMPR1A,USP,0,neg2x_initial_degree_matched,NA
DUB|A6NNY8|O43303,DUB|A6NNY8,DUB,A6NNY8,O43303,USP27X,CCP110,USP,0,neg2x_initial_degree_matched,NA
DUB|A6NNY8|P51965,DUB|A6NNY8,DUB,A6NNY8,P51965,USP27X,UBE2E1,USP,0,neg2x_initial_degree_matched,NA
DUB|A6NNY8|Q14258,DUB|A6NNY8,DUB,A6NNY8,Q14258,USP27X,TRIM25,USP,0,neg2x_initial_degree_matched,NA
DUB|O00487|Q96P20,DUB|O00487,DUB,O00487,Q96P20,PSMD14,NLRP3,JAMM,0,neg2x_initial_degree_matched,NA
DUB|O00487|O15287,DUB|O00487,DUB,O00487,O15287,PSMD14,FANCG,JAMM,0,neg2x_initial_degree_matched,NA
DUB|O00487|P43246,DUB|O00487,DUB,O00487,P43246,PSMD14,MSH2,JAMM,0,neg2x_initial_degree_matched,NA
