pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag,enz_compartments,sub_compartments,shared_compartments,has_enz_loc,has_sub_loc,coloc_flag,scrna_has_both_genes_crc,scrna_has_both_genes_lihc,scrna_coexpr_crc,scrna_coexpr_lihc,scrna_coexpr_flag,scrna_max_min_expr,scrna_best_cancer,scrna_best_celltype
E3|A6NLU0|Q9BYM8,E3|A6NLU0,E3,A6NLU0,Q9BYM8,RFPL4A,RBCK1,RING,0,neg2x_initial_degree_matched,,RFPL4A,RBCK1,RBCK1|RFPL4A,False,cytoplasm;nucleus,,,True,False,False,True,True,False,False,False,0.28371,LIHC,LIHC|LIHC_GSE140228_Smartseq2_expression_Celltype_majorlineage|ILC
E3|A8MQ27|P05026,E3|A8MQ27,E3,A8MQ27,P05026,NEURL1B,ATP1B1,RING,0,neg2x_initial_degree_matched,,NEURL1B,ATP1B1,ATP1B1|NEURL1B,False,cytoplasm,membrane;plasma_membrane,,True,True,False,True,True,False,False,False,0.24418,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|Epithelial
E3|A8MQ27|O15354,E3|A8MQ27,E3,A8MQ27,O15354,NEURL1B,GPR37,RING,0,neg2x_initial_degree_matched,,NEURL1B,GPR37,GPR37|NEURL1B,False,cytoplasm,endoplasmic_reticulum;membrane;plasma_membrane,,True,True,False,True,True,False,False,False,0.02749,LIHC,LIHC|LIHC_GSE146115_expression_Celltype_majorlineage|Malignant
E3|A8MQ27|O00763,E3|A8MQ27,E3,A8MQ27,O00763,NEURL1B,ACACB,RING,0,neg2x_initial_degree_matched,,NEURL1B,ACACB,ACACB|NEURL1B,False,cytoplasm,mitochondrion,,True,True,False,True,True,False,False,False,0.22795,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|Endothelial
E3|A8MQ27|P43699,E3|A8MQ27,E3,A8MQ27,P43699,NEURL1B,NKX2-1,RING,0,neg2x_initial_degree_matched,,NEURL1B,NKX2-1,NEURL1B|NKX2-1,False,cytoplasm,nucleus,,True,True,False,True,False,False,False,False,0.00256,CRC,CRC|CRC_EMTAB8107_expression_Celltype_majorlineage|Malignant
E3|B3SRS0|Q96KG9,E3|B3SRS0,E3,B3SRS0,Q96KG9,,SCYL1,Other,0,neg2x_initial_degree_matched,,,SCYL1,,False,,cytoplasm;cytoskeleton;endoplasmic_reticulum;golgi;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,NA
E3|B3SRS0|Q86VP3,E3|B3SRS0,E3,B3SRS0,Q86VP3,,PACS2,Other,0,neg2x_initial_degree_matched,,,PACS2,,False,,endoplasmic_reticulum;mitochondrion,,False,True,False,False,False,False,False,False,0.0,CRC,NA
E3|O00308|Q04771,E3|O00308,E3,O00308,Q04771,WWP2,ACVR1,HECT,0,neg2x_initial_degree_matched,,WWP2,ACVR1,ACVR1|WWP2,False,nucleus,membrane,,True,True,False,True,True,False,False,False,0.16523,CRC,CRC|CRC_GSE146771_Smartseq2_expression_Celltype_majorlineage|Fibroblasts
E3|O00308|Q8NBP7,E3|O00308,E3,O00308,Q8NBP7,WWP2,PCSK9,HECT,0,neg2x_initial_degree_matched,,WWP2,PCSK9,PCSK9|WWP2,False,nucleus,cytoplasm;endoplasmic_reticulum;endosome;extracellular;golgi;lysosome;plasma_membrane,,True,True,False,True,True,False,False,False,0.19885,CRC,CRC|CRC_GSE139555_expression_Celltype_majorlineage|Myofibroblasts
E3|O00308|Q16537,E3|O00308,E3,O00308,Q16537,WWP2,PPP2R5E,HECT,0,neg2x_initial_degree_matched,,WWP2,PPP2R5E,PPP2R5E|WWP2,False,nucleus,cytoplasm,,True,True,False,True,True,False,False,False,0.31299,LIHC,LIHC|LIHC_GSE98638_expression_Celltype_majorlineage|Tprolif
E3|O00308|P78380,E3|O00308,E3,O00308,P78380,WWP2,OLR1,HECT,0,neg2x_initial_degree_matched,,WWP2,OLR1,OLR1|WWP2,False,nucleus,extracellular;membrane;plasma_membrane,,True,True,False,True,True,False,False,False,0.41968,CRC,CRC|CRC_GSE146771_Smartseq2_expression_Celltype_majorlineage|Mono/Macro
