pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid
E3|A6NLU0|O60260,E3|A6NLU0,E3,A6NLU0,O60260,RFPL4A,PARK2,RING,0,neg2x_initial_degree_matched,NA
E3|A6NLU0|Q9BYM8,E3|A6NLU0,E3,A6NLU0,Q9BYM8,RFPL4A,RBCK1,RING,0,neg2x_initial_degree_matched,NA
E3|A6NNE9|P98174,E3|A6NNE9,E3,A6NNE9,P98174,MARCHF11,FGD1,RING,0,neg2x_initial_degree_matched,NA
E3|A6NNE9|P36639,E3|A6NNE9,E3,A6NNE9,P36639,MARCHF11,NUDT1,RING,0,neg2x_initial_degree_matched,NA
E3|A8MQ27|P05026,E3|A8MQ27,E3,A8MQ27,P05026,NEURL1B,ATP1B1,RING,0,neg2x_initial_degree_matched,NA
E3|A8MQ27|O15354,E3|A8MQ27,E3,A8MQ27,O15354,NEURL1B,GPR37,RING,0,neg2x_initial_degree_matched,NA
E3|A8MQ27|P42566,E3|A8MQ27,E3,A8MQ27,P42566,NEURL1B,EPS15,RING,0,neg2x_initial_degree_matched,NA
E3|A8MQ27|O00763,E3|A8MQ27,E3,A8MQ27,O00763,NEURL1B,ACACB,RING,0,neg2x_initial_degree_matched,NA
E3|A8MQ27|Q5T7V8,E3|A8MQ27,E3,A8MQ27,Q5T7V8,NEURL1B,GORAB,RING,0,neg2x_initial_degree_matched,NA
E3|A8MQ27|Q9C0C7,E3|A8MQ27,E3,A8MQ27,Q9C0C7,NEURL1B,AMBRA1,RING,0,neg2x_initial_degree_matched,NA
E3|A8MQ27|P43699,E3|A8MQ27,E3,A8MQ27,P43699,NEURL1B,NKX2-1,RING,0,neg2x_initial_degree_matched,NA
E3|A8MQ27|Q9H0M0,E3|A8MQ27,E3,A8MQ27,Q9H0M0,NEURL1B,WWP1,RING,0,neg2x_initial_degree_matched,NA
E3|B3SRS0|Q96KG9,E3|B3SRS0,E3,B3SRS0,Q96KG9,,SCYL1,Other,0,neg2x_initial_degree_matched,NA
