pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag,enz_compartments,sub_compartments,shared_compartments,has_enz_loc,has_sub_loc,coloc_flag,scrna_has_both_genes_crc,scrna_has_both_genes_lihc,scrna_coexpr_crc,scrna_coexpr_lihc,scrna_coexpr_flag,scrna_max_min_expr,scrna_best_cancer,scrna_best_celltype
E3|A6NLU0|P14635,E3|A6NLU0,E3,A6NLU0,P14635,RFPL4A,CCNB1,RING,1,UbiBrowser2,12525704,,,,,,,,,,,,,,,,,,
E3|A6NNE9|P01730,E3|A6NNE9,E3,A6NNE9,P01730,MARCHF11,CD4,RING,1,UbiBrowser2,17604280,,,,,,,,,,,,,,,,,,
E3|A8MQ27|O00548,E3|A8MQ27,E3,A8MQ27,O00548,NEURL1B,DLL1,RING,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|A8MQ27|Q9NR61,E3|A8MQ27,E3,A8MQ27,Q9NR61,NEURL1B,DLL4,RING,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|A8MQ27|Q9NYJ7,E3|A8MQ27,E3,A8MQ27,Q9NYJ7,NEURL1B,DLL3,RING,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|A8MQ27|Q9UNE0,E3|A8MQ27,E3,A8MQ27,Q9UNE0,NEURL1B,EDAR,RING,1,UbiBrowser2,20176925,,,,,,,,,,,,,,,,,,
E3|B3SRS0|Q14653,E3|B3SRS0,E3,B3SRS0,Q14653,,IRF3,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|O00308|O00308,E3|O00308,E3,O00308,O00308,WWP2,WWP2,HECT,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|O00308|O15105,E3|O00308,E3,O00308,O15105,WWP2,SMAD7,HECT,1,UbiBrowser2,21258410,,,,,,,,,,,,,,,,,,
E3|O00308|O15350,E3|O00308,E3,O00308,O15350,WWP2,TP73,HECT,1,UbiBrowser2,25071155,,,,,,,,,,,,,,,,,,
E3|O00308|P11161,E3|O00308,E3,O00308,P11161,WWP2,EGR2,HECT,1,UbiBrowser2,19651900,,,,,,,,,,,,,,,,,,
E3|O00308|P24928,E3|O00308,E3,O00308,P24928,WWP2,POLR2A,HECT,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|O00308|P49281,E3|O00308,E3,O00308,P49281,WWP2,SLC11A2,HECT,1,UbiBrowser2,18776082,,,,,,,,,,,,,,,,,,
E3|O00308|P60484,E3|O00308,E3,O00308,P60484,WWP2,PTEN,HECT,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|O00308|P84022,E3|O00308,E3,O00308,P84022,WWP2,SMAD3,HECT,1,UbiBrowser2,21258410,,,,,,,,,,,,,,,,,,
E3|O00308|Q01860,E3|O00308,E3,O00308,Q01860,WWP2,POU5F1,HECT,1,UbiBrowser2,15047715,,,,,,,,,,,,,,,,,,
E3|O00308|Q13950,E3|O00308,E3,O00308,Q13950,WWP2,RUNX2,HECT,1,UbiBrowser2,28500134,,,,,,,,,,,,,,,,,,
E3|O00308|Q8IUC6,E3|O00308,E3,O00308,Q8IUC6,WWP2,TICAM1,HECT,1,UbiBrowser2,23479606,,,,,,,,,,,,,,,,,,
E3|O00308|Q9H074,E3|O00308,E3,O00308,Q9H074,WWP2,PAIP1,HECT,1,UbiBrowser2,25266661,,,,,,,,,,,,,,,,,,
E3|O00308|Q9P2A4,E3|O00308,E3,O00308,Q9P2A4,WWP2,ABI3,HECT,1,UbiBrowser2,15998807,,,,,,,,,,,,,,,,,,
E3|O00308|Q9UM47,E3|O00308,E3,O00308,Q9UM47,WWP2,NOTCH3,HECT,1,UbiBrowser2,25356737,,,,,,,,,,,,,,,,,,
E3|O00308|Q9Y5R6,E3|O00308,E3,O00308,Q9Y5R6,WWP2,DMT1,HECT,1,UbiBrowser2,18776082,,,,,,,,,,,,,,,,,,
E3|O00623|P50542,E3|O00623,E3,O00623,P50542,PEX12,PEX5,RING,1,UbiBrowser2,19687296,,,,,,,,,,,,,,,,,,
E3|O00635|O00635,E3|O00635,E3,O00635,O00635,TRIM38,TRIM38,RING,1,UbiBrowser2,21306652,,,,,,,,,,,,,,,,,,
E3|O00635|Q9Y4K3,E3|O00635,E3,O00635,Q9Y4K3,TRIM38,TRAF6,RING,1,UbiBrowser2,22323536,,,,,,,,,,,,,,,,,,
E3|O14508|O14543,E3|O14508,E3,O14508,O14543,SOCS2,SOCS3,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|O14508|O15524,E3|O14508,E3,O14508,O15524,SOCS2,SOCS1,Other,1,UbiBrowser2,17898043,,,,,,,,,,,,,,,,,,
E3|O14508|P10912,E3|O14508,E3,O14508,P10912,SOCS2,GHR,Other,1,UbiBrowser2,21980433,,,,,,,,,,,,,,,,,,
E3|O14512|O75553,E3|O14512,E3,O14512,O75553,SOCS7,DAB1,SOCS_VHL_BC-box,1,UbiBrowser2,24210661,,,,,,,,,,,,,,,,,,
E3|O14543|O60674,E3|O14543,E3,O14543,O60674,SOCS3,JAK2,SOCS_VHL_BC-box,1,UbiBrowser2,24438103,,,,,,,,,,,,,,,,,,
E3|O14543|P35568,E3|O14543,E3,O14543,P35568,SOCS3,IRS1,SOCS_VHL_BC-box,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|O14543|P40189,E3|O14543,E3,O14543,P40189,SOCS3,IL6ST,SOCS_VHL_BC-box,1,UbiBrowser2,24438103,,,,,,,,,,,,,,,,,,
E3|O14543|Q9Y286,E3|O14543,E3,O14543,Q9Y286,SOCS3,SIGLEC7,SOCS_VHL_BC-box,1,UbiBrowser2,17138568,,,,,,,,,,,,,,,,,,
E3|O14543|Q9Y4H2,E3|O14543,E3,O14543,Q9Y4H2,SOCS3,IRS2,SOCS_VHL_BC-box,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|O14544|P10721,E3|O14544,E3,O14544,P10721,SOCS6,KIT,SOCS_VHL_BC-box,1,UbiBrowser2,21030588,,,,,,,,,,,,,,,,,,
E3|O14965|P04179,E3|O14965,E3,O14965,P04179,AURKA,SOD2,SINGLE_OTHER,1,UbiBrowser2,30811038,,,,,,,,,,,,,,,,,,
E3|O15151|P04637,E3|O15151,E3,O15151,P04637,MDM4,TP53,RING,1,UbiBrowser2,12393902,,,,,,,,,,,,,,,,,,
E3|O15151|P38936,E3|O15151,E3,O15151,P38936,MDM4,CDKN1A,RING,1,UbiBrowser2,18086887,,,,,,,,,,,,,,,,,,
