pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid
nan|A6NLU0|P14635,nan|A6NLU0,,A6NLU0,P14635,RFPL4A,CCNB1,RING,1,UbiBrowser2,12525704
nan|A6NNE9|P01730,nan|A6NNE9,,A6NNE9,P01730,MARCHF11,CD4,RING,1,UbiBrowser2,17604280
nan|A8MQ27|O00548,nan|A8MQ27,,A8MQ27,O00548,NEURL1B,DLL1,RING,1,UbiBrowser2,22199232
nan|A8MQ27|Q9NR61,nan|A8MQ27,,A8MQ27,Q9NR61,NEURL1B,DLL4,RING,1,UbiBrowser2,22199232
nan|A8MQ27|Q9NYJ7,nan|A8MQ27,,A8MQ27,Q9NYJ7,NEURL1B,DLL3,RING,1,UbiBrowser2,22199232
nan|A8MQ27|Q9UNE0,nan|A8MQ27,,A8MQ27,Q9UNE0,NEURL1B,EDAR,RING,1,UbiBrowser2,20176925
nan|B3SRS0|Q14653,nan|B3SRS0,,B3SRS0,Q14653,,IRF3,Other,1,UbiBrowser2,22199232
nan|O00308|O00308,nan|O00308,,O00308,O00308,WWP2,WWP2,HECT,1,UbiBrowser2,22199232
nan|O00308|O15105,nan|O00308,,O00308,O15105,WWP2,SMAD7,HECT,1,UbiBrowser2,21258410
nan|O00308|O15350,nan|O00308,,O00308,O15350,WWP2,TP73,HECT,1,UbiBrowser2,25071155
nan|O00308|P11161,nan|O00308,,O00308,P11161,WWP2,EGR2,HECT,1,UbiBrowser2,19651900
nan|O00308|P24928,nan|O00308,,O00308,P24928,WWP2,POLR2A,HECT,1,UbiBrowser2,22199232
nan|O00308|P49281,nan|O00308,,O00308,P49281,WWP2,SLC11A2,HECT,1,UbiBrowser2,18776082
nan|O00308|P60484,nan|O00308,,O00308,P60484,WWP2,PTEN,HECT,1,UbiBrowser2,22199232
nan|O00308|P84022,nan|O00308,,O00308,P84022,WWP2,SMAD3,HECT,1,UbiBrowser2,21258410
nan|O00308|Q01860,nan|O00308,,O00308,Q01860,WWP2,POU5F1,HECT,1,UbiBrowser2,15047715
nan|O00308|Q13950,nan|O00308,,O00308,Q13950,WWP2,RUNX2,HECT,1,UbiBrowser2,28500134
nan|O00308|Q8IUC6,nan|O00308,,O00308,Q8IUC6,WWP2,TICAM1,HECT,1,UbiBrowser2,23479606
nan|O00308|Q9H074,nan|O00308,,O00308,Q9H074,WWP2,PAIP1,HECT,1,UbiBrowser2,25266661
nan|O00308|Q9P2A4,nan|O00308,,O00308,Q9P2A4,WWP2,ABI3,HECT,1,UbiBrowser2,15998807
nan|O00308|Q9UM47,nan|O00308,,O00308,Q9UM47,WWP2,NOTCH3,HECT,1,UbiBrowser2,25356737
nan|O00308|Q9Y5R6,nan|O00308,,O00308,Q9Y5R6,WWP2,DMT1,HECT,1,UbiBrowser2,18776082
nan|O00623|P50542,nan|O00623,,O00623,P50542,PEX12,PEX5,RING,1,UbiBrowser2,19687296
nan|O00635|O00635,nan|O00635,,O00635,O00635,TRIM38,TRIM38,RING,1,UbiBrowser2,21306652
nan|O00635|Q9Y4K3,nan|O00635,,O00635,Q9Y4K3,TRIM38,TRAF6,RING,1,UbiBrowser2,22323536
nan|O14508|O14543,nan|O14508,,O14508,O14543,SOCS2,SOCS3,Other,1,UbiBrowser2,22199232
nan|O14508|O15524,nan|O14508,,O14508,O15524,SOCS2,SOCS1,Other,1,UbiBrowser2,17898043
nan|O14508|P10912,nan|O14508,,O14508,P10912,SOCS2,GHR,Other,1,UbiBrowser2,21980433
nan|O14512|O75553,nan|O14512,,O14512,O75553,SOCS7,DAB1,SOCS_VHL_BC-box,1,UbiBrowser2,24210661
nan|O14543|O60674,nan|O14543,,O14543,O60674,SOCS3,JAK2,SOCS_VHL_BC-box,1,UbiBrowser2,24438103
nan|O14543|P35568,nan|O14543,,O14543,P35568,SOCS3,IRS1,SOCS_VHL_BC-box,1,UbiBrowser2,22199232
nan|O14543|P40189,nan|O14543,,O14543,P40189,SOCS3,IL6ST,SOCS_VHL_BC-box,1,UbiBrowser2,24438103
nan|O14543|Q9Y286,nan|O14543,,O14543,Q9Y286,SOCS3,SIGLEC7,SOCS_VHL_BC-box,1,UbiBrowser2,17138568
nan|O14543|Q9Y4H2,nan|O14543,,O14543,Q9Y4H2,SOCS3,IRS2,SOCS_VHL_BC-box,1,UbiBrowser2,22199232
nan|O14544|P10721,nan|O14544,,O14544,P10721,SOCS6,KIT,SOCS_VHL_BC-box,1,UbiBrowser2,21030588
nan|O14965|P04179,nan|O14965,,O14965,P04179,AURKA,SOD2,SINGLE_OTHER,1,UbiBrowser2,30811038
nan|O15151|P04637,nan|O15151,,O15151,P04637,MDM4,TP53,RING,1,UbiBrowser2,12393902
nan|O15151|P38936,nan|O15151,,O15151,P38936,MDM4,CDKN1A,RING,1,UbiBrowser2,18086887
nan|O15151|Q00987,nan|O15151,,O15151,Q00987,MDM4,MDM2,RING,1,UbiBrowser2,11568180
nan|O15164|P04637,nan|O15164,,O15164,P04637,TRIM24,TP53,RING,1,UbiBrowser2,19844164
nan|O15164|Q13114,nan|O15164,,O15164,Q13114,TRIM24,TRAF3,RING,1,UbiBrowser2,32324863
nan|O15304|P98170,nan|O15304,,O15304,P98170,SIVA1,XIAP,Other,1,UbiBrowser2,32015347
nan|O15304|Q8N726,nan|O15304,,O15304,Q8N726,SIVA1,CDKN2A,Other,1,UbiBrowser2,23462994
nan|O15344|P51668,nan|O15344,,O15344,P51668,MID1,UBE2D1,RING,1,UbiBrowser2,21296087
nan|O15344|P54829,nan|O15344,,O15344,P54829,MID1,STK36,RING,1,UbiBrowser2,25278022
nan|O15344|P62714,nan|O15344,,O15344,P62714,MID1,PPP2CB,RING,1,UbiBrowser2,11685209
nan|O15344|P67775,nan|O15344,,O15344,P67775,MID1,PPP2CA,RING,1,UbiBrowser2,11685209
nan|O15344|P78318,nan|O15344,,O15344,P78318,MID1,IGBP1,RING,1,UbiBrowser2,22613722
nan|O15344|Q14653,nan|O15344,,O15344,Q14653,MID1,IRF3,RING,1,UbiBrowser2,33513265
nan|O15344|Q9NRP7,nan|O15344,,O15344,Q9NRP7,MID1,PPP2R4,RING,1,UbiBrowser2,25207814
