pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid
nan|A6NNY8|O43521,nan|A6NNY8,,A6NNY8,O43521,USP27X,BCL2L11,USP,1,UbiBrowser2,27013495
nan|A6NNY8|O95786,nan|A6NNY8,,A6NNY8,O95786,USP27X,DDX58,USP,1,UbiBrowser2,32027733
nan|A6NNY8|O95863,nan|A6NNY8,,A6NNY8,O95863,USP27X,SNAI1,USP,1,UbiBrowser2,30341066
nan|A6NNY8|P62807,nan|A6NNY8,,A6NNY8,P62807,USP27X,HIST1H2BI,USP,1,UbiBrowser2,27132940
nan|A6NNY8|Q14469,nan|A6NNY8,,A6NNY8,Q14469,USP27X,HES1,USP,1,UbiBrowser2,25846153
nan|O00487|O95863,nan|O00487,,O00487,O95863,PSMD14,SNAI1,JAMM,1,UbiBrowser2,29331416
nan|O00487|P01584,nan|O00487,,O00487,P01584,PSMD14,IL1B,JAMM,1,UbiBrowser2,30315153
nan|O00487|P04626,nan|O00487,,O00487,P04626,PSMD14,ERBB2,JAMM,1,UbiBrowser2,25121098
nan|O00487|P62993,nan|O00487,,O00487,P62993,PSMD14,GRB2,JAMM,1,UbiBrowser2,31634528
nan|O00487|Q01860,nan|O00487,,O00487,Q01860,PSMD14,POU5F1,JAMM,1,UbiBrowser2,28279784
nan|O00487|Q04771,nan|O00487,,O00487,Q04771,PSMD14,ACVR1,JAMM,1,UbiBrowser2,31685442
nan|O00507|Q13485,nan|O00507,,O00507,Q13485,USP9Y,SMAD4,USP,1,UbiBrowser2,UBP15_HUMAN
nan|O15372|O95863,nan|O15372,,O15372,O95863,EIF3H,SNAI1,JAMM,1,UbiBrowser2,32867821
nan|O75317|O60346,nan|O75317,,O75317,O60346,USP12,PHLPP1,USP,1,UbiBrowser2,25121098
nan|O75317|P0C0S8,nan|O75317,,O75317,P0C0S8,USP12,HIST1H2AM,USP,1,UbiBrowser2,28063927
nan|O75317|P10275,nan|O75317,,O75317,P10275,USP12,AR,USP,1,UbiBrowser2,26462181
nan|O75317|P62807,nan|O75317,,O75317,P62807,USP12,HIST1H2BI,USP,1,UbiBrowser2,28063927
nan|O75317|Q00987,nan|O75317,,O75317,Q00987,USP12,MDM2,USP,1,UbiBrowser2,29755129
nan|O75317|Q16777,nan|O75317,,O75317,Q16777,USP12,HIST2H2AC,USP,1,UbiBrowser2,21183687
nan|O75317|Q16778,nan|O75317,,O75317,Q16778,USP12,HIST2H2BE,USP,1,UbiBrowser2,21183687
nan|O75317|Q6ZVD8,nan|O75317,,O75317,Q6ZVD8,USP12,PHLPP2,USP,1,UbiBrowser2,25216524
nan|O75604|O14965,nan|O75604,,O75604,O14965,USP2,AURKA,USP,1,UbiBrowser2,29449607
nan|O75604|O15151,nan|O75604,,O75604,O15151,USP2,MDM4,USP,1,UbiBrowser2,25121098
nan|O75604|O15534,nan|O75604,,O75604,O15534,USP2,PER1,USP,1,UbiBrowser2,25238854
nan|O75604|P08253,nan|O75604,,O75604,P08253,USP2,MMP2,USP,1,UbiBrowser2,28279784
nan|O75604|P24385,nan|O75604,,O75604,P24385,USP2,CCND1,USP,1,UbiBrowser2,26643174
nan|O75604|P25445,nan|O75604,,O75604,P25445,USP2,FAS,USP,1,UbiBrowser2,25121098
nan|O75604|P37088,nan|O75604,,O75604,P37088,USP2,SCNN1A,USP,1,UbiBrowser2,20090362
nan|O75604|P49327,nan|O75604,,O75604,P49327,USP2,FASN,USP,1,UbiBrowser2,15050917
nan|O75604|P51168,nan|O75604,,O75604,P51168,USP2,SCNN1B,USP,1,UbiBrowser2,20090362
nan|O75604|P51170,nan|O75604,,O75604,P51170,USP2,SCNN1G,USP,1,UbiBrowser2,20090362
nan|O75604|Q00987,nan|O75604,,O75604,Q00987,USP2,MDM2,USP,1,UbiBrowser2,28801249
nan|O75604|Q03431,nan|O75604,,O75604,Q03431,USP2,PTH1R,USP,1,UbiBrowser2,26643174
nan|O75604|Q12933,nan|O75604,,O75604,Q12933,USP2,TRAF2,USP,1,UbiBrowser2,22179575
nan|O75604|Q13546,nan|O75604,,O75604,Q13546,USP2,RIPK1,USP,1,UbiBrowser2,22179575
nan|O75604|Q16526,nan|O75604,,O75604,Q16526,USP2,CRY1,USP,1,UbiBrowser2,22669941
nan|O75604|Q96EB6,nan|O75604,,O75604,Q96EB6,USP2,SIRT1,USP,1,UbiBrowser2,29142505
nan|O75604|Q9H5J4,nan|O75604,,O75604,Q9H5J4,USP2,ELOVL6,USP,1,UbiBrowser2,29449607
nan|O94782|O60346,nan|O94782,,O94782,O60346,USP1,PHLPP1,USP,1,UbiBrowser2,25121098
nan|O94782|O75385,nan|O94782,,O94782,O75385,USP1,ULK1,USP,1,UbiBrowser2,30335599
nan|O94782|O95863,nan|O94782,,O94782,O95863,USP1,SNAI1,USP,1,UbiBrowser2,33926817
nan|O94782|P03372,nan|O94782,,O94782,P03372,USP1,ESR1,USP,1,UbiBrowser2,33123289
nan|O94782|P10914,nan|O94782,,O94782,P10914,USP1,IRF1,USP,1,UbiBrowser2,31292489
nan|O94782|P12004,nan|O94782,,O94782,P12004,USP1,PCNA,USP,1,UbiBrowser2,28031783
nan|O94782|P41134,nan|O94782,,O94782,P41134,USP1,ID1,USP,1,UbiBrowser2,28279784
nan|O94782|P62249,nan|O94782,,O94782,P62249,USP1,RPS16,USP,1,UbiBrowser2,34154657
nan|O94782|Q02363,nan|O94782,,O94782,Q02363,USP1,ID2,USP,1,UbiBrowser2,28279784
nan|O94782|Q02535,nan|O94782,,O94782,Q02535,USP1,ID3,USP,1,UbiBrowser2,28279784
nan|O94782|Q16635,nan|O94782,,O94782,Q16635,USP1,TAZ,USP,1,UbiBrowser2,33114077
nan|O94782|Q9BXW9,nan|O94782,,O94782,Q9BXW9,USP1,FANCD2,USP,1,UbiBrowser2,27775833
