accession,status,http_status,file_path,error
A0A291NLA3,downloaded,200,./Data_raw/uniprot/uniprot_fasta/A0A291NLA3.fasta,
A2AIR5,downloaded,200,./Data_raw/uniprot/uniprot_fasta/A2AIR5.fasta,
A5PKW4,downloaded,200,./Data_raw/uniprot/uniprot_fasta/A5PKW4.fasta,
A6NNY8,downloaded,200,./Data_raw/uniprot/uniprot_fasta/A6NNY8.fasta,
O00463,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O00463.fasta,
O00487,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O00487.fasta,
O00507,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O00507.fasta,
O00512,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O00512.fasta,
O14497,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O14497.fasta,
O14684,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O14684.fasta,
O14737,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O14737.fasta,
O15287,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O15287.fasta,
O15315,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O15315.fasta,
O15372,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O15372.fasta,
O15530,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O15530.fasta,
O15554,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O15554.fasta,
O43684,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O43684.fasta,
O60285,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O60285.fasta,
O60341,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O60341.fasta,
O60493,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O60493.fasta,
O75030,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O75030.fasta,
O75143,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O75143.fasta,
O75317,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O75317.fasta,
O75461,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O75461.fasta,
O75604,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O75604.fasta,
O75943,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O75943.fasta,
O94826,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O94826.fasta,
O94966,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O94966.fasta,
O95166,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O95166.fasta,
O95180,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O95180.fasta,
O95602,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O95602.fasta,
O95760,downloaded,200,./Data_raw/uniprot/uniprot_fasta/O95760.fasta,
P01584,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P01584.fasta,
P05161,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P05161.fasta,
P05231,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P05231.fasta,
P07992,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P07992.fasta,
P08107,invalid_response,200,,empty_response
P08253,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P08253.fasta,
P10145,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P10145.fasta,
P11234,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P11234.fasta,
P11474,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P11474.fasta,
P14618,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P14618.fasta,
P14780,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P14780.fasta,
P15374,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P15374.fasta,
P15407,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P15407.fasta,
P15884,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P15884.fasta,
P18084,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P18084.fasta,
P19544,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P19544.fasta,
P20226,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P20226.fasta,
P20749,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P20749.fasta,
P23396,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P23396.fasta,
P23588,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P23588.fasta,
P23771,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P23771.fasta,
P25054,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P25054.fasta,
P25445,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P25445.fasta,
P27348,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P27348.fasta,
P28749,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P28749.fasta,
P29274,downloaded,200,./Data_raw/uniprot/uniprot_fasta/P29274.fasta,
