pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag,enz_compartments,sub_compartments,shared_compartments,has_enz_loc,has_sub_loc,coloc_flag
DUB|A6NNY8|O00512,DUB|A6NNY8,DUB,A6NNY8,O00512,USP27X,BCL9,USP,0,neg2x_initial_degree_matched,,USP27X,BCL9,BCL9|USP27X,False,cytoplasm;nucleus,nucleus,nucleus,True,True,True
DUB|A6NNY8|P04908,DUB|A6NNY8,DUB,A6NNY8,P04908,USP27X,HIST1H2AE,USP,0,neg2x_initial_degree_matched,,USP27X,HIST1H2AE,HIST1H2AE|USP27X,False,cytoplasm;nucleus,nucleus,nucleus,True,True,True
DUB|A6NNY8|P51168,DUB|A6NNY8,DUB,A6NNY8,P51168,USP27X,SCNN1B,USP,0,neg2x_initial_degree_matched,,USP27X,SCNN1B,SCNN1B|USP27X,False,cytoplasm;nucleus,cytoplasm;membrane;plasma_membrane;vesicle,cytoplasm,True,True,True
DUB|A6NNY8|Q96P20,DUB|A6NNY8,DUB,A6NNY8,Q96P20,USP27X,NLRP3,USP,0,neg2x_initial_degree_matched,,USP27X,NLRP3,NLRP3|USP27X,False,cytoplasm;nucleus,cytoplasm;cytoskeleton;endoplasmic_reticulum;extracellular;golgi;membrane;mitochondrion;nucleus;vesicle,cytoplasm;nucleus,True,True,True
DUB|A6NNY8|O43303,DUB|A6NNY8,DUB,A6NNY8,O43303,USP27X,CCP110,USP,0,neg2x_initial_degree_matched,,USP27X,CCP110,CCP110|USP27X,False,cytoplasm;nucleus,cytoplasm;cytoskeleton,cytoplasm,True,True,True
DUB|A6NNY8|P51965,DUB|A6NNY8,DUB,A6NNY8,P51965,USP27X,UBE2E1,USP,0,neg2x_initial_degree_matched,,USP27X,UBE2E1,UBE2E1|USP27X,False,cytoplasm;nucleus,nucleus,nucleus,True,True,True
DUB|A6NNY8|Q14258,DUB|A6NNY8,DUB,A6NNY8,Q14258,USP27X,TRIM25,USP,0,neg2x_initial_degree_matched,,USP27X,TRIM25,TRIM25|USP27X,False,cytoplasm;nucleus,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
DUB|O15372|O00463,DUB|O15372,DUB,O15372,O00463,EIF3H,TRAF5,JAMM,0,neg2x_initial_degree_matched,,EIF3H,TRAF5,EIF3H|TRAF5,False,cytoplasm,cytoplasm,cytoplasm,True,True,True
DUB|O15372|P62993,DUB|O15372,DUB,O15372,P62993,EIF3H,GRB2,JAMM,0,neg2x_initial_degree_matched,,EIF3H,GRB2,EIF3H|GRB2,False,cytoplasm,cytoplasm;endosome;golgi;nucleus,cytoplasm,True,True,True
DUB|O75317|Q96DH6,DUB|O75317,DUB,O75317,Q96DH6,USP12,MSI2,USP,0,neg2x_initial_degree_matched,,USP12,MSI2,MSI2|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm,cytoplasm,True,True,True
DUB|O75317|Q9Y2T1,DUB|O75317,DUB,O75317,Q9Y2T1,USP12,AXIN2,USP,0,neg2x_initial_degree_matched,,USP12,AXIN2,AXIN2|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm,cytoplasm,True,True,True
DUB|O75317|Q16828,DUB|O75317,DUB,O75317,Q16828,USP12,DUSP6,USP,0,neg2x_initial_degree_matched,,USP12,DUSP6,DUSP6|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm,cytoplasm,True,True,True
DUB|O75317|Q13469,DUB|O75317,DUB,O75317,Q13469,USP12,NFATC2,USP,0,neg2x_initial_degree_matched,,USP12,NFATC2,NFATC2|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75317|P32121,DUB|O75317,DUB,O75317,P32121,USP12,ARRB2,USP,0,neg2x_initial_degree_matched,,USP12,ARRB2,ARRB2|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;membrane;nucleus;plasma_membrane;vesicle,cytoplasm;membrane;nucleus;plasma_membrane,True,True,True
DUB|O75317|Q8NAP3,DUB|O75317,DUB,O75317,Q8NAP3,USP12,ZBTB38,USP,0,neg2x_initial_degree_matched,,USP12,ZBTB38,USP12|ZBTB38,False,cytoplasm;membrane;nucleus;plasma_membrane,nucleus,nucleus,True,True,True
DUB|O75317|P62979,DUB|O75317,DUB,O75317,P62979,USP12,RPS27A,USP,0,neg2x_initial_degree_matched,,USP12,RPS27A,RPS27A|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75317|Q9UIF9,DUB|O75317,DUB,O75317,Q9UIF9,USP12,BAZ2A,USP,0,neg2x_initial_degree_matched,,USP12,BAZ2A,BAZ2A|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,nucleus,nucleus,True,True,True
DUB|O75317|P04908,DUB|O75317,DUB,O75317,P04908,USP12,HIST1H2AE,USP,0,neg2x_initial_degree_matched,,USP12,HIST1H2AE,HIST1H2AE|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,nucleus,nucleus,True,True,True
DUB|O75317|P25445,DUB|O75317,DUB,O75317,P25445,USP12,FAS,USP,0,neg2x_initial_degree_matched,,USP12,FAS,FAS|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,extracellular;membrane;plasma_membrane,membrane;plasma_membrane,True,True,True
DUB|O75317|Q12778,DUB|O75317,DUB,O75317,Q12778,USP12,FOXO1,USP,0,neg2x_initial_degree_matched,,USP12,FOXO1,FOXO1|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75317|P40763,DUB|O75317,DUB,O75317,P40763,USP12,STAT3,USP,0,neg2x_initial_degree_matched,,USP12,STAT3,STAT3|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75317|Q92769,DUB|O75317,DUB,O75317,Q92769,USP12,HDAC2,USP,0,neg2x_initial_degree_matched,,USP12,HDAC2,HDAC2|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75317|P10636,DUB|O75317,DUB,O75317,P10636,USP12,MAPT,USP,0,neg2x_initial_degree_matched,,USP12,MAPT,MAPT|USP12,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;cytoskeleton;extracellular;membrane;plasma_membrane,cytoplasm;membrane;plasma_membrane,True,True,True
DUB|O75317|P98170,DUB|O75317,DUB,O75317,P98170,USP12,XIAP,USP,0,neg2x_initial_degree_matched,,USP12,XIAP,USP12|XIAP,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75604|P60484,DUB|O75604,DUB,O75604,P60484,USP2,PTEN,USP,0,neg2x_initial_degree_matched,,USP2,PTEN,PTEN|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;extracellular;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75604|Q12809,DUB|O75604,DUB,O75604,Q12809,USP2,KCNH2,USP,0,neg2x_initial_degree_matched,,USP2,KCNH2,KCNH2|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,membrane;plasma_membrane,membrane;plasma_membrane,True,True,True
DUB|O75604|Q15831,DUB|O75604,DUB,O75604,Q15831,USP2,STK11,USP,0,neg2x_initial_degree_matched,,USP2,STK11,STK11|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;membrane;mitochondrion;nucleus,cytoplasm;membrane;nucleus,True,True,True
DUB|O75604|P40305,DUB|O75604,DUB,O75604,P40305,USP2,IFI27,USP,0,neg2x_initial_degree_matched,,USP2,IFI27,IFI27|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,endoplasmic_reticulum;membrane;mitochondrion;nucleus,membrane;nucleus,True,True,True
DUB|O75604|P14635,DUB|O75604,DUB,O75604,P14635,USP2,CCNB1,USP,0,neg2x_initial_degree_matched,,USP2,CCNB1,CCNB1|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;cytoskeleton;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75604|Q16778,DUB|O75604,DUB,O75604,Q16778,USP2,HIST2H2BE,USP,0,neg2x_initial_degree_matched,,USP2,HIST2H2BE,HIST2H2BE|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,nucleus,nucleus,True,True,True
DUB|O75604|O60885,DUB|O75604,DUB,O75604,O60885,USP2,BRD4,USP,0,neg2x_initial_degree_matched,,USP2,BRD4,BRD4|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,nucleus,nucleus,True,True,True
DUB|O75604|O60493,DUB|O75604,DUB,O75604,O60493,USP2,SNX3,USP,0,neg2x_initial_degree_matched,,USP2,SNX3,SNX3|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;endosome;vesicle,cytoplasm,True,True,True
DUB|O75604|Q9H211,DUB|O75604,DUB,O75604,Q9H211,USP2,CDT1,USP,0,neg2x_initial_degree_matched,,USP2,CDT1,CDT1|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,nucleus,nucleus,True,True,True
DUB|O75604|Q13635,DUB|O75604,DUB,O75604,Q13635,USP2,PTCH1,USP,0,neg2x_initial_degree_matched,,USP2,PTCH1,PTCH1|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,membrane;plasma_membrane,membrane;plasma_membrane,True,True,True
DUB|O75604|Q7Z6Z7,DUB|O75604,DUB,O75604,Q7Z6Z7,USP2,HUWE1,USP,0,neg2x_initial_degree_matched,,USP2,HUWE1,HUWE1|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;mitochondrion;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75604|Q9H6Z9,DUB|O75604,DUB,O75604,Q9H6Z9,USP2,EGLN3,USP,0,neg2x_initial_degree_matched,,USP2,EGLN3,EGLN3|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75604|O15294,DUB|O75604,DUB,O75604,O15294,USP2,OGT,USP,0,neg2x_initial_degree_matched,,USP2,OGT,OGT|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;membrane;mitochondrion;nucleus;plasma_membrane,cytoplasm;membrane;nucleus;plasma_membrane,True,True,True
DUB|O75604|Q13489,DUB|O75604,DUB,O75604,Q13489,USP2,BIRC3,USP,0,neg2x_initial_degree_matched,,USP2,BIRC3,BIRC3|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
DUB|O75604|Q15051,DUB|O75604,DUB,O75604,Q15051,USP2,IQCB1,USP,0,neg2x_initial_degree_matched,,USP2,IQCB1,IQCB1|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;cytoskeleton,cytoplasm,True,True,True
DUB|O75604|Q86TM6,DUB|O75604,DUB,O75604,Q86TM6,USP2,SYVN1,USP,0,neg2x_initial_degree_matched,,USP2,SYVN1,SYVN1|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,endoplasmic_reticulum;membrane,membrane,True,True,True
DUB|O75604|P37023,DUB|O75604,DUB,O75604,P37023,USP2,ACVRL1,USP,0,neg2x_initial_degree_matched,,USP2,ACVRL1,ACVRL1|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,membrane;plasma_membrane,membrane;plasma_membrane,True,True,True
DUB|O75604|Q8IXI2,DUB|O75604,DUB,O75604,Q8IXI2,USP2,RHOT1,USP,0,neg2x_initial_degree_matched,,USP2,RHOT1,RHOT1|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,membrane;mitochondrion,membrane,True,True,True
DUB|O75604|Q9NPH5,DUB|O75604,DUB,O75604,Q9NPH5,USP2,NOX4,USP,0,neg2x_initial_degree_matched,,USP2,NOX4,NOX4|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cell_junction;cytoplasm;endoplasmic_reticulum;membrane;nucleus;plasma_membrane,cytoplasm;membrane;nucleus;plasma_membrane,True,True,True
DUB|O75604|P78406,DUB|O75604,DUB,O75604,P78406,USP2,RAE1,USP,0,neg2x_initial_degree_matched,,USP2,RAE1,RAE1|USP2,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;cytoskeleton;nucleus,cytoplasm;nucleus,True,True,True
