pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag
DUB|O00487|P14618,DUB|O00487,DUB,O00487,P14618,PSMD14,PKM,JAMM,0,neg2x_initial_degree_matched,,PSMD14,PKM,PKM|PSMD14,True
DUB|O75604|P46531,DUB|O75604,DUB,O75604,P46531,USP2,NOTCH1,USP,0,neg2x_initial_degree_matched,,USP2,NOTCH1,NOTCH1|USP2,True
DUB|O75604|P01106,DUB|O75604,DUB,O75604,P01106,USP2,MYC,USP,0,neg2x_initial_degree_matched,,USP2,MYC,MYC|USP2,True
DUB|O75604|P43403,DUB|O75604,DUB,O75604,P43403,USP2,ZAP70,USP,0,neg2x_initial_degree_matched,,USP2,ZAP70,USP2|ZAP70,True
DUB|O75604|Q86WV6,DUB|O75604,DUB,O75604,Q86WV6,USP2,TMEM173,USP,0,neg2x_initial_degree_matched,,USP2,TMEM173,TMEM173|USP2,True
DUB|O94782|Q9Y4K3,DUB|O94782,DUB,O94782,Q9Y4K3,USP1,TRAF6,USP,0,neg2x_initial_degree_matched,,USP1,TRAF6,TRAF6|USP1,True
DUB|O94966|Q14653,DUB|O94966,DUB,O94966,Q14653,USP19,IRF3,USP,0,neg2x_initial_degree_matched,,USP19,IRF3,IRF3|USP19,True
DUB|O94966|Q99496,DUB|O94966,DUB,O94966,Q99496,USP19,RNF2,USP,0,neg2x_initial_degree_matched,,USP19,RNF2,RNF2|USP19,True
DUB|O94966|Q8NEB9,DUB|O94966,DUB,O94966,Q8NEB9,USP19,PIK3C3,USP,0,neg2x_initial_degree_matched,,USP19,PIK3C3,PIK3C3|USP19,True
DUB|P15374|P98170,DUB|P15374,DUB,P15374,P98170,UCHL3,XIAP,UCH,0,neg2x_initial_degree_matched,,UCHL3,XIAP,UCHL3|XIAP,True
DUB|P15374|O14965,DUB|P15374,DUB,P15374,O14965,UCHL3,AURKA,UCH,0,neg2x_initial_degree_matched,,UCHL3,AURKA,AURKA|UCHL3,True
DUB|P21580|P40763,DUB|P21580,DUB,P21580,P40763,TNFAIP3,STAT3,OTU,0,neg2x_initial_degree_matched,,TNFAIP3,STAT3,STAT3|TNFAIP3,True
DUB|P21580|O43541,DUB|P21580,DUB,P21580,O43541,TNFAIP3,SMAD6,OTU,0,neg2x_initial_degree_matched,,TNFAIP3,SMAD6,SMAD6|TNFAIP3,True
DUB|P40818|P41134,DUB|P40818,DUB,P40818,P41134,USP8,ID1,USP,0,neg2x_initial_degree_matched,,USP8,ID1,ID1|USP8,True
DUB|P40818|P51965,DUB|P40818,DUB,P40818,P51965,USP8,UBE2E1,USP,0,neg2x_initial_degree_matched,,USP8,UBE2E1,UBE2E1|USP8,True
DUB|P40818|P62136,DUB|P40818,DUB,P40818,P62136,USP8,PPP1CA,USP,0,neg2x_initial_degree_matched,,USP8,PPP1CA,PPP1CA|USP8,True
DUB|P45974|P05067,DUB|P45974,DUB,P45974,P05067,USP5,APP,USP,0,neg2x_initial_degree_matched,,USP5,APP,APP|USP5,True
DUB|P51784|P12004,DUB|P51784,DUB,P51784,P12004,USP11,PCNA,USP,0,neg2x_initial_degree_matched,,USP11,PCNA,PCNA|USP11,True
DUB|P51784|P46531,DUB|P51784,DUB,P51784,P46531,USP11,NOTCH1,USP,0,neg2x_initial_degree_matched,,USP11,NOTCH1,NOTCH1|USP11,True
DUB|P51784|P14373,DUB|P51784,DUB,P51784,P14373,USP11,TRIM27,USP,0,neg2x_initial_degree_matched,,USP11,TRIM27,TRIM27|USP11,True
