pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag,enz_compartments,sub_compartments,shared_compartments,has_enz_loc,has_sub_loc,coloc_flag
E3|A6NLU0|O60260,E3|A6NLU0,E3,A6NLU0,O60260,RFPL4A,PARK2,RING,0,neg2x_initial_degree_matched,,RFPL4A,PARK2,PARK2|RFPL4A,False,cytoplasm;nucleus,cytoplasm;endoplasmic_reticulum;membrane;mitochondrion;nucleus,cytoplasm;nucleus,True,True,True
E3|A6NNE9|P98174,E3|A6NNE9,E3,A6NNE9,P98174,MARCHF11,FGD1,RING,0,neg2x_initial_degree_matched,,MARCHF11,FGD1,FGD1|MARCHF11,False,cytoplasm;membrane;vesicle,cytoplasm;cytoskeleton;membrane,cytoplasm;membrane,True,True,True
E3|A6NNE9|P36639,E3|A6NNE9,E3,A6NNE9,P36639,MARCHF11,NUDT1,RING,0,neg2x_initial_degree_matched,,MARCHF11,NUDT1,MARCHF11|NUDT1,False,cytoplasm;membrane;vesicle,cytoplasm;mitochondrion;nucleus,cytoplasm,True,True,True
E3|A8MQ27|P42566,E3|A8MQ27,E3,A8MQ27,P42566,NEURL1B,EPS15,RING,0,neg2x_initial_degree_matched,,NEURL1B,EPS15,EPS15|NEURL1B,False,cytoplasm,cytoplasm;endosome;membrane;plasma_membrane,cytoplasm,True,True,True
E3|A8MQ27|Q5T7V8,E3|A8MQ27,E3,A8MQ27,Q5T7V8,NEURL1B,GORAB,RING,0,neg2x_initial_degree_matched,,NEURL1B,GORAB,GORAB|NEURL1B,False,cytoplasm,cytoplasm;golgi,cytoplasm,True,True,True
E3|A8MQ27|Q9C0C7,E3|A8MQ27,E3,A8MQ27,Q9C0C7,NEURL1B,AMBRA1,RING,0,neg2x_initial_degree_matched,,NEURL1B,AMBRA1,AMBRA1|NEURL1B,False,cytoplasm,cell_junction;cytoplasm;cytoskeleton;endoplasmic_reticulum;mitochondrion;nucleus;vesicle,cytoplasm,True,True,True
E3|A8MQ27|Q9H0M0,E3|A8MQ27,E3,A8MQ27,Q9H0M0,NEURL1B,WWP1,RING,0,neg2x_initial_degree_matched,,NEURL1B,WWP1,NEURL1B|WWP1,False,cytoplasm,cell_junction;cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm,True,True,True
E3|O00308|Q15466,E3|O00308,E3,O00308,Q15466,WWP2,NR0B2,HECT,0,neg2x_initial_degree_matched,,WWP2,NR0B2,NR0B2|WWP2,False,nucleus,cytoplasm;nucleus,nucleus,True,True,True
E3|O00308|O95863,E3|O00308,E3,O00308,O95863,WWP2,SNAI1,HECT,0,neg2x_initial_degree_matched,,WWP2,SNAI1,SNAI1|WWP2,False,nucleus,cytoplasm;nucleus,nucleus,True,True,True
E3|O00308|P05771,E3|O00308,E3,O00308,P05771,WWP2,PRKCB,HECT,0,neg2x_initial_degree_matched,,WWP2,PRKCB,PRKCB|WWP2,False,nucleus,cytoplasm;membrane;nucleus,nucleus,True,True,True
E3|O00308|Q9UIF7,E3|O00308,E3,O00308,Q9UIF7,WWP2,MUTYH,HECT,0,neg2x_initial_degree_matched,,WWP2,MUTYH,MUTYH|WWP2,False,nucleus,mitochondrion;nucleus,nucleus,True,True,True
E3|O00308|P42229,E3|O00308,E3,O00308,P42229,WWP2,STAT5A,HECT,0,neg2x_initial_degree_matched,,WWP2,STAT5A,STAT5A|WWP2,False,nucleus,cytoplasm;nucleus,nucleus,True,True,True
E3|O00308|Q16186,E3|O00308,E3,O00308,Q16186,WWP2,ADRM1,HECT,0,neg2x_initial_degree_matched,,WWP2,ADRM1,ADRM1|WWP2,False,nucleus,cytoplasm;nucleus,nucleus,True,True,True
E3|O00308|P32314,E3|O00308,E3,O00308,P32314,WWP2,FOXN2,HECT,0,neg2x_initial_degree_matched,,WWP2,FOXN2,FOXN2|WWP2,False,nucleus,nucleus,nucleus,True,True,True
E3|O00308|Q9UMW8,E3|O00308,E3,O00308,Q9UMW8,WWP2,USP18,HECT,0,neg2x_initial_degree_matched,,WWP2,USP18,USP18|WWP2,False,nucleus,cytoplasm;nucleus,nucleus,True,True,True
E3|O00308|Q9Y2Y9,E3|O00308,E3,O00308,Q9Y2Y9,WWP2,KLF13,HECT,0,neg2x_initial_degree_matched,,WWP2,KLF13,KLF13|WWP2,False,nucleus,nucleus,nucleus,True,True,True
E3|O00308|P50539,E3|O00308,E3,O00308,P50539,WWP2,MXI1,HECT,0,neg2x_initial_degree_matched,,WWP2,MXI1,MXI1|WWP2,False,nucleus,nucleus,nucleus,True,True,True
E3|O00308|Q16695,E3|O00308,E3,O00308,Q16695,WWP2,H3-4,HECT,0,neg2x_initial_degree_matched,,WWP2,H3-4,H3-4|WWP2,False,nucleus,nucleus,nucleus,True,True,True
E3|O00308|Q5VTB9,E3|O00308,E3,O00308,Q5VTB9,WWP2,RNF220,HECT,0,neg2x_initial_degree_matched,,WWP2,RNF220,RNF220|WWP2,False,nucleus,cytoplasm;nucleus,nucleus,True,True,True
E3|O00308|Q99933,E3|O00308,E3,O00308,Q99933,WWP2,BAG1,HECT,0,neg2x_initial_degree_matched,,WWP2,BAG1,BAG1|WWP2,False,nucleus,cytoplasm;nucleus,nucleus,True,True,True
E3|O00308|O14777,E3|O00308,E3,O00308,O14777,WWP2,NDC80,HECT,0,neg2x_initial_degree_matched,,WWP2,NDC80,NDC80|WWP2,False,nucleus,nucleus,nucleus,True,True,True
E3|O00635|Q8WTX7,E3|O00635,E3,O00635,Q8WTX7,TRIM38,CASTOR1,RING,0,neg2x_initial_degree_matched,,TRIM38,CASTOR1,CASTOR1|TRIM38,False,cytoplasm,cytoplasm,cytoplasm,True,True,True
E3|O00635|O15169,E3|O00635,E3,O00635,O15169,TRIM38,AXIN1,RING,0,neg2x_initial_degree_matched,,TRIM38,AXIN1,AXIN1|TRIM38,False,cytoplasm,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm,True,True,True
E3|O14508|O15392,E3|O14508,E3,O14508,O15392,SOCS2,BIRC5,Other,0,neg2x_initial_degree_matched,,SOCS2,BIRC5,BIRC5|SOCS2,False,cytoplasm,cytoplasm;cytoskeleton;nucleus,cytoplasm,True,True,True
E3|O14508|Q92945,E3|O14508,E3,O14508,Q92945,SOCS2,KHSRP,Other,0,neg2x_initial_degree_matched,,SOCS2,KHSRP,KHSRP|SOCS2,False,cytoplasm,cytoplasm;nucleus,cytoplasm,True,True,True
E3|O14508|Q9BYP7,E3|O14508,E3,O14508,Q9BYP7,SOCS2,WNK3,Other,0,neg2x_initial_degree_matched,,SOCS2,WNK3,SOCS2|WNK3,False,cytoplasm,cytoplasm,cytoplasm,True,True,True
E3|O14512|P29466,E3|O14512,E3,O14512,P29466,SOCS7,CASP1,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS7,CASP1,CASP1|SOCS7,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;membrane;plasma_membrane,cytoplasm;membrane;plasma_membrane,True,True,True
E3|O14512|P13631,E3|O14512,E3,O14512,P13631,SOCS7,RARG,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS7,RARG,RARG|SOCS7,False,cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
E3|O14965|Q9H0M0,E3|O14965,E3,O14965,Q9H0M0,AURKA,WWP1,SINGLE_OTHER,0,neg2x_initial_degree_matched,,AURKA,WWP1,AURKA|WWP1,False,cytoplasm;cytoskeleton;membrane;plasma_membrane,cell_junction;cytoplasm;membrane;nucleus;plasma_membrane,cytoplasm;membrane;plasma_membrane,True,True,True
E3|O14965|P29350,E3|O14965,E3,O14965,P29350,AURKA,PTPN6,SINGLE_OTHER,0,neg2x_initial_degree_matched,,AURKA,PTPN6,AURKA|PTPN6,False,cytoplasm;cytoskeleton;membrane;plasma_membrane,cytoplasm;nucleus,cytoplasm,True,True,True
E3|O15151|P29350,E3|O15151,E3,O15151,P29350,MDM4,PTPN6,RING,0,neg2x_initial_degree_matched,,MDM4,PTPN6,MDM4|PTPN6,False,nucleus,cytoplasm;nucleus,nucleus,True,True,True
E3|O15164|P68431,E3|O15164,E3,O15164,P68431,TRIM24,H3C12,RING,0,neg2x_initial_degree_matched,,TRIM24,H3C12,H3C12|TRIM24,False,cytoplasm;mitochondrion;nucleus,nucleus,nucleus,True,True,True
E3|O15164|P54132,E3|O15164,E3,O15164,P54132,TRIM24,BLM,RING,0,neg2x_initial_degree_matched,,TRIM24,BLM,BLM|TRIM24,False,cytoplasm;mitochondrion;nucleus,nucleus,nucleus,True,True,True
E3|O15164|Q13485,E3|O15164,E3,O15164,Q13485,TRIM24,SMAD4,RING,0,neg2x_initial_degree_matched,,TRIM24,SMAD4,SMAD4|TRIM24,False,cytoplasm;mitochondrion;nucleus,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
E3|O15164|Q15583,E3|O15164,E3,O15164,Q15583,TRIM24,TGIF1,RING,0,neg2x_initial_degree_matched,,TRIM24,TGIF1,TGIF1|TRIM24,False,cytoplasm;mitochondrion;nucleus,nucleus,nucleus,True,True,True
E3|O15304|Q9Y6I3,E3|O15304,E3,O15304,Q9Y6I3,SIVA1,EPN1,Other,0,neg2x_initial_degree_matched,,SIVA1,EPN1,EPN1|SIVA1,False,cytoplasm;nucleus,cytoplasm;golgi;membrane;nucleus;plasma_membrane,cytoplasm;nucleus,True,True,True
E3|O15304|Q49A26,E3|O15304,E3,O15304,Q49A26,SIVA1,GLYR1,Other,0,neg2x_initial_degree_matched,,SIVA1,GLYR1,GLYR1|SIVA1,False,cytoplasm;nucleus,nucleus,nucleus,True,True,True
E3|O15344|Q86XT4,E3|O15344,E3,O15344,Q86XT4,MID1,TRIM50,RING,0,neg2x_initial_degree_matched,,MID1,TRIM50,MID1|TRIM50,False,cytoplasm;cytoskeleton,cytoplasm,cytoplasm,True,True,True
E3|O15344|P10415,E3|O15344,E3,O15344,P10415,MID1,BCL2,RING,0,neg2x_initial_degree_matched,,MID1,BCL2,BCL2|MID1,False,cytoplasm;cytoskeleton,cytoplasm;endoplasmic_reticulum;membrane;mitochondrion;nucleus,cytoplasm,True,True,True
E3|O15344|Q9BT92,E3|O15344,E3,O15344,Q9BT92,MID1,TCHP,RING,0,neg2x_initial_degree_matched,,MID1,TCHP,MID1|TCHP,False,cytoplasm;cytoskeleton,cell_junction;cytoplasm;cytoskeleton;membrane;mitochondrion;plasma_membrane,cytoplasm;cytoskeleton,True,True,True
E3|O15344|O43602,E3|O15344,E3,O15344,O43602,MID1,DCX,RING,0,neg2x_initial_degree_matched,,MID1,DCX,DCX|MID1,False,cytoplasm;cytoskeleton,cytoplasm,cytoplasm,True,True,True
E3|O15344|P98174,E3|O15344,E3,O15344,P98174,MID1,FGD1,RING,0,neg2x_initial_degree_matched,,MID1,FGD1,FGD1|MID1,False,cytoplasm;cytoskeleton,cytoplasm;cytoskeleton;membrane,cytoplasm;cytoskeleton,True,True,True
E3|O15344|Q9Y508,E3|O15344,E3,O15344,Q9Y508,MID1,RNF114,RING,0,neg2x_initial_degree_matched,,MID1,RNF114,MID1|RNF114,False,cytoplasm;cytoskeleton,cytoplasm;nucleus,cytoplasm,True,True,True
E3|O15524|Q9NPC3,E3|O15524,E3,O15524,Q9NPC3,SOCS1,CCNB1IP1,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,CCNB1IP1,CCNB1IP1|SOCS1,False,cytoplasm;nucleus;vesicle,nucleus,nucleus,True,True,True
E3|O15524|Q2KJY2,E3|O15524,E3,O15524,Q2KJY2,SOCS1,KIF26B,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,KIF26B,KIF26B|SOCS1,False,cytoplasm;nucleus;vesicle,cytoplasm;cytoskeleton,cytoplasm,True,True,True
E3|O15524|P55895,E3|O15524,E3,O15524,P55895,SOCS1,RAG2,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,RAG2,RAG2|SOCS1,False,cytoplasm;nucleus;vesicle,nucleus,nucleus,True,True,True
E3|O15524|Q96A08,E3|O15524,E3,O15524,Q96A08,SOCS1,H2BC1,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,H2BC1,H2BC1|SOCS1,False,cytoplasm;nucleus;vesicle,nucleus,nucleus,True,True,True
E3|O15524|Q5T5C0,E3|O15524,E3,O15524,Q5T5C0,SOCS1,STXBP5,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,STXBP5,SOCS1|STXBP5,False,cytoplasm;nucleus;vesicle,cytoplasm;membrane;plasma_membrane;vesicle,cytoplasm;vesicle,True,True,True
E3|O15524|Q14192,E3|O15524,E3,O15524,Q14192,SOCS1,FHL2,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,FHL2,FHL2|SOCS1,False,cytoplasm;nucleus;vesicle,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
E3|O15524|Q13627,E3|O15524,E3,O15524,Q13627,SOCS1,DYRK1A,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,DYRK1A,DYRK1A|SOCS1,False,cytoplasm;nucleus;vesicle,nucleus,nucleus,True,True,True
E3|O15524|Q99558,E3|O15524,E3,O15524,Q99558,SOCS1,MAP3K14,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,MAP3K14,MAP3K14|SOCS1,False,cytoplasm;nucleus;vesicle,cytoplasm,cytoplasm,True,True,True
E3|O15524|P19784,E3|O15524,E3,O15524,P19784,SOCS1,CSNK2A2,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,CSNK2A2,CSNK2A2|SOCS1,False,cytoplasm;nucleus;vesicle,cytoplasm;nucleus,cytoplasm;nucleus,True,True,True
E3|O15524|Q13114,E3|O15524,E3,O15524,Q13114,SOCS1,TRAF3,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS1,TRAF3,SOCS1|TRAF3,False,cytoplasm;nucleus;vesicle,cytoplasm;endosome;mitochondrion,cytoplasm,True,True,True
E3|O43164|P10415,E3|O43164,E3,O43164,P10415,PJA2,BCL2,RING,0,neg2x_initial_degree_matched,,PJA2,BCL2,BCL2|PJA2,False,cytoplasm;cytoskeleton;endoplasmic_reticulum;golgi;membrane;plasma_membrane,cytoplasm;endoplasmic_reticulum;membrane;mitochondrion;nucleus,cytoplasm;endoplasmic_reticulum;membrane,True,True,True
