pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag
E3|O00308|O43541,E3|O00308,E3,O00308,O43541,WWP2,SMAD6,HECT,0,neg2x_initial_degree_matched,,WWP2,SMAD6,SMAD6|WWP2,True
E3|O00308|P15880,E3|O00308,E3,O00308,P15880,WWP2,RPS2,HECT,0,neg2x_initial_degree_matched,,WWP2,RPS2,RPS2|WWP2,True
E3|O00308|Q12824,E3|O00308,E3,O00308,Q12824,WWP2,SMARCB1,HECT,0,neg2x_initial_degree_matched,,WWP2,SMARCB1,SMARCB1|WWP2,True
E3|O14543|Q15233,E3|O14543,E3,O14543,Q15233,SOCS3,NONO,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS3,NONO,NONO|SOCS3,True
E3|O14544|P24928,E3|O14544,E3,O14544,P24928,SOCS6,POLR2A,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS6,POLR2A,POLR2A|SOCS6,True
E3|O15151|P05067,E3|O15151,E3,O15151,P05067,MDM4,APP,RING,0,neg2x_initial_degree_matched,,MDM4,APP,APP|MDM4,True
E3|O43164|P50750,E3|O43164,E3,O43164,P50750,PJA2,CDK9,RING,0,neg2x_initial_degree_matched,,PJA2,CDK9,CDK9|PJA2,True
E3|O43663|P15927,E3|O43663,E3,O43663,P15927,PRC1,RPA2,RING,0,neg2x_initial_degree_matched,,PRC1,RPA2,PRC1|RPA2,True
E3|O43791|P06733,E3|O43791,E3,O43791,P06733,SPOP,ENO1,Other,0,neg2x_initial_degree_matched,,SPOP,ENO1,ENO1|SPOP,True
E3|O43791|O75496,E3|O43791,E3,O43791,O75496,SPOP,GMNN,Other,0,neg2x_initial_degree_matched,,SPOP,GMNN,GMNN|SPOP,True
E3|O43791|Q13501,E3|O43791,E3,O43791,Q13501,SPOP,SQSTM1,Other,0,neg2x_initial_degree_matched,,SPOP,SQSTM1,SPOP|SQSTM1,True
E3|O60260|P45983,E3|O60260,E3,O60260,P45983,PARK2,MAPK8,RING,0,neg2x_initial_degree_matched,,PARK2,MAPK8,MAPK8|PARK2,True
E3|O60260|P98170,E3|O60260,E3,O60260,P98170,PARK2,XIAP,RING,0,neg2x_initial_degree_matched,,PARK2,XIAP,PARK2|XIAP,True
E3|O60260|Q93009,E3|O60260,E3,O60260,Q93009,PARK2,USP7,RING,0,neg2x_initial_degree_matched,,PARK2,USP7,PARK2|USP7,True
E3|O60260|Q02156,E3|O60260,E3,O60260,Q02156,PARK2,PRKCE,RING,0,neg2x_initial_degree_matched,,PARK2,PRKCE,PARK2|PRKCE,True
E3|O60260|Q53EL6,E3|O60260,E3,O60260,Q53EL6,PARK2,PDCD4,RING,0,neg2x_initial_degree_matched,,PARK2,PDCD4,PARK2|PDCD4,True
E3|O60260|Q96SW2,E3|O60260,E3,O60260,Q96SW2,PARK2,CRBN,RING,0,neg2x_initial_degree_matched,,PARK2,CRBN,CRBN|PARK2,True
E3|O60260|P52294,E3|O60260,E3,O60260,P52294,PARK2,KPNA1,RING,0,neg2x_initial_degree_matched,,PARK2,KPNA1,KPNA1|PARK2,True
E3|O60260|P05771,E3|O60260,E3,O60260,P05771,PARK2,PRKCB,RING,0,neg2x_initial_degree_matched,,PARK2,PRKCB,PARK2|PRKCB,True
E3|O60260|Q8IW35,E3|O60260,E3,O60260,Q8IW35,PARK2,CEP97,RING,0,neg2x_initial_degree_matched,,PARK2,CEP97,CEP97|PARK2,True
