pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag,enz_compartments,sub_compartments,shared_compartments,has_enz_loc,has_sub_loc,coloc_flag,scrna_has_both_genes_crc,scrna_has_both_genes_lihc,scrna_coexpr_crc,scrna_coexpr_lihc,scrna_coexpr_flag,scrna_max_min_expr,scrna_best_cancer,scrna_best_celltype
E3|O14543|Q03060,E3|O14543,E3,O14543,Q03060,SOCS3,CREM,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS3,CREM,CREM|SOCS3,False,,cytoplasm;nucleus,,False,True,False,True,True,True,False,True,1.03225,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|DC
E3|O14543|P35555,E3|O14543,E3,O14543,P35555,SOCS3,FBN1,SOCS_VHL_BC-box,0,neg2x_initial_degree_matched,,SOCS3,FBN1,FBN1|SOCS3,False,,extracellular,,False,True,False,True,True,True,False,True,1.03751,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|Fibroblasts
E3|O75592|Q5Y7A7,E3|O75592,E3,O75592,Q5Y7A7,MYCBP2,HLA-DRB1,RING,0,neg2x_initial_degree_matched,,MYCBP2,HLA-DRB1,HLA-DRB1|MYCBP2,False,cytoplasm;cytoskeleton;nucleus,,,True,False,False,True,True,True,False,True,1.09527,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|B
E3|P62877|P05026,E3|P62877,E3,P62877,P05026,RBX1,ATP1B1,RING,0,neg2x_initial_degree_matched,,RBX1,ATP1B1,ATP1B1|RBX1,False,cytoplasm;nucleus,membrane;plasma_membrane,,True,True,False,True,True,False,True,True,1.00917,LIHC,LIHC|LIHC_GSE166635_expression_Celltype_majorlineage|Malignant
E3|Q8IYM9|P01911,E3|Q8IYM9,E3,Q8IYM9,P01911,TRIM22,HLA-DRB1,RING,0,neg2x_initial_degree_matched,,TRIM22,HLA-DRB1,HLA-DRB1|TRIM22,False,cytoplasm;nucleus,endoplasmic_reticulum;endosome;lysosome;membrane;plasma_membrane,,True,True,False,True,True,True,True,True,1.63568,LIHC,LIHC|LIHC_GSE98638_expression_Celltype_majorlineage|CD8Tex
E3|Q969U6|P05412,E3|Q969U6,E3,Q969U6,P05412,FBXW5,JUN,F-box,0,neg2x_initial_degree_matched,,FBXW5,JUN,FBXW5|JUN,False,cytoplasm,nucleus,,True,True,False,True,True,True,False,True,1.0546,CRC,CRC|CRC_GSE166555_expression_Celltype_majorlineage|Epithelial
E3|Q96FA3|O60343,E3|Q96FA3,E3,Q96FA3,O60343,PELI1,TBC1D4,RING,0,neg2x_initial_degree_matched,,PELI1,TBC1D4,PELI1|TBC1D4,False,nucleus,cytoplasm,,True,True,False,True,True,True,False,True,1.05251,CRC,CRC|CRC_GSE108989_expression_Celltype_majorlineage|Treg
E3|Q9NV58|P26358,E3|Q9NV58,E3,Q9NV58,P26358,RNF19A,DNMT1,RING,0,neg2x_initial_degree_matched,,RNF19A,DNMT1,DNMT1|RNF19A,False,cytoplasm;cytoskeleton;membrane,nucleus,,True,True,False,True,True,True,False,True,1.09937,CRC,CRC|CRC_GSE108989_expression_Celltype_majorlineage|Tprolif
E3|Q9NV58|Q15233,E3|Q9NV58,E3,Q9NV58,Q15233,RNF19A,NONO,RING,0,neg2x_initial_degree_matched,,RNF19A,NONO,NONO|RNF19A,False,cytoplasm;cytoskeleton;membrane,nucleus,,True,True,False,True,True,True,True,True,1.09937,CRC,CRC|CRC_GSE108989_expression_Celltype_majorlineage|Tprolif
E3|Q9NYG5|P04839,E3|Q9NYG5,E3,Q9NYG5,P04839,ANAPC11,CYBB,Other,0,neg2x_initial_degree_matched,,ANAPC11,CYBB,ANAPC11|CYBB,False,cytoplasm;nucleus,endoplasmic_reticulum;membrane;plasma_membrane,,True,True,False,True,True,False,True,True,1.09229,LIHC,LIHC|LIHC_GSE166635_expression_Celltype_majorlineage|Tprolif
