model,feature_type,n_features,n_constant_features,constant_feature_examples
esm2_t6_8M_UR50D,per_sequence,1280,0,
esm2_t6_8M_UR50D,per_residue,96,5,esm2_t6_8M_UR50D_res_hist_bin_00;esm2_t6_8M_UR50D_res_hist_bin_01;esm2_t6_8M_UR50D_res_hist_bin_02;esm2_t6_8M_UR50D_res_hist_bin_03;esm2_t6_8M_UR50D_res_hist_bin_04
esm2_t6_8M_UR50D,fusion,1376,5,esm2_t6_8M_UR50D_res_hist_bin_00;esm2_t6_8M_UR50D_res_hist_bin_01;esm2_t6_8M_UR50D_res_hist_bin_02;esm2_t6_8M_UR50D_res_hist_bin_03;esm2_t6_8M_UR50D_res_hist_bin_04
esm2_t12_35M_UR50D,per_sequence,1920,0,
esm2_t12_35M_UR50D,per_residue,96,5,esm2_t12_35M_UR50D_res_hist_bin_00;esm2_t12_35M_UR50D_res_hist_bin_01;esm2_t12_35M_UR50D_res_hist_bin_02;esm2_t12_35M_UR50D_res_hist_bin_03;esm2_t12_35M_UR50D_res_hist_bin_04
esm2_t12_35M_UR50D,fusion,2016,5,esm2_t12_35M_UR50D_res_hist_bin_00;esm2_t12_35M_UR50D_res_hist_bin_01;esm2_t12_35M_UR50D_res_hist_bin_02;esm2_t12_35M_UR50D_res_hist_bin_03;esm2_t12_35M_UR50D_res_hist_bin_04
esm2_t30_150M_UR50D,per_sequence,2560,0,
esm2_t30_150M_UR50D,per_residue,96,5,esm2_t30_150M_UR50D_res_hist_bin_00;esm2_t30_150M_UR50D_res_hist_bin_01;esm2_t30_150M_UR50D_res_hist_bin_02;esm2_t30_150M_UR50D_res_hist_bin_03;esm2_t30_150M_UR50D_res_hist_bin_04
esm2_t30_150M_UR50D,fusion,2656,5,esm2_t30_150M_UR50D_res_hist_bin_00;esm2_t30_150M_UR50D_res_hist_bin_01;esm2_t30_150M_UR50D_res_hist_bin_02;esm2_t30_150M_UR50D_res_hist_bin_03;esm2_t30_150M_UR50D_res_hist_bin_04
esm2_t33_650M_UR50D,per_sequence,5120,0,
esm2_t33_650M_UR50D,per_residue,96,5,esm2_t33_650M_UR50D_res_hist_bin_00;esm2_t33_650M_UR50D_res_hist_bin_01;esm2_t33_650M_UR50D_res_hist_bin_02;esm2_t33_650M_UR50D_res_hist_bin_03;esm2_t33_650M_UR50D_res_hist_bin_04
esm2_t33_650M_UR50D,fusion,5216,5,esm2_t33_650M_UR50D_res_hist_bin_00;esm2_t33_650M_UR50D_res_hist_bin_01;esm2_t33_650M_UR50D_res_hist_bin_02;esm2_t33_650M_UR50D_res_hist_bin_03;esm2_t33_650M_UR50D_res_hist_bin_04
esm2_t36_3B_UR50D,per_sequence,10240,0,
esm2_t36_3B_UR50D,per_residue,96,7,esm2_t36_3B_UR50D_res_hist_bin_00;esm2_t36_3B_UR50D_res_hist_bin_01;esm2_t36_3B_UR50D_res_hist_bin_02;esm2_t36_3B_UR50D_res_hist_bin_03;esm2_t36_3B_UR50D_res_hist_bin_04;esm2_t36_3B_UR50D_res_hist_bin_05;esm2_t36_3B_UR50D_res_hist_bin_06
esm2_t36_3B_UR50D,fusion,10336,7,esm2_t36_3B_UR50D_res_hist_bin_00;esm2_t36_3B_UR50D_res_hist_bin_01;esm2_t36_3B_UR50D_res_hist_bin_02;esm2_t36_3B_UR50D_res_hist_bin_03;esm2_t36_3B_UR50D_res_hist_bin_04;esm2_t36_3B_UR50D_res_hist_bin_05;esm2_t36_3B_UR50D_res_hist_bin_06
prot_bert,per_sequence,4096,0,
prot_bert,per_residue,96,5,prot_bert_res_hist_bin_00;prot_bert_res_hist_bin_01;prot_bert_res_hist_bin_02;prot_bert_res_hist_bin_03;prot_bert_res_hist_bin_04
prot_bert,fusion,4192,5,prot_bert_res_hist_bin_00;prot_bert_res_hist_bin_01;prot_bert_res_hist_bin_02;prot_bert_res_hist_bin_03;prot_bert_res_hist_bin_04
prot_bert_bfd,per_sequence,4096,0,
prot_bert_bfd,per_residue,96,4,prot_bert_bfd_res_hist_bin_00;prot_bert_bfd_res_hist_bin_01;prot_bert_bfd_res_hist_bin_02;prot_bert_bfd_res_hist_bin_03
prot_bert_bfd,fusion,4192,4,prot_bert_bfd_res_hist_bin_00;prot_bert_bfd_res_hist_bin_01;prot_bert_bfd_res_hist_bin_02;prot_bert_bfd_res_hist_bin_03
