pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid
DUB|O95630|P00533,DUB|O95630,DUB,O95630,P00533,STAMBP,EGFR,Other,1,UbiBrowser2,34102455
DUB|O95630|P17302,DUB|O95630,DUB,O95630,P17302,STAMBP,GJA1,Other,1,UbiBrowser2,25070368
DUB|O95630|P55085,DUB|O95630,DUB,O95630,P55085,STAMBP,F2RL1,Other,1,UbiBrowser2,19684015
E3|O95630|Q96P20,E3|O95630,E3,O95630,Q96P20,STAMBP,NLRP3,SOCS_VHL_BC-box,1,UbiBrowser2,33253913
DUB|P09936|P04637,DUB|P09936,DUB,P09936,P04637,UCHL1,TP53,UCH,1,UbiBrowser2,20395212
DUB|P09936|P05231,DUB|P09936,DUB,P09936,P05231,UCHL1,IL6,UCH,1,UbiBrowser2,30305579
DUB|P09936|P09936,DUB|P09936,DUB,P09936,P09936,UCHL1,UCHL1,UCH,1,UbiBrowser2,17259170
DUB|P09936|P10145,DUB|P09936,DUB,P09936,P10145,UCHL1,CXCL8,UCH,1,UbiBrowser2,30305579
DUB|P09936|P10636,DUB|P09936,DUB,P09936,P10636,UCHL1,MAPT,UCH,1,UbiBrowser2,29964011
DUB|P09936|P19838,DUB|P09936,DUB,P09936,P19838,UCHL1,NFKB1,UCH,1,UbiBrowser2,30305579
DUB|P09936|P25963,DUB|P09936,DUB,P09936,P25963,UCHL1,NFKBIA,UCH,1,UbiBrowser2,34288216
DUB|P09936|P36897,DUB|P09936,DUB,P09936,P36897,UCHL1,TGFBR1,UCH,1,UbiBrowser2,31857432
DUB|P09936|P37840,DUB|P09936,DUB,P09936,P37840,UCHL1,SNCA,UCH,1,UbiBrowser2,30126257
DUB|P09936|P84022,DUB|P09936,DUB,P09936,P84022,UCHL1,SMAD3,UCH,1,UbiBrowser2,32371398
DUB|P09936|Q15796,DUB|P09936,DUB,P09936,Q15796,UCHL1,SMAD2,UCH,1,UbiBrowser2,32371398
DUB|P09936|Q16620,DUB|P09936,DUB,P09936,Q16620,UCHL1,NTRK2,UCH,1,UbiBrowser2,28500221
DUB|P09936|Q16665,DUB|P09936,DUB,P09936,Q16665,UCHL1,HIF1A,UCH,1,UbiBrowser2,28778421
DUB|P09936|Q92905,DUB|P09936,DUB,P09936,Q92905,UCHL1,COPS5,UCH,1,UbiBrowser2,25121098
DUB|P09936|Q9GZV3,DUB|P09936,DUB,P09936,Q9GZV3,UCHL1,SLC5A7,UCH,1,UbiBrowser2,24525247
DUB|P09936|Q9NPH5,DUB|P09936,DUB,P09936,Q9NPH5,UCHL1,NOX4,UCH,1,UbiBrowser2,25915537
DUB|P09936|Q9UBN7,DUB|P09936,DUB,P09936,Q9UBN7,UCHL1,HDAC6,UCH,1,UbiBrowser2,28540657
E3|P09936|P11021,E3|P09936,E3,P09936,P11021,UCHL1,HSPA5,SINGLE_OTHER,1,UbiBrowser2,32606430
E3|P09936|Q14247,E3|P09936,E3,P09936,Q14247,UCHL1,CTTN,SINGLE_OTHER,1,UbiBrowser2,32120844
E3|P09936|Q16637,E3|P09936,E3,P09936,Q16637,UCHL1,SMN1,SINGLE_OTHER,1,UbiBrowser2,20713032
DUB|P21580|O43353,DUB|P21580,DUB,P21580,O43353,TNFAIP3,RIPK2,OTU,1,UbiBrowser2,26834734
DUB|P21580|P04637,DUB|P21580,DUB,P21580,P04637,TNFAIP3,TP53,OTU,1,UbiBrowser2,27775833
DUB|P21580|P19838,DUB|P21580,DUB,P21580,P19838,TNFAIP3,NFKB1,OTU,1,UbiBrowser2,27775833
DUB|P21580|Q12933,DUB|P21580,DUB,P21580,Q12933,TNFAIP3,TRAF2,OTU,1,UbiBrowser2,24673262
DUB|P21580|Q13137,DUB|P21580,DUB,P21580,Q13137,TNFAIP3,CALCOCO2,OTU,1,UbiBrowser2,26445063
DUB|P21580|Q13546,DUB|P21580,DUB,P21580,Q13546,TNFAIP3,RIPK1,OTU,1,UbiBrowser2,25121098
DUB|P21580|Q14457,DUB|P21580,DUB,P21580,Q14457,TNFAIP3,BECN1,OTU,1,UbiBrowser2,26445063
DUB|P21580|Q14790,DUB|P21580,DUB,P21580,Q14790,TNFAIP3,CASP8,OTU,1,UbiBrowser2,25121098
