pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag,enz_compartments,sub_compartments,shared_compartments,has_enz_loc,has_sub_loc,coloc_flag,scrna_has_both_genes_crc,scrna_has_both_genes_lihc,scrna_coexpr_crc,scrna_coexpr_lihc,scrna_coexpr_flag,scrna_max_min_expr,scrna_best_cancer,scrna_best_celltype
E3|P03243#Q6VGT3|P04637,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,P04637,E4,TP53,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P03243#Q6VGT3|P26006,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,P26006,E4,ITGA3,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P03243#Q6VGT3|P49917,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,P49917,E4,LIG4,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P03243#Q6VGT3|P49959,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,P49959,E4,MRE11,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|P04908,E3|P35226#Q99496,E3,P35226#Q99496,P04908,BMI1#RNF2,H2AC4,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|P0C0S5,E3|P35226#Q99496,E3,P35226#Q99496,P0C0S5,BMI1#RNF2,H2AZ1,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|P0C0S8,E3|P35226#Q99496,E3,P35226#Q99496,P0C0S8,BMI1#RNF2,H2AC11,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|P16104,E3|P35226#Q99496,E3,P35226#Q99496,P16104,BMI1#RNF2,H2AX,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|P20671,E3|P35226#Q99496,E3,P35226#Q99496,P20671,BMI1#RNF2,H2AC7,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|Q16777,E3|P35226#Q99496,E3,P35226#Q99496,Q16777,BMI1#RNF2,H2AC20,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|Q6FI13,E3|P35226#Q99496,E3,P35226#Q99496,Q6FI13,BMI1#RNF2,H2AC18,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|Q7L7L0,E3|P35226#Q99496,E3,P35226#Q99496,Q7L7L0,BMI1#RNF2,H2AW,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|Q8IUE6,E3|P35226#Q99496,E3,P35226#Q99496,Q8IUE6,BMI1#RNF2,H2AC21,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|Q93077,E3|P35226#Q99496,E3,P35226#Q99496,Q93077,BMI1#RNF2,H2AC6,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|Q96KK5,E3|P35226#Q99496,E3,P35226#Q99496,Q96KK5,BMI1#RNF2,H2AC12,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|Q96QV6,E3|P35226#Q99496,E3,P35226#Q99496,Q96QV6,BMI1#RNF2,H2AC1,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|Q99496,E3|P35226#Q99496,E3,P35226#Q99496,Q99496,BMI1#RNF2,RNF2,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|P35226#Q99496|Q99878,E3|P35226#Q99496,E3,P35226#Q99496,Q99878,BMI1#RNF2,H2AC14,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|Q7L5Y6#Q8NHY2|O00763,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,O00763,DET1#COP1,ACACB,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|Q7L5Y6#Q8NHY2|P04637,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,P04637,DET1#COP1,TP53,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|Q7L5Y6#Q8NHY2|P05412,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,P05412,DET1#COP1,JUN,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|Q7L5Y6#Q8NHY2|Q12778,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q12778,DET1#COP1,FOXO1,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|Q7L5Y6#Q8NHY2|Q13085,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q13085,DET1#COP1,ACACA,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
E3|Q7L5Y6#Q8NHY2|Q13330,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q13330,DET1#COP1,MTA1,Other,1,UbiBrowser2,22199232,,,,,,,,,,,,,,,,,,
