cancer,file,loaded,n_celltypes,n_genes,error
CRC,Data_raw/tisch2/CRC/CRC_EMTAB8107_Expression/CRC_EMTAB8107_expression_Celltype_majorlineage.txt,True,12,22236,
CRC,Data_raw/tisch2/CRC/CRC_EMTAB8107_expression_Celltype_majorlineage.txt,True,12,22236,
CRC,Data_raw/tisch2/CRC/CRC_GSE108989_Expression/CRC_GSE108989_expression_Celltype_majorlineage.txt,True,5,19194,
CRC,Data_raw/tisch2/CRC/CRC_GSE108989_expression_Celltype_majorlineage.txt,True,5,19194,
CRC,Data_raw/tisch2/CRC/CRC_GSE139555_Expression/CRC_GSE139555_expression_Celltype_majorlineage.txt,True,11,15408,
CRC,Data_raw/tisch2/CRC/CRC_GSE139555_expression_Celltype_majorlineage.txt,True,11,15408,
CRC,Data_raw/tisch2/CRC/CRC_GSE146771_10X_Expression/CRC_GSE146771_10X_expression_Celltype_majorlineage.txt,True,9,13489,
CRC,Data_raw/tisch2/CRC/CRC_GSE146771_10X_expression_Celltype_majorlineage.txt,True,9,13489,
CRC,Data_raw/tisch2/CRC/CRC_GSE146771_Smartseq2_Expression/CRC_GSE146771_Smartseq2_expression_Celltype_majorlineage.txt,True,13,15178,
CRC,Data_raw/tisch2/CRC/CRC_GSE146771_Smartseq2_expression_Celltype_majorlineage.txt,True,13,15178,
CRC,Data_raw/tisch2/CRC/CRC_GSE166555_Expression/CRC_GSE166555_expression_Celltype_majorlineage.txt,True,13,21753,
CRC,Data_raw/tisch2/CRC/CRC_GSE166555_expression_Celltype_majorlineage.txt,True,13,21753,
CRC,Data_raw/tisch2/CRC_EMTAB8107_expression_Celltype_majorlineage.txt,True,12,22236,
CRC,Data_raw/tisch2/CRC_GSE108989_expression_Celltype_majorlineage.txt,True,5,19194,
CRC,Data_raw/tisch2/CRC_GSE139555_expression_Celltype_majorlineage.txt,True,11,15408,
CRC,Data_raw/tisch2/CRC_GSE146771_10X_expression_Celltype_majorlineage.txt,True,9,13489,
CRC,Data_raw/tisch2/CRC_GSE146771_Smartseq2_expression_Celltype_majorlineage.txt,True,13,15178,
CRC,Data_raw/tisch2/CRC_GSE166555_expression_Celltype_majorlineage.txt,True,13,21753,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE140228_10X_Expression/LIHC_GSE140228_10X_expression_Celltype_majorlineage.txt,True,12,22143,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE140228_10X_expression_Celltype_majorlineage.txt,True,12,22143,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE140228_Smartseq2_Expression/LIHC_GSE140228_Smartseq2_expression_Celltype_majorlineage.txt,True,10,33080,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE140228_Smartseq2_expression_Celltype_majorlineage.txt,True,10,33080,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE146115_Expression/LIHC_GSE146115_expression_Celltype_majorlineage.txt,True,5,15527,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE146115_expression_Celltype_majorlineage.txt,True,5,15527,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE146409_Expression/LIHC_GSE146409_expression_Celltype_majorlineage.txt,True,6,14054,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE146409_expression_Celltype_majorlineage.txt,True,6,14054,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE166635_Expression/LIHC_GSE166635_expression_Celltype_majorlineage.txt,True,11,21394,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE166635_expression_Celltype_majorlineage.txt,True,11,21394,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE179795_Expression/LIHC_GSE179795_expression_Celltype_majorlineage.txt,True,4,12145,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE179795_expression_Celltype_majorlineage.txt,True,4,12145,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE98638_Expression/LIHC_GSE98638_expression_Celltype_majorlineage.txt,True,6,17254,
LIHC,Data_raw/tisch2/LIHC/LIHC_GSE98638_expression_Celltype_majorlineage.txt,True,6,17254,
LIHC,Data_raw/tisch2/LIHC_GSE140228_10X_expression_Celltype_majorlineage.txt,True,12,22143,
LIHC,Data_raw/tisch2/LIHC_GSE140228_Smartseq2_expression_Celltype_majorlineage.txt,True,10,33080,
LIHC,Data_raw/tisch2/LIHC_GSE146115_expression_Celltype_majorlineage.txt,True,5,15527,
LIHC,Data_raw/tisch2/LIHC_GSE146409_expression_Celltype_majorlineage.txt,True,6,14054,
LIHC,Data_raw/tisch2/LIHC_GSE166635_expression_Celltype_majorlineage.txt,True,11,21394,
LIHC,Data_raw/tisch2/LIHC_GSE179795_expression_Celltype_majorlineage.txt,True,4,12145,
LIHC,Data_raw/tisch2/LIHC_GSE98638_expression_Celltype_majorlineage.txt,True,6,17254,
