accession,has_fasta,fasta_ok,file_path,file_name,length,header_ac,error
A0A1B0GVQ0,True,True,./Data_raw/uniprot/uniprot_fasta/A0A1B0GVQ0.fasta,A0A1B0GVQ0.fasta,90,A0A1B0GVQ0,
A0A291NLA3,True,True,./Data_raw/uniprot/uniprot_fasta/A0A291NLA3.fasta,A0A291NLA3.fasta,479,A0A291NLA3,
A2AIR5,True,True,./Data_raw/uniprot/uniprot_fasta/A2AIR5.fasta,A2AIR5.fasta,1135,A2AIR5,
A4F535,True,True,./Data_raw/uniprot/uniprot_fasta/A4F535.fasta,A4F535.fasta,851,A4F535,
A5PKW4,True,True,./Data_raw/uniprot/uniprot_fasta/A5PKW4.fasta,A5PKW4.fasta,1024,A5PKW4,
A6MI22,True,True,./Data_raw/uniprot/uniprot_fasta/A6MI22.fasta,A6MI22.fasta,106,A6MI22,
A6NI79,True,True,./Data_raw/uniprot/uniprot_fasta/A6NI79.fasta,A6NI79.fasta,296,A6NI79,
A6NK89,True,True,./Data_raw/uniprot/uniprot_fasta/A6NK89.fasta,A6NK89.fasta,507,A6NK89,
A8MYT4,True,True,./Data_raw/uniprot/uniprot_fasta/A8MYT4.fasta,A8MYT4.fasta,824,A8MYT4,
A9UEZ6,True,True,./Data_raw/uniprot/uniprot_fasta/A9UEZ6.fasta,A9UEZ6.fasta,1633,A9UEZ6,
B3EWF7,True,True,./Data_raw/uniprot/uniprot_fasta/B3EWF7.fasta,B3EWF7.fasta,344,B3EWF7,
C9JYI4,True,True,./Data_raw/uniprot/uniprot_fasta/C9JYI4.fasta,C9JYI4.fasta,328,C9JYI4,
F5HEZ4,True,True,./Data_raw/uniprot/uniprot_fasta/F5HEZ4.fasta,F5HEZ4.fasta,188,F5HEZ4,
O00141,True,True,./Data_raw/uniprot/uniprot_fasta/O00141.fasta,O00141.fasta,431,O00141,
O00206,True,True,./Data_raw/uniprot/uniprot_fasta/O00206.fasta,O00206.fasta,839,O00206,
O00213,True,True,./Data_raw/uniprot/uniprot_fasta/O00213.fasta,O00213.fasta,710,O00213,
O00220,True,True,./Data_raw/uniprot/uniprot_fasta/O00220.fasta,O00220.fasta,468,O00220,
O00221,True,True,./Data_raw/uniprot/uniprot_fasta/O00221.fasta,O00221.fasta,500,O00221,
O00233,True,True,./Data_raw/uniprot/uniprot_fasta/O00233.fasta,O00233.fasta,223,O00233,
O00238,True,True,./Data_raw/uniprot/uniprot_fasta/O00238.fasta,O00238.fasta,502,O00238,
O00291,True,True,./Data_raw/uniprot/uniprot_fasta/O00291.fasta,O00291.fasta,1037,O00291,
O00303,True,True,./Data_raw/uniprot/uniprot_fasta/O00303.fasta,O00303.fasta,357,O00303,
O00308,True,True,./Data_raw/uniprot/uniprot_fasta/O00308.fasta,O00308.fasta,870,O00308,
O00327,True,True,./Data_raw/uniprot/uniprot_fasta/O00327.fasta,O00327.fasta,626,O00327,
O00330,True,True,./Data_raw/uniprot/uniprot_fasta/O00330.fasta,O00330.fasta,501,O00330,
