model,accession,status,length,per_sequence_dim,per_residue_shape,error
prot_bert_bfd,A0A1B0GVQ0,ok,90,1024,"(90, 1024)",
prot_bert_bfd,A0A291NLA3,ok,479,1024,"(479, 1024)",
prot_bert_bfd,A2AIR5,ok,1135,1024,"(1135, 1024)",
prot_bert_bfd,A4F535,ok,851,1024,"(851, 1024)",
prot_bert_bfd,A5PKW4,ok,1024,1024,"(1024, 1024)",
prot_bert_bfd,A6MI22,ok,106,1024,"(106, 1024)",
prot_bert_bfd,A6NI79,ok,296,1024,"(296, 1024)",
prot_bert_bfd,A6NK89,ok,507,1024,"(507, 1024)",
prot_bert_bfd,A6NLU0,ok,287,1024,"(287, 1024)",
prot_bert_bfd,A6NNE9,ok,402,1024,"(402, 1024)",
prot_bert_bfd,A6NNY8,ok,438,1024,"(438, 1024)",
prot_bert_bfd,A8MQ27,ok,555,1024,"(555, 1024)",
prot_bert_bfd,A8MYT4,ok,824,1024,"(824, 1024)",
prot_bert_bfd,A9UEZ6,ok,1633,1024,"(1633, 1024)",
prot_bert_bfd,B3EWF7,ok,344,1024,"(344, 1024)",
prot_bert_bfd,B3SRS0,ok,486,1024,"(486, 1024)",
prot_bert_bfd,C9JYI4,ok,328,1024,"(328, 1024)",
prot_bert_bfd,F5HEZ4,ok,188,1024,"(188, 1024)",
prot_bert_bfd,O00141,ok,431,1024,"(431, 1024)",
prot_bert_bfd,O00206,ok,839,1024,"(839, 1024)",
prot_bert_bfd,O00213,ok,710,1024,"(710, 1024)",
prot_bert_bfd,O00220,ok,468,1024,"(468, 1024)",
prot_bert_bfd,O00221,ok,500,1024,"(500, 1024)",
prot_bert_bfd,O00233,ok,223,1024,"(223, 1024)",
prot_bert_bfd,O00238,ok,502,1024,"(502, 1024)",
prot_bert_bfd,O00291,ok,1037,1024,"(1037, 1024)",
prot_bert_bfd,O00303,ok,357,1024,"(357, 1024)",
prot_bert_bfd,O00308,ok,870,1024,"(870, 1024)",
prot_bert_bfd,O00327,ok,626,1024,"(626, 1024)",
prot_bert_bfd,O00330,ok,501,1024,"(501, 1024)",
