model,accession,status,length,per_sequence_dim,per_residue_shape,error
esm2_t12_35M_UR50D,A0A1B0GVQ0,ok,90,480,"(90, 480)",
esm2_t12_35M_UR50D,A0A291NLA3,ok,479,480,"(479, 480)",
esm2_t12_35M_UR50D,A2AIR5,ok,1135,480,"(1135, 480)",
esm2_t12_35M_UR50D,A4F535,ok,851,480,"(851, 480)",
esm2_t12_35M_UR50D,A5PKW4,ok,1024,480,"(1024, 480)",
esm2_t12_35M_UR50D,A6MI22,ok,106,480,"(106, 480)",
esm2_t12_35M_UR50D,A6NI79,ok,296,480,"(296, 480)",
esm2_t12_35M_UR50D,A6NK89,ok,507,480,"(507, 480)",
esm2_t12_35M_UR50D,A6NLU0,ok,287,480,"(287, 480)",
esm2_t12_35M_UR50D,A6NNE9,ok,402,480,"(402, 480)",
esm2_t12_35M_UR50D,A6NNY8,ok,438,480,"(438, 480)",
esm2_t12_35M_UR50D,A8MQ27,ok,555,480,"(555, 480)",
esm2_t12_35M_UR50D,A8MYT4,ok,824,480,"(824, 480)",
esm2_t12_35M_UR50D,A9UEZ6,ok,1633,480,"(1633, 480)",
esm2_t12_35M_UR50D,B3EWF7,ok,344,480,"(344, 480)",
esm2_t12_35M_UR50D,B3SRS0,ok,486,480,"(486, 480)",
esm2_t12_35M_UR50D,C9JYI4,ok,328,480,"(328, 480)",
esm2_t12_35M_UR50D,F5HEZ4,ok,188,480,"(188, 480)",
esm2_t12_35M_UR50D,O00141,ok,431,480,"(431, 480)",
esm2_t12_35M_UR50D,O00206,ok,839,480,"(839, 480)",
esm2_t12_35M_UR50D,O00213,ok,710,480,"(710, 480)",
esm2_t12_35M_UR50D,O00220,ok,468,480,"(468, 480)",
esm2_t12_35M_UR50D,O00221,ok,500,480,"(500, 480)",
esm2_t12_35M_UR50D,O00233,ok,223,480,"(223, 480)",
esm2_t12_35M_UR50D,O00238,ok,502,480,"(502, 480)",
esm2_t12_35M_UR50D,O00291,ok,1037,480,"(1037, 480)",
esm2_t12_35M_UR50D,O00303,ok,357,480,"(357, 480)",
esm2_t12_35M_UR50D,O00308,ok,870,480,"(870, 480)",
esm2_t12_35M_UR50D,O00327,ok,626,480,"(626, 480)",
esm2_t12_35M_UR50D,O00330,ok,501,480,"(501, 480)",
esm2_t12_35M_UR50D,O00399,ok,190,480,"(190, 480)",
esm2_t12_35M_UR50D,O00418,ok,725,480,"(725, 480)",
esm2_t12_35M_UR50D,O00422,ok,153,480,"(153, 480)",
esm2_t12_35M_UR50D,O00425,ok,579,480,"(579, 480)",
esm2_t12_35M_UR50D,O00429,ok,736,480,"(736, 480)",
esm2_t12_35M_UR50D,O00444,ok,970,480,"(970, 480)",
esm2_t12_35M_UR50D,O00459,ok,728,480,"(728, 480)",
esm2_t12_35M_UR50D,O00463,ok,557,480,"(557, 480)",
esm2_t12_35M_UR50D,O00472,ok,640,480,"(640, 480)",
esm2_t12_35M_UR50D,O00482,ok,541,480,"(541, 480)",
esm2_t12_35M_UR50D,O00487,ok,310,480,"(310, 480)",
esm2_t12_35M_UR50D,O00507,ok,2555,480,"(2555, 480)",
esm2_t12_35M_UR50D,O00512,ok,1426,480,"(1426, 480)",
esm2_t12_35M_UR50D,O00548,ok,723,480,"(723, 480)",
esm2_t12_35M_UR50D,O00571,ok,662,480,"(662, 480)",
esm2_t12_35M_UR50D,O00584,ok,256,480,"(256, 480)",
esm2_t12_35M_UR50D,O00623,ok,359,480,"(359, 480)",
esm2_t12_35M_UR50D,O00628,ok,323,480,"(323, 480)",
esm2_t12_35M_UR50D,O00635,ok,465,480,"(465, 480)",
esm2_t12_35M_UR50D,O00716,ok,465,480,"(465, 480)",
esm2_t12_35M_UR50D,O00750,ok,1634,480,"(1634, 480)",
esm2_t12_35M_UR50D,O00763,ok,2458,480,"(2458, 480)",
esm2_t12_35M_UR50D,O14497,ok,2285,480,"(2285, 480)",
esm2_t12_35M_UR50D,O14503,ok,412,480,"(412, 480)",
esm2_t12_35M_UR50D,O14508,ok,198,480,"(198, 480)",
esm2_t12_35M_UR50D,O14512,ok,581,480,"(581, 480)",
esm2_t12_35M_UR50D,O14543,ok,225,480,"(225, 480)",
esm2_t12_35M_UR50D,O14544,ok,535,480,"(535, 480)",
esm2_t12_35M_UR50D,O14576,ok,645,480,"(645, 480)",
esm2_t12_35M_UR50D,O14579,ok,308,480,"(308, 480)",
esm2_t12_35M_UR50D,O14618,ok,274,480,"(274, 480)",
esm2_t12_35M_UR50D,O14640,ok,695,480,"(695, 480)",
esm2_t12_35M_UR50D,O14641,ok,736,480,"(736, 480)",
esm2_t12_35M_UR50D,O14681,ok,340,480,"(340, 480)",
esm2_t12_35M_UR50D,O14684,ok,152,480,"(152, 480)",
esm2_t12_35M_UR50D,O14730,ok,519,480,"(519, 480)",
esm2_t12_35M_UR50D,O14737,ok,125,480,"(125, 480)",
esm2_t12_35M_UR50D,O14746,ok,1132,480,"(1132, 480)",
esm2_t12_35M_UR50D,O14757,ok,476,480,"(476, 480)",
esm2_t12_35M_UR50D,O14763,ok,440,480,"(440, 480)",
esm2_t12_35M_UR50D,O14773,ok,563,480,"(563, 480)",
esm2_t12_35M_UR50D,O14777,ok,642,480,"(642, 480)",
esm2_t12_35M_UR50D,O14818,ok,248,480,"(248, 480)",
esm2_t12_35M_UR50D,O14867,ok,736,480,"(736, 480)",
esm2_t12_35M_UR50D,O14920,ok,756,480,"(756, 480)",
esm2_t12_35M_UR50D,O14964,ok,777,480,"(777, 480)",
esm2_t12_35M_UR50D,O14965,ok,403,480,"(403, 480)",
esm2_t12_35M_UR50D,O14974,ok,1030,480,"(1030, 480)",
esm2_t12_35M_UR50D,O14980,ok,1071,480,"(1071, 480)",
esm2_t12_35M_UR50D,O15055,ok,1255,480,"(1255, 480)",
esm2_t12_35M_UR50D,O15078,ok,2479,480,"(2479, 480)",
esm2_t12_35M_UR50D,O15079,ok,494,480,"(494, 480)",
esm2_t12_35M_UR50D,O15085,ok,1522,480,"(1522, 480)",
esm2_t12_35M_UR50D,O15105,ok,426,480,"(426, 480)",
esm2_t12_35M_UR50D,O15111,ok,745,480,"(745, 480)",
esm2_t12_35M_UR50D,O15145,ok,178,480,"(178, 480)",
esm2_t12_35M_UR50D,O15146,ok,869,480,"(869, 480)",
esm2_t12_35M_UR50D,O15151,ok,490,480,"(490, 480)",
esm2_t12_35M_UR50D,O15164,ok,1050,480,"(1050, 480)",
esm2_t12_35M_UR50D,O15169,ok,862,480,"(862, 480)",
esm2_t12_35M_UR50D,O15234,ok,703,480,"(703, 480)",
esm2_t12_35M_UR50D,O15273,ok,167,480,"(167, 480)",
esm2_t12_35M_UR50D,O15287,ok,622,480,"(622, 480)",
esm2_t12_35M_UR50D,O15294,ok,1046,480,"(1046, 480)",
esm2_t12_35M_UR50D,O15304,ok,175,480,"(175, 480)",
esm2_t12_35M_UR50D,O15315,ok,384,480,"(384, 480)",
esm2_t12_35M_UR50D,O15344,ok,667,480,"(667, 480)",
esm2_t12_35M_UR50D,O15350,ok,636,480,"(636, 480)",
esm2_t12_35M_UR50D,O15354,ok,613,480,"(613, 480)",
esm2_t12_35M_UR50D,O15357,ok,1258,480,"(1258, 480)",
esm2_t12_35M_UR50D,O15372,ok,352,480,"(352, 480)",
esm2_t12_35M_UR50D,O15379,ok,428,480,"(428, 480)",
esm2_t12_35M_UR50D,O15392,ok,142,480,"(142, 480)",
esm2_t12_35M_UR50D,O15399,ok,1336,480,"(1336, 480)",
esm2_t12_35M_UR50D,O15431,ok,190,480,"(190, 480)",
esm2_t12_35M_UR50D,O15503,ok,277,480,"(277, 480)",
esm2_t12_35M_UR50D,O15511,ok,151,480,"(151, 480)",
esm2_t12_35M_UR50D,O15519,ok,480,480,"(480, 480)",
esm2_t12_35M_UR50D,O15524,ok,211,480,"(211, 480)",
esm2_t12_35M_UR50D,O15527,ok,345,480,"(345, 480)",
esm2_t12_35M_UR50D,O15530,ok,556,480,"(556, 480)",
esm2_t12_35M_UR50D,O15534,ok,1290,480,"(1290, 480)",
esm2_t12_35M_UR50D,O15553,ok,781,480,"(781, 480)",
esm2_t12_35M_UR50D,O15554,ok,427,480,"(427, 480)",
esm2_t12_35M_UR50D,O43156,ok,1089,480,"(1089, 480)",
esm2_t12_35M_UR50D,O43164,ok,708,480,"(708, 480)",
esm2_t12_35M_UR50D,O43166,ok,1804,480,"(1804, 480)",
esm2_t12_35M_UR50D,O43175,ok,533,480,"(533, 480)",
esm2_t12_35M_UR50D,O43236,ok,478,480,"(478, 480)",
esm2_t12_35M_UR50D,O43237,ok,492,480,"(492, 480)",
esm2_t12_35M_UR50D,O43255,ok,324,480,"(324, 480)",
esm2_t12_35M_UR50D,O43294,ok,461,480,"(461, 480)",
esm2_t12_35M_UR50D,O43303,ok,1012,480,"(1012, 480)",
esm2_t12_35M_UR50D,O43313,ok,823,480,"(823, 480)",
esm2_t12_35M_UR50D,O43318,ok,606,480,"(606, 480)",
esm2_t12_35M_UR50D,O43353,ok,540,480,"(540, 480)",
esm2_t12_35M_UR50D,O43395,ok,683,480,"(683, 480)",
esm2_t12_35M_UR50D,O43463,ok,412,480,"(412, 480)",
esm2_t12_35M_UR50D,O43474,ok,513,480,"(513, 480)",
esm2_t12_35M_UR50D,O43490,ok,865,480,"(865, 480)",
esm2_t12_35M_UR50D,O43511,ok,780,480,"(780, 480)",
esm2_t12_35M_UR50D,O43521,ok,198,480,"(198, 480)",
esm2_t12_35M_UR50D,O43524,ok,673,480,"(673, 480)",
esm2_t12_35M_UR50D,O43541,ok,496,480,"(496, 480)",
esm2_t12_35M_UR50D,O43561,ok,262,480,"(262, 480)",
esm2_t12_35M_UR50D,O43567,ok,381,480,"(381, 480)",
esm2_t12_35M_UR50D,O43597,ok,315,480,"(315, 480)",
esm2_t12_35M_UR50D,O43602,ok,365,480,"(365, 480)",
esm2_t12_35M_UR50D,O43623,ok,268,480,"(268, 480)",
esm2_t12_35M_UR50D,O43663,ok,620,480,"(620, 480)",
esm2_t12_35M_UR50D,O43679,ok,373,480,"(373, 480)",
esm2_t12_35M_UR50D,O43683,ok,1085,480,"(1085, 480)",
esm2_t12_35M_UR50D,O43684,ok,328,480,"(328, 480)",
esm2_t12_35M_UR50D,O43734,ok,574,480,"(574, 480)",
esm2_t12_35M_UR50D,O43791,ok,374,480,"(374, 480)",
esm2_t12_35M_UR50D,O60239,ok,455,480,"(455, 480)",
esm2_t12_35M_UR50D,O60240,ok,522,480,"(522, 480)",
esm2_t12_35M_UR50D,O60260,ok,465,480,"(465, 480)",
esm2_t12_35M_UR50D,O60285,ok,661,480,"(661, 480)",
esm2_t12_35M_UR50D,O60291,ok,552,480,"(552, 480)",
esm2_t12_35M_UR50D,O60294,ok,686,480,"(686, 480)",
esm2_t12_35M_UR50D,O60313,ok,960,480,"(960, 480)",
esm2_t12_35M_UR50D,O60315,ok,1214,480,"(1214, 480)",
esm2_t12_35M_UR50D,O60331,ok,668,480,"(668, 480)",
esm2_t12_35M_UR50D,O60337,ok,910,480,"(910, 480)",
esm2_t12_35M_UR50D,O60341,ok,852,480,"(852, 480)",
esm2_t12_35M_UR50D,O60343,ok,1298,480,"(1298, 480)",
esm2_t12_35M_UR50D,O60346,ok,1717,480,"(1717, 480)",
esm2_t12_35M_UR50D,O60381,ok,514,480,"(514, 480)",
esm2_t12_35M_UR50D,O60486,ok,1568,480,"(1568, 480)",
esm2_t12_35M_UR50D,O60493,ok,162,480,"(162, 480)",
esm2_t12_35M_UR50D,O60566,ok,1050,480,"(1050, 480)",
esm2_t12_35M_UR50D,O60573,ok,245,480,"(245, 480)",
esm2_t12_35M_UR50D,O60674,ok,1132,480,"(1132, 480)",
esm2_t12_35M_UR50D,O60683,ok,326,480,"(326, 480)",
esm2_t12_35M_UR50D,O60762,ok,260,480,"(260, 480)",
esm2_t12_35M_UR50D,O60784,ok,492,480,"(492, 480)",
esm2_t12_35M_UR50D,O60828,ok,265,480,"(265, 480)",
esm2_t12_35M_UR50D,O60858,ok,407,480,"(407, 480)",
esm2_t12_35M_UR50D,O60883,ok,481,480,"(481, 480)",
esm2_t12_35M_UR50D,O60885,ok,1362,480,"(1362, 480)",
esm2_t12_35M_UR50D,O60907,ok,577,480,"(577, 480)",
esm2_t12_35M_UR50D,O60934,ok,754,480,"(754, 480)",
esm2_t12_35M_UR50D,O60936,ok,208,480,"(208, 480)",
esm2_t12_35M_UR50D,O75030,ok,526,480,"(526, 480)",
esm2_t12_35M_UR50D,O75113,ok,896,480,"(896, 480)",
esm2_t12_35M_UR50D,O75140,ok,1603,480,"(1603, 480)",
esm2_t12_35M_UR50D,O75143,ok,517,480,"(517, 480)",
esm2_t12_35M_UR50D,O75150,ok,1001,480,"(1001, 480)",
esm2_t12_35M_UR50D,O75155,ok,1236,480,"(1236, 480)",
esm2_t12_35M_UR50D,O75159,ok,536,480,"(536, 480)",
esm2_t12_35M_UR50D,O75164,ok,1064,480,"(1064, 480)",
esm2_t12_35M_UR50D,O75182,ok,1162,480,"(1162, 480)",
esm2_t12_35M_UR50D,O75317,ok,370,480,"(370, 480)",
esm2_t12_35M_UR50D,O75365,ok,173,480,"(173, 480)",
esm2_t12_35M_UR50D,O75367,ok,369,480,"(369, 480)",
esm2_t12_35M_UR50D,O75369,ok,2602,480,"(2602, 480)",
esm2_t12_35M_UR50D,O75376,ok,2440,480,"(2440, 480)",
esm2_t12_35M_UR50D,O75382,ok,744,480,"(744, 480)",
esm2_t12_35M_UR50D,O75385,ok,1050,480,"(1050, 480)",
esm2_t12_35M_UR50D,O75417,ok,2590,480,"(2590, 480)",
esm2_t12_35M_UR50D,O75444,ok,373,480,"(373, 480)",
esm2_t12_35M_UR50D,O75449,ok,491,480,"(491, 480)",
esm2_t12_35M_UR50D,O75460,ok,977,480,"(977, 480)",
esm2_t12_35M_UR50D,O75461,ok,281,480,"(281, 480)",
esm2_t12_35M_UR50D,O75469,ok,434,480,"(434, 480)",
esm2_t12_35M_UR50D,O75473,ok,907,480,"(907, 480)",
esm2_t12_35M_UR50D,O75496,ok,209,480,"(209, 480)",
esm2_t12_35M_UR50D,O75525,ok,346,480,"(346, 480)",
esm2_t12_35M_UR50D,O75553,ok,588,480,"(588, 480)",
esm2_t12_35M_UR50D,O75581,ok,1613,480,"(1613, 480)",
esm2_t12_35M_UR50D,O75592,ok,4678,480,"(4678, 480)",
esm2_t12_35M_UR50D,O75604,ok,605,480,"(605, 480)",
esm2_t12_35M_UR50D,O75626,ok,825,480,"(825, 480)",
esm2_t12_35M_UR50D,O75717,ok,1129,480,"(1129, 480)",
esm2_t12_35M_UR50D,O75843,ok,785,480,"(785, 480)",
esm2_t12_35M_UR50D,O75882,ok,1429,480,"(1429, 480)",
esm2_t12_35M_UR50D,O75909,ok,580,480,"(580, 480)",
esm2_t12_35M_UR50D,O75915,ok,188,480,"(188, 480)",
esm2_t12_35M_UR50D,O75925,ok,651,480,"(651, 480)",
esm2_t12_35M_UR50D,O75928,ok,621,480,"(621, 480)",
esm2_t12_35M_UR50D,O75943,ok,681,480,"(681, 480)",
esm2_t12_35M_UR50D,O76013,ok,467,480,"(467, 480)",
esm2_t12_35M_UR50D,O76021,ok,490,480,"(490, 480)",
esm2_t12_35M_UR50D,O76050,ok,574,480,"(574, 480)",
esm2_t12_35M_UR50D,O76064,ok,485,480,"(485, 480)",
esm2_t12_35M_UR50D,O76074,ok,875,480,"(875, 480)",
esm2_t12_35M_UR50D,O76080,ok,213,480,"(213, 480)",
esm2_t12_35M_UR50D,O76083,ok,593,480,"(593, 480)",
esm2_t12_35M_UR50D,O76090,ok,585,480,"(585, 480)",
esm2_t12_35M_UR50D,O92608,ok,691,480,"(691, 480)",
esm2_t12_35M_UR50D,O94761,ok,1208,480,"(1208, 480)",
esm2_t12_35M_UR50D,O94782,ok,785,480,"(785, 480)",
esm2_t12_35M_UR50D,O94826,ok,608,480,"(608, 480)",
esm2_t12_35M_UR50D,O94844,ok,696,480,"(696, 480)",
esm2_t12_35M_UR50D,O94875,ok,1100,480,"(1100, 480)",
esm2_t12_35M_UR50D,O94889,ok,574,480,"(574, 480)",
esm2_t12_35M_UR50D,O94916,ok,1531,480,"(1531, 480)",
esm2_t12_35M_UR50D,O94952,ok,628,480,"(628, 480)",
esm2_t12_35M_UR50D,O94953,ok,1096,480,"(1096, 480)",
esm2_t12_35M_UR50D,O94955,ok,611,480,"(611, 480)",
esm2_t12_35M_UR50D,O94966,ok,1318,480,"(1318, 480)",
esm2_t12_35M_UR50D,O94972,ok,964,480,"(964, 480)",
esm2_t12_35M_UR50D,O94979,ok,1220,480,"(1220, 480)",
esm2_t12_35M_UR50D,O94992,ok,359,480,"(359, 480)",
esm2_t12_35M_UR50D,O95071,ok,2799,480,"(2799, 480)",
esm2_t12_35M_UR50D,O95140,ok,757,480,"(757, 480)",
esm2_t12_35M_UR50D,O95147,ok,198,480,"(198, 480)",
esm2_t12_35M_UR50D,O95149,ok,360,480,"(360, 480)",
esm2_t12_35M_UR50D,O95155,ok,1302,480,"(1302, 480)",
esm2_t12_35M_UR50D,O95166,ok,117,480,"(117, 480)",
esm2_t12_35M_UR50D,O95180,ok,2353,480,"(2353, 480)",
esm2_t12_35M_UR50D,O95198,ok,593,480,"(593, 480)",
esm2_t12_35M_UR50D,O95259,ok,989,480,"(989, 480)",
esm2_t12_35M_UR50D,O95271,ok,1327,480,"(1327, 480)",
esm2_t12_35M_UR50D,O95278,ok,331,480,"(331, 480)",
esm2_t12_35M_UR50D,O95295,ok,136,480,"(136, 480)",
esm2_t12_35M_UR50D,O95376,ok,493,480,"(493, 480)",
esm2_t12_35M_UR50D,O95388,ok,367,480,"(367, 480)",
esm2_t12_35M_UR50D,O95409,ok,532,480,"(532, 480)",
esm2_t12_35M_UR50D,O95502,ok,500,480,"(500, 480)",
esm2_t12_35M_UR50D,O95602,ok,1720,480,"(1720, 480)",
esm2_t12_35M_UR50D,O95628,ok,575,480,"(575, 480)",
esm2_t12_35M_UR50D,O95630,ok,424,480,"(424, 480)",
esm2_t12_35M_UR50D,O95644,ok,943,480,"(943, 480)",
esm2_t12_35M_UR50D,O95714,ok,4834,480,"(4834, 480)",
esm2_t12_35M_UR50D,O95760,ok,270,480,"(270, 480)",
esm2_t12_35M_UR50D,O95786,ok,925,480,"(925, 480)",
esm2_t12_35M_UR50D,O95817,ok,575,480,"(575, 480)",
esm2_t12_35M_UR50D,O95831,ok,613,480,"(613, 480)",
esm2_t12_35M_UR50D,O95835,ok,1130,480,"(1130, 480)",
esm2_t12_35M_UR50D,O95859,ok,305,480,"(305, 480)",
esm2_t12_35M_UR50D,O95863,ok,264,480,"(264, 480)",
esm2_t12_35M_UR50D,O95947,ok,436,480,"(436, 480)",
esm2_t12_35M_UR50D,O95994,ok,175,480,"(175, 480)",
esm2_t12_35M_UR50D,O95997,ok,202,480,"(202, 480)",
esm2_t12_35M_UR50D,O95999,ok,233,480,"(233, 480)",
esm2_t12_35M_UR50D,O96004,ok,215,480,"(215, 480)",
esm2_t12_35M_UR50D,O96017,ok,543,480,"(543, 480)",
esm2_t12_35M_UR50D,O96020,ok,404,480,"(404, 480)",
esm2_t12_35M_UR50D,P00338,ok,332,480,"(332, 480)",
esm2_t12_35M_UR50D,P00367,ok,558,480,"(558, 480)",
esm2_t12_35M_UR50D,P00374,ok,187,480,"(187, 480)",
esm2_t12_35M_UR50D,P00441,ok,154,480,"(154, 480)",
esm2_t12_35M_UR50D,P00519,ok,1130,480,"(1130, 480)",
esm2_t12_35M_UR50D,P00533,ok,1210,480,"(1210, 480)",
esm2_t12_35M_UR50D,P00558,ok,417,480,"(417, 480)",
esm2_t12_35M_UR50D,P00748,ok,615,480,"(615, 480)",
esm2_t12_35M_UR50D,P00966,ok,412,480,"(412, 480)",
esm2_t12_35M_UR50D,P01009,ok,418,480,"(418, 480)",
esm2_t12_35M_UR50D,P01023,ok,1474,480,"(1474, 480)",
esm2_t12_35M_UR50D,P01100,ok,380,480,"(380, 480)",
esm2_t12_35M_UR50D,P01106,ok,454,480,"(454, 480)",
esm2_t12_35M_UR50D,P01111,ok,189,480,"(189, 480)",
esm2_t12_35M_UR50D,P01112,ok,189,480,"(189, 480)",
esm2_t12_35M_UR50D,P01116,ok,189,480,"(189, 480)",
esm2_t12_35M_UR50D,P01130,ok,860,480,"(860, 480)",
esm2_t12_35M_UR50D,P01135,ok,160,480,"(160, 480)",
esm2_t12_35M_UR50D,P01584,ok,269,480,"(269, 480)",
esm2_t12_35M_UR50D,P01730,ok,458,480,"(458, 480)",
esm2_t12_35M_UR50D,P01732,ok,235,480,"(235, 480)",
esm2_t12_35M_UR50D,P01848,ok,140,480,"(140, 480)",
esm2_t12_35M_UR50D,P01857,ok,399,480,"(399, 480)",
esm2_t12_35M_UR50D,P01880,ok,430,480,"(430, 480)",
esm2_t12_35M_UR50D,P01889,ok,362,480,"(362, 480)",
esm2_t12_35M_UR50D,P01903,ok,254,480,"(254, 480)",
esm2_t12_35M_UR50D,P01909,ok,254,480,"(254, 480)",
esm2_t12_35M_UR50D,P01911,ok,266,480,"(266, 480)",
esm2_t12_35M_UR50D,P01912,ok,266,480,"(266, 480)",
esm2_t12_35M_UR50D,P01920,ok,261,480,"(261, 480)",
esm2_t12_35M_UR50D,P02647,ok,267,480,"(267, 480)",
esm2_t12_35M_UR50D,P02751,ok,2477,480,"(2477, 480)",
esm2_t12_35M_UR50D,P02765,ok,367,480,"(367, 480)",
esm2_t12_35M_UR50D,P02786,ok,760,480,"(760, 480)",
esm2_t12_35M_UR50D,P03126,ok,158,480,"(158, 480)",
esm2_t12_35M_UR50D,P03129,ok,98,480,"(98, 480)",
esm2_t12_35M_UR50D,P03345,ok,429,480,"(429, 480)",
esm2_t12_35M_UR50D,P03372,ok,595,480,"(595, 480)",
esm2_t12_35M_UR50D,P03427,ok,759,480,"(759, 480)",
esm2_t12_35M_UR50D,P03956,ok,469,480,"(469, 480)",
esm2_t12_35M_UR50D,P04035,ok,888,480,"(888, 480)",
esm2_t12_35M_UR50D,P04049,ok,648,480,"(648, 480)",
esm2_t12_35M_UR50D,P04083,ok,346,480,"(346, 480)",
esm2_t12_35M_UR50D,P04085,ok,211,480,"(211, 480)",
esm2_t12_35M_UR50D,P04114,ok,4563,480,"(4563, 480)",
esm2_t12_35M_UR50D,P04150,ok,777,480,"(777, 480)",
esm2_t12_35M_UR50D,P04179,ok,222,480,"(222, 480)",
esm2_t12_35M_UR50D,P04183,ok,234,480,"(234, 480)",
esm2_t12_35M_UR50D,P04198,ok,464,480,"(464, 480)",
esm2_t12_35M_UR50D,P04229,ok,266,480,"(266, 480)",
esm2_t12_35M_UR50D,P04233,ok,296,480,"(296, 480)",
esm2_t12_35M_UR50D,P04234,ok,171,480,"(171, 480)",
esm2_t12_35M_UR50D,P04271,ok,92,480,"(92, 480)",
esm2_t12_35M_UR50D,P04439,ok,365,480,"(365, 480)",
esm2_t12_35M_UR50D,P04554,ok,102,480,"(102, 480)",
esm2_t12_35M_UR50D,P04626,ok,1255,480,"(1255, 480)",
esm2_t12_35M_UR50D,P04629,ok,796,480,"(796, 480)",
esm2_t12_35M_UR50D,P04637,ok,393,480,"(393, 480)",
esm2_t12_35M_UR50D,P04839,ok,570,480,"(570, 480)",
esm2_t12_35M_UR50D,P04843,ok,607,480,"(607, 480)",
esm2_t12_35M_UR50D,P04908,ok,130,480,"(130, 480)",
esm2_t12_35M_UR50D,P05026,ok,303,480,"(303, 480)",
esm2_t12_35M_UR50D,P05067,ok,770,480,"(770, 480)",
esm2_t12_35M_UR50D,P05129,ok,697,480,"(697, 480)",
esm2_t12_35M_UR50D,P05161,ok,165,480,"(165, 480)",
esm2_t12_35M_UR50D,P05231,ok,212,480,"(212, 480)",
esm2_t12_35M_UR50D,P05362,ok,532,480,"(532, 480)",
esm2_t12_35M_UR50D,P05412,ok,331,480,"(331, 480)",
esm2_t12_35M_UR50D,P05556,ok,798,480,"(798, 480)",
