accession,has_fasta,fasta_ok,file_path,file_name,length,header_ac,error
A6NLU0,True,True,./Data_raw/uniprot/uniprot_fasta/A6NLU0.fasta,A6NLU0.fasta,287,A6NLU0,
A6NNE9,True,True,./Data_raw/uniprot/uniprot_fasta/A6NNE9.fasta,A6NNE9.fasta,402,A6NNE9,
A6NNY8,True,True,./Data_raw/uniprot/uniprot_fasta/A6NNY8.fasta,A6NNY8.fasta,438,A6NNY8,
A8MQ27,True,True,./Data_raw/uniprot/uniprot_fasta/A8MQ27.fasta,A8MQ27.fasta,555,A8MQ27,
B3SRS0,True,True,./Data_raw/uniprot/uniprot_fasta/B3SRS0.fasta,B3SRS0.fasta,486,B3SRS0,
O00308,True,True,./Data_raw/uniprot/uniprot_fasta/O00308.fasta,O00308.fasta,870,O00308,
O00487,True,True,./Data_raw/uniprot/uniprot_fasta/O00487.fasta,O00487.fasta,310,O00487,
O00507,True,True,./Data_raw/uniprot/uniprot_fasta/O00507.fasta,O00507.fasta,2555,O00507,
O00623,True,True,./Data_raw/uniprot/uniprot_fasta/O00623.fasta,O00623.fasta,359,O00623,
O00635,True,True,./Data_raw/uniprot/uniprot_fasta/O00635.fasta,O00635.fasta,465,O00635,
O14508,True,True,./Data_raw/uniprot/uniprot_fasta/O14508.fasta,O14508.fasta,198,O14508,
O14512,True,True,./Data_raw/uniprot/uniprot_fasta/O14512.fasta,O14512.fasta,581,O14512,
O14543,True,True,./Data_raw/uniprot/uniprot_fasta/O14543.fasta,O14543.fasta,225,O14543,
O14544,True,True,./Data_raw/uniprot/uniprot_fasta/O14544.fasta,O14544.fasta,535,O14544,
O14965,True,True,./Data_raw/uniprot/uniprot_fasta/O14965.fasta,O14965.fasta,403,O14965,
O15151,True,True,./Data_raw/uniprot/uniprot_fasta/O15151.fasta,O15151.fasta,490,O15151,
O15164,True,True,./Data_raw/uniprot/uniprot_fasta/O15164.fasta,O15164.fasta,1050,O15164,
O15304,True,True,./Data_raw/uniprot/uniprot_fasta/O15304.fasta,O15304.fasta,175,O15304,
O15344,True,True,./Data_raw/uniprot/uniprot_fasta/O15344.fasta,O15344.fasta,667,O15344,
O15372,True,True,./Data_raw/uniprot/uniprot_fasta/O15372.fasta,O15372.fasta,352,O15372,
O15524,True,True,./Data_raw/uniprot/uniprot_fasta/O15524.fasta,O15524.fasta,211,O15524,
O43164,True,True,./Data_raw/uniprot/uniprot_fasta/O43164.fasta,O43164.fasta,708,O43164,
O43255,True,True,./Data_raw/uniprot/uniprot_fasta/O43255.fasta,O43255.fasta,324,O43255,
O43567,True,True,./Data_raw/uniprot/uniprot_fasta/O43567.fasta,O43567.fasta,381,O43567,
O43663,True,True,./Data_raw/uniprot/uniprot_fasta/O43663.fasta,O43663.fasta,620,O43663,
O43734,True,True,./Data_raw/uniprot/uniprot_fasta/O43734.fasta,O43734.fasta,574,O43734,
O43791,True,True,./Data_raw/uniprot/uniprot_fasta/O43791.fasta,O43791.fasta,374,O43791,
O60260,True,True,./Data_raw/uniprot/uniprot_fasta/O60260.fasta,O60260.fasta,465,O60260,
O60291,True,True,./Data_raw/uniprot/uniprot_fasta/O60291.fasta,O60291.fasta,552,O60291,
O60337,True,True,./Data_raw/uniprot/uniprot_fasta/O60337.fasta,O60337.fasta,910,O60337,
O60683,True,True,./Data_raw/uniprot/uniprot_fasta/O60683.fasta,O60683.fasta,326,O60683,
O60784,True,True,./Data_raw/uniprot/uniprot_fasta/O60784.fasta,O60784.fasta,492,O60784,
O60858,True,True,./Data_raw/uniprot/uniprot_fasta/O60858.fasta,O60858.fasta,407,O60858,
O60907,True,True,./Data_raw/uniprot/uniprot_fasta/O60907.fasta,O60907.fasta,577,O60907,
O75150,True,True,./Data_raw/uniprot/uniprot_fasta/O75150.fasta,O75150.fasta,1001,O75150,
O75159,True,True,./Data_raw/uniprot/uniprot_fasta/O75159.fasta,O75159.fasta,536,O75159,
O75317,True,True,./Data_raw/uniprot/uniprot_fasta/O75317.fasta,O75317.fasta,370,O75317,
O75382,True,True,./Data_raw/uniprot/uniprot_fasta/O75382.fasta,O75382.fasta,744,O75382,
O75592,True,True,./Data_raw/uniprot/uniprot_fasta/O75592.fasta,O75592.fasta,4678,O75592,
O75604,True,True,./Data_raw/uniprot/uniprot_fasta/O75604.fasta,O75604.fasta,605,O75604,
O75717,True,True,./Data_raw/uniprot/uniprot_fasta/O75717.fasta,O75717.fasta,1129,O75717,
O75928,True,True,./Data_raw/uniprot/uniprot_fasta/O75928.fasta,O75928.fasta,621,O75928,
O76050,True,True,./Data_raw/uniprot/uniprot_fasta/O76050.fasta,O76050.fasta,574,O76050,
O76064,True,True,./Data_raw/uniprot/uniprot_fasta/O76064.fasta,O76064.fasta,485,O76064,
O92608,True,True,./Data_raw/uniprot/uniprot_fasta/O92608.fasta,O92608.fasta,691,O92608,
O94782,True,True,./Data_raw/uniprot/uniprot_fasta/O94782.fasta,O94782.fasta,785,O94782,
O94844,True,True,./Data_raw/uniprot/uniprot_fasta/O94844.fasta,O94844.fasta,696,O94844,
O94889,True,True,./Data_raw/uniprot/uniprot_fasta/O94889.fasta,O94889.fasta,574,O94889,
O94952,True,True,./Data_raw/uniprot/uniprot_fasta/O94952.fasta,O94952.fasta,628,O94952,
O94955,True,True,./Data_raw/uniprot/uniprot_fasta/O94955.fasta,O94955.fasta,611,O94955,
O94966,True,True,./Data_raw/uniprot/uniprot_fasta/O94966.fasta,O94966.fasta,1318,O94966,
