model,accession,status,length,per_sequence_dim,per_residue_shape,error
prot_bert,A0A1B0GVQ0,ok,90,1024,"(90, 1024)",
prot_bert,A0A291NLA3,ok,479,1024,"(479, 1024)",
prot_bert,A2AIR5,ok,1135,1024,"(1135, 1024)",
prot_bert,A4F535,ok,851,1024,"(851, 1024)",
prot_bert,A5PKW4,ok,1024,1024,"(1024, 1024)",
prot_bert,A6MI22,ok,106,1024,"(106, 1024)",
prot_bert,A6NI79,ok,296,1024,"(296, 1024)",
prot_bert,A6NK89,ok,507,1024,"(507, 1024)",
prot_bert,A6NLU0,ok,287,1024,"(287, 1024)",
prot_bert,A6NNE9,ok,402,1024,"(402, 1024)",
prot_bert,A6NNY8,ok,438,1024,"(438, 1024)",
prot_bert,A8MQ27,ok,555,1024,"(555, 1024)",
prot_bert,A8MYT4,ok,824,1024,"(824, 1024)",
prot_bert,A9UEZ6,ok,1633,1024,"(1633, 1024)",
prot_bert,B3EWF7,ok,344,1024,"(344, 1024)",
prot_bert,B3SRS0,ok,486,1024,"(486, 1024)",
prot_bert,C9JYI4,ok,328,1024,"(328, 1024)",
prot_bert,F5HEZ4,ok,188,1024,"(188, 1024)",
prot_bert,O00141,ok,431,1024,"(431, 1024)",
prot_bert,O00206,ok,839,1024,"(839, 1024)",
prot_bert,O00213,ok,710,1024,"(710, 1024)",
prot_bert,O00220,ok,468,1024,"(468, 1024)",
prot_bert,O00221,ok,500,1024,"(500, 1024)",
prot_bert,O00233,ok,223,1024,"(223, 1024)",
prot_bert,O00238,ok,502,1024,"(502, 1024)",
prot_bert,O00291,ok,1037,1024,"(1037, 1024)",
prot_bert,O00303,ok,357,1024,"(357, 1024)",
prot_bert,O00308,ok,870,1024,"(870, 1024)",
prot_bert,O00327,ok,626,1024,"(626, 1024)",
prot_bert,O00330,ok,501,1024,"(501, 1024)",
prot_bert,O00399,ok,190,1024,"(190, 1024)",
prot_bert,O00418,ok,725,1024,"(725, 1024)",
prot_bert,O00422,ok,153,1024,"(153, 1024)",
prot_bert,O00425,ok,579,1024,"(579, 1024)",
prot_bert,O00429,ok,736,1024,"(736, 1024)",
prot_bert,O00444,ok,970,1024,"(970, 1024)",
prot_bert,O00459,ok,728,1024,"(728, 1024)",
prot_bert,O00463,ok,557,1024,"(557, 1024)",
prot_bert,O00472,ok,640,1024,"(640, 1024)",
prot_bert,O00482,ok,541,1024,"(541, 1024)",
prot_bert,O00487,ok,310,1024,"(310, 1024)",
prot_bert,O00507,ok,2555,1024,"(2555, 1024)",
prot_bert,O00512,ok,1426,1024,"(1426, 1024)",
prot_bert,O00548,ok,723,1024,"(723, 1024)",
prot_bert,O00571,ok,662,1024,"(662, 1024)",
prot_bert,O00584,ok,256,1024,"(256, 1024)",
prot_bert,O00623,ok,359,1024,"(359, 1024)",
prot_bert,O00628,ok,323,1024,"(323, 1024)",
prot_bert,O00635,ok,465,1024,"(465, 1024)",
prot_bert,O00716,ok,465,1024,"(465, 1024)",
prot_bert,O00750,ok,1634,1024,"(1634, 1024)",
prot_bert,O00763,ok,2458,1024,"(2458, 1024)",
prot_bert,O14497,ok,2285,1024,"(2285, 1024)",
prot_bert,O14503,ok,412,1024,"(412, 1024)",
prot_bert,O14508,ok,198,1024,"(198, 1024)",
prot_bert,O14512,ok,581,1024,"(581, 1024)",
prot_bert,O14543,ok,225,1024,"(225, 1024)",
prot_bert,O14544,ok,535,1024,"(535, 1024)",
prot_bert,O14576,ok,645,1024,"(645, 1024)",
prot_bert,O14579,ok,308,1024,"(308, 1024)",
prot_bert,O14618,ok,274,1024,"(274, 1024)",
