model,accession,status,length,per_sequence_dim,per_residue_shape,error
esm2_t36_3B_UR50D,A0A1B0GVQ0,ok,90,2560,"(90, 2560)",
esm2_t36_3B_UR50D,A0A291NLA3,ok,479,2560,"(479, 2560)",
esm2_t36_3B_UR50D,A2AIR5,ok,1135,2560,"(1135, 2560)",
esm2_t36_3B_UR50D,A4F535,ok,851,2560,"(851, 2560)",
esm2_t36_3B_UR50D,A5PKW4,ok,1024,2560,"(1024, 2560)",
esm2_t36_3B_UR50D,A6MI22,ok,106,2560,"(106, 2560)",
esm2_t36_3B_UR50D,A6NI79,ok,296,2560,"(296, 2560)",
esm2_t36_3B_UR50D,A6NK89,ok,507,2560,"(507, 2560)",
esm2_t36_3B_UR50D,A6NLU0,ok,287,2560,"(287, 2560)",
esm2_t36_3B_UR50D,A6NNE9,ok,402,2560,"(402, 2560)",
esm2_t36_3B_UR50D,A6NNY8,ok,438,2560,"(438, 2560)",
esm2_t36_3B_UR50D,A8MQ27,ok,555,2560,"(555, 2560)",
esm2_t36_3B_UR50D,A8MYT4,ok,824,2560,"(824, 2560)",
esm2_t36_3B_UR50D,A9UEZ6,ok,1633,2560,"(1633, 2560)",
esm2_t36_3B_UR50D,B3EWF7,ok,344,2560,"(344, 2560)",
esm2_t36_3B_UR50D,B3SRS0,ok,486,2560,"(486, 2560)",
esm2_t36_3B_UR50D,C9JYI4,ok,328,2560,"(328, 2560)",
esm2_t36_3B_UR50D,F5HEZ4,ok,188,2560,"(188, 2560)",
esm2_t36_3B_UR50D,O00141,ok,431,2560,"(431, 2560)",
esm2_t36_3B_UR50D,O00206,ok,839,2560,"(839, 2560)",
esm2_t36_3B_UR50D,O00213,ok,710,2560,"(710, 2560)",
esm2_t36_3B_UR50D,O00220,ok,468,2560,"(468, 2560)",
esm2_t36_3B_UR50D,O00221,ok,500,2560,"(500, 2560)",
esm2_t36_3B_UR50D,O00233,ok,223,2560,"(223, 2560)",
esm2_t36_3B_UR50D,O00238,ok,502,2560,"(502, 2560)",
esm2_t36_3B_UR50D,O00291,ok,1037,2560,"(1037, 2560)",
esm2_t36_3B_UR50D,O00303,ok,357,2560,"(357, 2560)",
esm2_t36_3B_UR50D,O00308,ok,870,2560,"(870, 2560)",
esm2_t36_3B_UR50D,O00327,ok,626,2560,"(626, 2560)",
esm2_t36_3B_UR50D,O00330,ok,501,2560,"(501, 2560)",
esm2_t36_3B_UR50D,O00399,ok,190,2560,"(190, 2560)",
esm2_t36_3B_UR50D,O00418,ok,725,2560,"(725, 2560)",
esm2_t36_3B_UR50D,O00422,ok,153,2560,"(153, 2560)",
esm2_t36_3B_UR50D,O00425,ok,579,2560,"(579, 2560)",
esm2_t36_3B_UR50D,O00429,ok,736,2560,"(736, 2560)",
esm2_t36_3B_UR50D,O00444,ok,970,2560,"(970, 2560)",
esm2_t36_3B_UR50D,O00459,ok,728,2560,"(728, 2560)",
esm2_t36_3B_UR50D,O00463,ok,557,2560,"(557, 2560)",
esm2_t36_3B_UR50D,O00472,ok,640,2560,"(640, 2560)",
esm2_t36_3B_UR50D,O00482,ok,541,2560,"(541, 2560)",
